time,oi_A,oi_6,oi_3
2026-05-10 12:00:00,,1017805.76,
2026-05-10 13:00:00,,1020921.99,
2026-05-10 14:00:00,,1022934.81,
2026-05-10 15:00:00,,1022522.36,
2026-05-10 16:00:00,,1040722.41,
2026-05-10 17:00:00,,1043601.50,
2026-05-10 18:00:00,,1048757.54,
2026-05-10 19:00:00,,1043343.99,
2026-05-10 20:00:00,,1038298.97,
2026-05-10 21:00:00,,988994.44,
2026-05-10 22:00:00,,988056.58,
2026-05-10 23:00:00,,999789.90,
2026-05-11 00:00:00,,992586.69,
2026-05-11 01:00:00,,984441.42,
2026-05-11 02:00:00,,988391.79,
2026-05-11 03:00:00,,979347.08,
2026-05-11 04:00:00,,970214.95,
2026-05-11 05:00:00,,970208.07,
2026-05-11 06:00:00,,972639.79,
2026-05-11 07:00:00,,968372.21,
2026-05-11 08:00:00,,971263.89,
2026-05-11 09:00:00,,972145.99,
2026-05-11 10:00:00,,972216.13,
2026-05-11 11:00:00,,980727.07,
2026-05-11 12:00:00,,972255.38,
2026-05-11 13:00:00,,964998.69,
2026-05-11 14:00:00,,963222.96,
2026-05-11 15:00:00,,956682.13,
2026-05-11 16:00:00,,959125.24,
2026-05-11 17:00:00,,960471.25,
2026-05-11 18:00:00,,970471.93,
2026-05-11 19:00:00,,974277.66,
2026-05-11 20:00:00,,1015234.48,
2026-05-11 21:00:00,,1037852.55,
2026-05-11 22:00:00,,1029177.31,
2026-05-11 23:00:00,,1034271.20,
2026-05-12 00:00:00,,1032347.04,
2026-05-12 01:00:00,,1017069.92,
2026-05-12 02:00:00,,995837.84,
2026-05-12 03:00:00,,999084.63,
2026-05-12 04:00:00,,995470.89,
2026-05-12 05:00:00,,994637.55,
2026-05-12 06:00:00,,996101.47,
2026-05-12 07:00:00,,990402.08,
2026-05-12 08:00:00,,984106.58,
2026-05-12 09:00:00,,994670.36,
2026-05-12 10:00:00,,976862.58,
2026-05-12 11:00:00,,966811.76,
2026-05-12 12:00:00,,960133.12,
2026-05-12 13:00:00,,964747.13,
2026-05-12 14:00:00,,955147.70,
2026-05-12 15:00:00,,935053.64,
2026-05-12 16:00:00,,914166.55,
2026-05-12 17:00:00,,903927.57,
2026-05-12 18:00:00,,916096.84,
2026-05-12 19:00:00,,932593.01,
2026-05-12 20:00:00,,933501.27,
2026-05-12 21:00:00,,957832.30,
2026-05-12 22:00:00,,948744.24,
2026-05-12 23:00:00,,952868.98,
2026-05-13 00:00:00,,949758.19,
2026-05-13 01:00:00,,942606.33,
2026-05-13 02:00:00,,944334.30,
2026-05-13 03:00:00,,934599.39,
2026-05-13 04:00:00,,937363.72,
2026-05-13 05:00:00,,932921.21,
2026-05-13 06:00:00,,922866.12,
2026-05-13 07:00:00,,922405.97,
2026-05-13 08:00:00,,928741.73,
2026-05-13 09:00:00,,925386.43,
2026-05-13 10:00:00,,927432.13,
2026-05-13 11:00:00,,918394.06,
2026-05-13 12:00:00,,913528.77,
2026-05-13 13:00:00,,867696.32,
2026-05-13 14:00:00,,868708.15,
2026-05-13 15:00:00,,866748.10,
2026-05-13 16:00:00,,847077.87,
2026-05-13 17:00:00,,854373.96,
2026-05-13 18:00:00,,854058.03,
2026-05-13 19:00:00,,857215.93,
2026-05-13 20:00:00,,851273.98,
2026-05-13 21:00:00,,855771.14,
2026-05-13 22:00:00,,843328.99,
2026-05-13 23:00:00,,845027.26,
2026-05-14 00:00:00,,845351.59,
2026-05-14 01:00:00,,849040.35,
