time,oi_A,oi_6,oi_3
2026-05-03 12:00:00,,,299789.96
2026-05-03 13:00:00,,,307077.69
2026-05-03 14:00:00,,,309715.00
2026-05-03 15:00:00,,,312137.34
2026-05-03 16:00:00,,,308681.20
2026-05-03 17:00:00,,,308411.35
2026-05-03 18:00:00,,,306879.64
2026-05-03 19:00:00,,,304171.55
2026-05-03 20:00:00,,,306600.44
2026-05-03 21:00:00,,,306776.55
2026-05-03 22:00:00,,,302867.10
2026-05-03 23:00:00,,,302822.62
2026-05-04 00:00:00,,,303309.03
2026-05-04 01:00:00,,,307495.05
2026-05-04 02:00:00,,,304965.65
2026-05-04 03:00:00,,,311503.01
2026-05-04 04:00:00,,,314832.97
2026-05-04 05:00:00,,,313316.23
2026-05-04 06:00:00,,,316074.72
2026-05-04 07:00:00,,,311110.87
2026-05-04 08:00:00,,,306792.30
2026-05-04 09:00:00,,,305820.54
2026-05-04 10:00:00,,,310716.91
2026-05-04 11:00:00,,,305835.60
2026-05-04 12:00:00,,,303829.17
2026-05-04 13:00:00,,,303894.09
2026-05-04 14:00:00,,,302469.40
2026-05-04 15:00:00,,,302351.78
2026-05-04 16:00:00,,,299119.80
2026-05-04 17:00:00,,,299175.08
2026-05-04 18:00:00,,,303701.74
2026-05-04 19:00:00,,,303432.21
2026-05-04 20:00:00,,,303420.16
2026-05-04 21:00:00,,,301228.51
2026-05-04 22:00:00,,,300821.92
2026-05-04 23:00:00,,,301513.21
2026-05-05 00:00:00,,,294458.01
2026-05-05 01:00:00,,,296272.99
2026-05-05 02:00:00,,,302197.27
2026-05-05 03:00:00,,,299883.65
2026-05-05 04:00:00,,,300659.80
2026-05-05 05:00:00,,,304083.94
2026-05-05 06:00:00,,,303348.72
2026-05-05 07:00:00,,,299908.09
2026-05-05 08:00:00,,,300370.05
2026-05-05 09:00:00,,,300467.84
2026-05-05 10:00:00,,,299212.97
2026-05-05 11:00:00,,,297542.43
2026-05-05 12:00:00,,,296658.56
2026-05-05 13:00:00,,,295708.44
2026-05-05 14:00:00,,,297418.83
2026-05-05 15:00:00,,,297124.08
