time,oi_A,oi_6,oi_3
2026-05-31 12:00:00,13436746.44,,1875948.38
2026-05-31 13:00:00,13557433.02,,1897091.95
2026-05-31 14:00:00,13618722.32,,1901129.18
2026-05-31 15:00:00,13696572.55,,1975651.65
2026-05-31 16:00:00,13531822.62,,1951782.92
2026-05-31 17:00:00,13465012.36,,1948440.28
2026-05-31 18:00:00,13606934.61,,1968205.89
2026-05-31 19:00:00,13524838.84,,1943614.33
2026-05-31 20:00:00,13602212.58,,1950786.85
2026-05-31 21:00:00,13649999.32,,1948756.86
2026-05-31 22:00:00,13875175.56,,1963796.91
2026-05-31 23:00:00,13897067.38,,1957290.24
2026-06-01 00:00:00,13838607.56,,1952784.81
2026-06-01 01:00:00,14026789.84,,1973125.34
2026-06-01 02:00:00,14157615.11,,1983857.08
2026-06-01 03:00:00,14199365.59,,1992851.08
2026-06-01 04:00:00,14101604.43,,1988527.19
2026-06-01 05:00:00,13995257.68,,1974773.22
2026-06-01 06:00:00,13790851.27,,1948047.14
2026-06-01 07:00:00,13414972.21,,1894365.38
2026-06-01 08:00:00,13546890.66,,1924108.59
2026-06-01 09:00:00,13357318.58,,1905265.62
2026-06-01 10:00:00,13335848.07,,1905710.01
2026-06-01 11:00:00,13225129.32,,1873460.56
2026-06-01 12:00:00,13127413.59,,1851638.65
2026-06-01 13:00:00,13247462.06,,1869243.01
2026-06-01 14:00:00,13158058.33,,1852157.31
2026-06-01 15:00:00,13338748.10,,1889144.08
2026-06-01 16:00:00,12992333.56,,1846667.71
2026-06-01 17:00:00,12956740.45,,1874895.19
2026-06-01 18:00:00,12971992.59,,1890754.75
2026-06-01 19:00:00,12991350.95,,1890288.48
2026-06-01 20:00:00,12949664.08,,1873295.82
2026-06-01 21:00:00,13018915.23,,1880362.71
2026-06-01 22:00:00,12936226.66,,1852407.55
2026-06-01 23:00:00,12930937.91,,1846927.89
2026-06-02 00:00:00,12847070.68,,1838106.59
2026-06-02 01:00:00,12836240.61,,1831924.63
2026-06-02 02:00:00,12704147.23,,1814031.65
2026-06-02 03:00:00,12774184.77,,1815693.81
2026-06-02 04:00:00,13204081.27,,1859444.01
2026-06-02 05:00:00,12959035.03,,1832309.96
2026-06-02 06:00:00,12874325.42,,1820758.52
2026-06-02 07:00:00,12885775.89,,1830223.33
2026-06-02 08:00:00,12848992.65,,1825496.43
2026-06-02 09:00:00,12874550.38,,1839082.43
2026-06-02 10:00:00,12831387.96,,1836549.83
2026-06-02 11:00:00,12878260.09,,1834273.74
2026-06-02 12:00:00,12780708.12,,1821659.85
2026-06-02 13:00:00,12832689.60,,1827047.12
2026-06-02 14:00:00,12723191.63,,1811662.16
2026-06-02 15:00:00,12661311.44,,1827025.08
2026-06-02 16:00:00,12284145.82,,1762460.50
2026-06-02 17:00:00,12488137.91,,1773230.85
2026-06-02 18:00:00,12398100.01,,1753451.59
2026-06-02 19:00:00,12385295.26,,1749686.00
2026-06-02 20:00:00,12546136.28,,1753816.09
2026-06-02 21:00:00,12597050.33,,1757344.68
2026-06-02 22:00:00,12648369.01,,1755898.58
2026-06-02 23:00:00,12371076.21,,1712332.44
2026-06-03 00:00:00,12582108.25,,1752361.15
2026-06-03 01:00:00,12642486.52,,1757167.14
2026-06-03 02:00:00,12747691.21,,1784870.98
2026-06-03 03:00:00,13002888.54,,1827867.34
2026-06-03 04:00:00,12914231.31,,1816094.39
2026-06-03 05:00:00,13121596.61,,1843477.75
2026-06-03 06:00:00,13232312.84,,1847697.82
