time,oi_A,oi_6,oi_3
2026-05-10 12:00:00,5358349.08,,
2026-05-10 13:00:00,5357195.41,,
2026-05-10 14:00:00,5389931.87,,
2026-05-10 15:00:00,5527542.33,,
2026-05-10 16:00:00,5645993.60,,
2026-05-10 17:00:00,5620716.74,,
2026-05-10 18:00:00,5668574.90,,
2026-05-10 19:00:00,5635554.75,,
2026-05-10 20:00:00,5686935.10,,
2026-05-10 21:00:00,5443471.95,,
2026-05-10 22:00:00,5484848.35,,
2026-05-10 23:00:00,5557628.70,,
2026-05-11 00:00:00,5508983.48,,
2026-05-11 01:00:00,5356756.27,,
2026-05-11 02:00:00,5380875.59,,
2026-05-11 03:00:00,5370313.69,,
2026-05-11 04:00:00,5339921.10,,
2026-05-11 05:00:00,5474232.68,,
2026-05-11 06:00:00,5279523.90,,
2026-05-11 07:00:00,5245303.80,,
2026-05-11 08:00:00,5136512.90,,
2026-05-11 09:00:00,5081256.30,,
2026-05-11 10:00:00,5048341.99,,
2026-05-11 11:00:00,5061747.28,,
2026-05-11 12:00:00,5047086.22,,
2026-05-11 13:00:00,4837508.77,,
2026-05-11 14:00:00,4791943.33,,
2026-05-11 15:00:00,4774261.42,,
2026-05-11 16:00:00,4821204.28,,
2026-05-11 17:00:00,4848265.65,,
2026-05-11 18:00:00,4850002.29,,
2026-05-11 19:00:00,4826778.38,,
2026-05-11 20:00:00,4842543.42,,
2026-05-11 21:00:00,4866550.39,,
2026-05-11 22:00:00,4826711.63,,
2026-05-11 23:00:00,4826663.95,,
2026-05-12 00:00:00,4796773.29,,
2026-05-12 01:00:00,4808976.54,,
2026-05-12 02:00:00,4603215.30,,
2026-05-12 03:00:00,4545949.96,,
2026-05-12 04:00:00,4539403.03,,
2026-05-12 05:00:00,4588910.11,,
2026-05-12 06:00:00,4597863.66,,
2026-05-12 07:00:00,4614108.66,,
2026-05-12 08:00:00,4581359.48,,
2026-05-12 09:00:00,4621493.78,,
2026-05-12 10:00:00,4610470.35,,
2026-05-12 11:00:00,4573151.89,,
2026-05-12 12:00:00,4547701.81,,
2026-05-12 13:00:00,4592278.87,,
2026-05-12 14:00:00,4500189.63,,
2026-05-12 15:00:00,4307145.48,,
2026-05-12 16:00:00,4265279.99,,
2026-05-12 17:00:00,4263985.29,,
2026-05-12 18:00:00,4297000.21,,
2026-05-12 19:00:00,4384998.75,,
2026-05-12 20:00:00,4396130.43,,
2026-05-12 21:00:00,4382007.00,,
2026-05-12 22:00:00,4386886.46,,
2026-05-12 23:00:00,4390281.45,,
2026-05-13 00:00:00,4324867.59,,
2026-05-13 01:00:00,4280611.66,,
2026-05-13 02:00:00,4347521.34,,
2026-05-13 03:00:00,4407687.04,,
2026-05-13 04:00:00,4387051.04,,
2026-05-13 05:00:00,4320094.79,,
2026-05-13 06:00:00,4273500.50,,
2026-05-13 07:00:00,4300965.82,,
2026-05-13 08:00:00,4313495.55,,
2026-05-13 09:00:00,4310304.90,,
2026-05-13 10:00:00,4339306.31,,
2026-05-13 11:00:00,4287611.52,,
2026-05-13 12:00:00,4250828.96,,
2026-05-13 13:00:00,4130201.21,,
2026-05-13 14:00:00,4044730.38,,
2026-05-13 15:00:00,4049311.81,,
2026-05-13 16:00:00,3890463.74,,
2026-05-13 17:00:00,3954849.29,,
2026-05-13 18:00:00,3953009.38,,
2026-05-13 19:00:00,3956459.34,,
