time,oi_A,oi_6,oi_3
2026-04-25 12:00:00,9488892.21,,2155306.87
2026-04-25 13:00:00,9480163.08,,2148209.16
2026-04-25 14:00:00,9538742.78,,2151928.68
2026-04-25 15:00:00,9513722.76,,2141382.06
2026-04-25 16:00:00,9498243.01,,2139623.64
2026-04-25 17:00:00,9407877.25,,2119303.48
2026-04-25 18:00:00,9335483.99,,2106917.10
2026-04-25 19:00:00,9378686.18,,2119035.24
2026-04-25 20:00:00,9344664.07,,2116067.81
2026-04-25 21:00:00,9366980.37,,2120014.50
2026-04-25 22:00:00,9367976.46,,2117418.72
2026-04-25 23:00:00,9402030.28,,2135601.37
2026-04-26 00:00:00,9444437.78,,2149116.79
2026-04-26 01:00:00,9450871.41,,2158995.23
2026-04-26 02:00:00,9535193.06,,2199787.15
2026-04-26 03:00:00,9714764.66,,2208533.29
2026-04-26 04:00:00,9785195.26,,2256489.54
2026-04-26 05:00:00,9940494.42,,2293480.11
2026-04-26 06:00:00,9918664.70,,2272034.11
2026-04-26 07:00:00,9918128.90,,2265972.04
2026-04-26 08:00:00,10033210.26,,2294884.80
2026-04-26 09:00:00,10063863.66,,2306523.96
2026-04-26 10:00:00,10051842.06,,2295923.81
2026-04-26 11:00:00,10127445.36,,2313375.31
2026-04-26 12:00:00,10083940.25,,2302568.10
2026-04-26 13:00:00,9961663.13,,2272645.94
2026-04-26 14:00:00,9847487.54,,2259851.90
2026-04-26 15:00:00,10025506.90,,2285216.15
2026-04-26 16:00:00,10088676.04,,2292958.04
2026-04-26 17:00:00,10091937.31,,2292556.66
2026-04-26 18:00:00,10086586.74,,2273991.77
2026-04-26 19:00:00,10084261.68,,2283609.73
2026-04-26 20:00:00,10153196.68,,2320070.97
2026-04-26 21:00:00,10090272.33,,2346719.19
2026-04-26 22:00:00,10140842.15,,2353981.53
2026-04-26 23:00:00,10143696.22,,2322458.71
2026-04-27 00:00:00,10069829.33,,2314977.24
2026-04-27 01:00:00,10148755.05,,2333553.96
2026-04-27 02:00:00,10333508.10,,2351186.53
2026-04-27 03:00:00,10766742.67,,2388495.90
2026-04-27 04:00:00,11591163.20,,2559144.26
2026-04-27 05:00:00,11774702.71,,2551375.15
2026-04-27 06:00:00,11273552.93,,2524524.16
2026-04-27 07:00:00,11083361.06,,2496888.46
2026-04-27 08:00:00,10998456.45,,2495437.07
2026-04-27 09:00:00,11306482.38,,2564102.73
2026-04-27 10:00:00,11497240.33,,2626490.12
2026-04-27 11:00:00,11568863.21,,2565559.02
2026-04-27 12:00:00,11505428.92,,2586206.66
2026-04-27 13:00:00,11797703.51,,2655489.86
2026-04-27 14:00:00,11527846.75,,2595798.87
2026-04-27 15:00:00,11727880.03,,2650490.18
2026-04-27 16:00:00,11416206.97,,2573215.39
2026-04-27 17:00:00,11528039.26,,2584615.60
2026-04-27 18:00:00,11661884.70,,2612607.54
2026-04-27 19:00:00,11809274.93,,2624116.78
2026-04-27 20:00:00,11719194.31,,2588414.81
2026-04-27 21:00:00,11736435.55,,2585968.71
2026-04-27 22:00:00,11990639.61,,2608690.73
2026-04-27 23:00:00,12011259.33,,2622375.89
2026-04-28 00:00:00,11967340.91,,2652073.02
2026-04-28 01:00:00,12000233.61,,2636971.89
2026-04-28 02:00:00,11832970.76,,2615916.90
2026-04-28 03:00:00,11710900.54,,2572736.39
2026-04-28 04:00:00,11783800.36,,2588572.67
2026-04-28 05:00:00,11853087.77,,2600252.27
2026-04-28 06:00:00,11774147.71,,2591520.00
2026-04-28 07:00:00,11719058.46,,2600867.46
2026-04-28 08:00:00,11637961.72,,2585794.29
2026-04-28 09:00:00,11684129.86,,2581543.68
2026-04-28 10:00:00,11664831.41,,2564989.30
2026-04-28 11:00:00,11741234.71,,2569551.82
2026-04-28 12:00:00,11708524.26,,2579118.16
2026-04-28 13:00:00,11851780.55,,2590858.45
2026-04-28 14:00:00,11893370.92,,2625272.71
2026-04-28 15:00:00,11604803.57,,2570348.51
2026-04-28 16:00:00,11527299.78,,2577912.67
2026-04-28 17:00:00,11379702.79,,2557008.83
2026-04-28 18:00:00,11386007.89,,2571368.01
2026-04-28 19:00:00,11329133.69,,2562819.39
2026-04-28 20:00:00,11380254.06,,2575181.29
2026-04-28 21:00:00,11332230.04,,2568942.05
2026-04-28 22:00:00,11363932.92,,2537559.37
2026-04-28 23:00:00,11340406.93,,2554590.50
2026-04-29 00:00:00,11332531.36,,2548746.37
2026-04-29 01:00:00,11298580.98,,2545140.00
2026-04-29 02:00:00,11375504.48,,2571558.07
2026-04-29 03:00:00,11299404.17,,2551260.05
2026-04-29 04:00:00,11390207.98,,2564697.69
2026-04-29 05:00:00,11343214.54,,2564587.00
2026-04-29 06:00:00,11287743.29,,2558153.86
2026-04-29 07:00:00,11107502.54,,2514546.90
2026-04-29 08:00:00,11076353.08,,2515706.83
2026-04-29 09:00:00,10973881.35,,2475873.51
2026-04-29 10:00:00,11111034.23,,2526573.18
2026-04-29 11:00:00,11161133.34,,2660231.59
2026-04-29 12:00:00,11152879.34,,2667450.61
2026-04-29 13:00:00,10905264.32,,2626754.84
2026-04-29 14:00:00,10913033.58,,2620340.66
2026-04-29 15:00:00,10740552.86,,2587785.24
2026-04-29 16:00:00,10492408.23,,2432386.72
2026-04-29 17:00:00,10328135.79,,2369931.41
2026-04-29 18:00:00,10387691.11,,2521008.94
2026-04-29 19:00:00,10087523.82,,2527172.37
2026-04-29 20:00:00,10127903.82,,2465342.32
2026-04-29 21:00:00,10126170.69,,2478525.50
2026-04-29 22:00:00,10169650.36,,2472086.38
2026-04-29 23:00:00,10180188.18,,2470150.80
2026-04-30 00:00:00,10301870.10,,2502055.82
2026-04-30 01:00:00,10485233.49,,2543276.15
2026-04-30 02:00:00,10495938.55,,2552076.85
2026-04-30 03:00:00,10380474.44,,2505288.82
2026-04-30 04:00:00,10396537.70,,2517644.98
2026-04-30 05:00:00,10261757.68,,2473445.55
2026-04-30 06:00:00,10245660.13,,2472331.96
2026-04-30 07:00:00,10290704.34,,2426968.19
2026-04-30 08:00:00,10389601.84,,2428982.53
2026-04-30 09:00:00,10277406.68,,2403100.60
2026-04-30 10:00:00,10238919.29,,2541704.94
2026-04-30 11:00:00,10148354.06,,2481911.50
2026-04-30 12:00:00,10196495.30,,2463261.56
2026-04-30 13:00:00,10178964.62,,2447984.50
2026-04-30 14:00:00,10193112.28,,2437293.07
2026-04-30 15:00:00,10283463.72,,2452854.48
2026-04-30 16:00:00,10289505.07,,2455820.27
2026-04-30 17:00:00,10293942.65,,2445062.45
