time,oi_A,oi_6,oi_3
2026-05-31 12:00:00,3535449.49,,
2026-05-31 13:00:00,3540148.07,,
2026-05-31 14:00:00,3538546.57,,
2026-05-31 15:00:00,3519019.61,,
2026-05-31 16:00:00,3518567.72,,
2026-05-31 17:00:00,3493310.16,,
2026-05-31 18:00:00,3502989.24,,
2026-05-31 19:00:00,3513402.45,,
2026-05-31 20:00:00,3511108.09,,
2026-05-31 21:00:00,3521094.31,,
2026-05-31 22:00:00,3527986.91,,
2026-05-31 23:00:00,3535388.50,,
2026-06-01 00:00:00,3531797.28,,
2026-06-01 01:00:00,3532125.67,,
2026-06-01 02:00:00,3487035.82,,
2026-06-01 03:00:00,3506913.61,,
2026-06-01 04:00:00,3550357.87,,
2026-06-01 05:00:00,3572230.82,,
2026-06-01 06:00:00,3583953.33,,
2026-06-01 07:00:00,3547279.80,,
2026-06-01 08:00:00,3527305.61,,
2026-06-01 09:00:00,3521527.20,,
2026-06-01 10:00:00,3525640.61,,
2026-06-01 11:00:00,3552180.23,,
2026-06-01 12:00:00,3528895.22,,
2026-06-01 13:00:00,3601514.12,,
2026-06-01 14:00:00,3582029.50,,
2026-06-01 15:00:00,3584258.51,,
2026-06-01 16:00:00,3619065.16,,
2026-06-01 17:00:00,3660762.06,,
2026-06-01 18:00:00,3670537.86,,
2026-06-01 19:00:00,3660143.70,,
2026-06-01 20:00:00,3674075.31,,
2026-06-01 21:00:00,3652979.59,,
2026-06-01 22:00:00,3621998.14,,
2026-06-01 23:00:00,3636144.05,,
2026-06-02 00:00:00,3635294.74,,
2026-06-02 01:00:00,3641420.70,,
2026-06-02 02:00:00,3569687.74,,
2026-06-02 03:00:00,3549263.49,,
2026-06-02 04:00:00,3549398.04,,
2026-06-02 05:00:00,3547900.82,,
2026-06-02 06:00:00,3527523.21,,
2026-06-02 07:00:00,3526746.58,,
2026-06-02 08:00:00,3525718.10,,
2026-06-02 09:00:00,3504239.84,,
2026-06-02 10:00:00,3491938.65,,
2026-06-02 11:00:00,3496014.59,,
2026-06-02 12:00:00,3487869.07,,
2026-06-02 13:00:00,3489118.36,,
2026-06-02 14:00:00,3478811.16,,
