time,oi_A,oi_6,oi_3
2026-05-31 12:00:00,,931318.20,
2026-05-31 13:00:00,,927391.54,
2026-05-31 14:00:00,,1071743.68,
2026-05-31 15:00:00,,993308.22,
2026-05-31 16:00:00,,951937.25,
2026-05-31 17:00:00,,962918.85,
2026-05-31 18:00:00,,978817.68,
2026-05-31 19:00:00,,972535.29,
2026-05-31 20:00:00,,964256.35,
2026-05-31 21:00:00,,972639.58,
2026-05-31 22:00:00,,979275.81,
2026-05-31 23:00:00,,981128.27,
2026-06-01 00:00:00,,970351.66,
2026-06-01 01:00:00,,971498.37,
2026-06-01 02:00:00,,942767.28,
2026-06-01 03:00:00,,956146.88,
2026-06-01 04:00:00,,956593.93,
2026-06-01 05:00:00,,951850.03,
2026-06-01 06:00:00,,951578.70,
2026-06-01 07:00:00,,940563.23,
2026-06-01 08:00:00,,938439.59,
2026-06-01 09:00:00,,926610.84,
2026-06-01 10:00:00,,929874.21,
2026-06-01 11:00:00,,952732.42,
2026-06-01 12:00:00,,950326.45,
2026-06-01 13:00:00,,960900.94,
2026-06-01 14:00:00,,963182.56,
2026-06-01 15:00:00,,969146.86,
2026-06-01 16:00:00,,973093.81,
2026-06-01 17:00:00,,983771.26,
2026-06-01 18:00:00,,985292.62,
2026-06-01 19:00:00,,974599.25,
2026-06-01 20:00:00,,975733.07,
2026-06-01 21:00:00,,967660.38,
2026-06-01 22:00:00,,970570.35,
2026-06-01 23:00:00,,973583.09,
2026-06-02 00:00:00,,973047.47,
2026-06-02 01:00:00,,926603.69,
2026-06-02 02:00:00,,915015.59,
2026-06-02 03:00:00,,905230.21,
2026-06-02 04:00:00,,917542.90,
2026-06-02 05:00:00,,909305.62,
2026-06-02 06:00:00,,914341.19,
2026-06-02 07:00:00,,920661.26,
2026-06-02 08:00:00,,928263.74,
2026-06-02 09:00:00,,925462.50,
2026-06-02 10:00:00,,928542.98,
2026-06-02 11:00:00,,935736.77,
2026-06-02 12:00:00,,931927.05,
2026-06-02 13:00:00,,930483.69,
2026-06-02 14:00:00,,927059.87,
2026-06-02 15:00:00,,891194.18,
2026-06-02 16:00:00,,882158.36,
2026-06-02 17:00:00,,888690.25,
2026-06-02 18:00:00,,913350.66,
2026-06-02 19:00:00,,899731.03,
2026-06-02 20:00:00,,906942.59,
2026-06-02 21:00:00,,905196.31,
2026-06-02 22:00:00,,898110.30,
2026-06-02 23:00:00,,842550.43,
2026-06-03 00:00:00,,834024.82,
2026-06-03 01:00:00,,827198.48,
2026-06-03 02:00:00,,825128.91,
2026-06-03 03:00:00,,819113.66,
2026-06-03 04:00:00,,842235.54,
2026-06-03 05:00:00,,861105.53,
2026-06-03 06:00:00,,875412.87,
2026-06-03 07:00:00,,887840.92,
2026-06-03 08:00:00,,886382.09,
2026-06-03 09:00:00,,864573.03,
2026-06-03 10:00:00,,859951.48,
2026-06-03 11:00:00,,858278.89,
2026-06-03 12:00:00,,852371.93,
2026-06-03 13:00:00,,839136.46,
2026-06-03 14:00:00,,849313.30,
2026-06-03 15:00:00,,853556.60,
2026-06-03 16:00:00,,850812.69,
2026-06-03 17:00:00,,835197.07,
2026-06-03 18:00:00,,837736.94,
2026-06-03 19:00:00,,846987.35,
2026-06-03 20:00:00,,842048.41,
2026-06-03 21:00:00,,807695.76,
2026-06-03 22:00:00,,835143.55,
2026-06-03 23:00:00,,825315.10,
2026-06-04 00:00:00,,812095.90,
2026-06-04 01:00:00,,816444.80,
2026-06-04 02:00:00,,770835.50,
2026-06-04 03:00:00,,777136.56,
2026-06-04 04:00:00,,795818.15,
2026-06-04 05:00:00,,773324.17,
2026-06-04 06:00:00,,764037.32,
2026-06-04 07:00:00,,764840.69,
2026-06-04 08:00:00,,761620.91,
2026-06-04 09:00:00,,772063.81,
2026-06-04 10:00:00,,751798.04,
2026-06-04 11:00:00,,737444.78,
2026-06-04 12:00:00,,745986.48,
2026-06-04 13:00:00,,769313.98,
2026-06-04 14:00:00,,762750.65,
2026-06-04 15:00:00,,757463.67,
2026-06-04 16:00:00,,767363.29,
2026-06-04 17:00:00,,770726.54,
2026-06-04 18:00:00,,761771.72,
2026-06-04 19:00:00,,764105.95,
2026-06-04 20:00:00,,755818.81,
2026-06-04 21:00:00,,756820.63,
2026-06-04 22:00:00,,742155.30,
2026-06-04 23:00:00,,737761.09,
2026-06-05 00:00:00,,738159.55,
2026-06-05 01:00:00,,725339.55,
2026-06-05 02:00:00,,730821.03,
2026-06-05 03:00:00,,707305.03,
2026-06-05 04:00:00,,701876.31,
2026-06-05 05:00:00,,716019.57,
2026-06-05 06:00:00,,687602.69,
2026-06-05 07:00:00,,661423.79,
