time,oi_A,oi_6,oi_3
2026-05-10 12:00:00,,852263.70,
2026-05-10 13:00:00,,846631.45,
2026-05-10 14:00:00,,849757.00,
2026-05-10 15:00:00,,848884.76,
2026-05-10 16:00:00,,865766.78,
2026-05-10 17:00:00,,880896.90,
2026-05-10 18:00:00,,876634.80,
2026-05-10 19:00:00,,870659.54,
2026-05-10 20:00:00,,866666.00,
2026-05-10 21:00:00,,855497.15,
2026-05-10 22:00:00,,848388.10,
2026-05-10 23:00:00,,861417.76,
2026-05-11 00:00:00,,859491.34,
2026-05-11 01:00:00,,848515.76,
2026-05-11 02:00:00,,851504.89,
2026-05-11 03:00:00,,841567.57,
2026-05-11 04:00:00,,839494.53,
2026-05-11 05:00:00,,843184.82,
2026-05-11 06:00:00,,847948.38,
2026-05-11 07:00:00,,854871.87,
2026-05-11 08:00:00,,852391.07,
2026-05-11 09:00:00,,869907.13,
2026-05-11 10:00:00,,870564.39,
2026-05-11 11:00:00,,867355.61,
2026-05-11 12:00:00,,870254.26,
2026-05-11 13:00:00,,862865.79,
2026-05-11 14:00:00,,862844.88,
2026-05-11 15:00:00,,860027.34,
2026-05-11 16:00:00,,902575.87,
2026-05-11 17:00:00,,907090.23,
2026-05-11 18:00:00,,913638.35,
2026-05-11 19:00:00,,946492.97,
2026-05-11 20:00:00,,951907.58,
2026-05-11 21:00:00,,927655.69,
2026-05-11 22:00:00,,952888.74,
2026-05-11 23:00:00,,928722.97,
2026-05-12 00:00:00,,931732.16,
2026-05-12 01:00:00,,932269.59,
2026-05-12 02:00:00,,923338.55,
2026-05-12 03:00:00,,918904.07,
2026-05-12 04:00:00,,911510.77,
2026-05-12 05:00:00,,910137.88,
2026-05-12 06:00:00,,920900.79,
2026-05-12 07:00:00,,930872.78,
2026-05-12 08:00:00,,932307.04,
2026-05-12 09:00:00,,953507.69,
2026-05-12 10:00:00,,953096.18,
2026-05-12 11:00:00,,906772.61,
2026-05-12 12:00:00,,891806.62,
2026-05-12 13:00:00,,898024.75,
2026-05-12 14:00:00,,882198.37,
2026-05-12 15:00:00,,871825.23,
2026-05-12 16:00:00,,856754.04,
2026-05-12 17:00:00,,852388.47,
2026-05-12 18:00:00,,859767.73,
2026-05-12 19:00:00,,849348.98,
2026-05-12 20:00:00,,850742.05,
2026-05-12 21:00:00,,852955.19,
2026-05-12 22:00:00,,852983.50,
2026-05-12 23:00:00,,853351.13,
2026-05-13 00:00:00,,848256.22,
2026-05-13 01:00:00,,851477.42,
2026-05-13 02:00:00,,867997.76,
2026-05-13 03:00:00,,872617.76,
2026-05-13 04:00:00,,868344.98,
2026-05-13 05:00:00,,870297.12,
2026-05-13 06:00:00,,864020.52,
2026-05-13 07:00:00,,859975.21,
2026-05-13 08:00:00,,862908.84,
2026-05-13 09:00:00,,838385.52,
2026-05-13 10:00:00,,837236.87,
