time,oi_A,oi_6,oi_3
2026-05-10 12:00:00,118947361.66,,35050165.38
2026-05-10 13:00:00,108555442.94,,30438908.84
2026-05-10 14:00:00,112386730.98,,31492894.38
2026-05-10 15:00:00,106594863.52,,29170580.20
2026-05-10 16:00:00,109528493.83,,29439127.67
2026-05-10 17:00:00,107189389.23,,29072460.44
2026-05-10 18:00:00,105287692.31,,27735175.06
2026-05-10 19:00:00,103493399.04,,27322539.15
2026-05-10 20:00:00,103799035.09,,27404818.94
2026-05-10 21:00:00,103087011.49,,27359611.34
2026-05-10 22:00:00,105324684.21,,27669144.25
2026-05-10 23:00:00,106685630.11,,28032553.47
2026-05-11 00:00:00,104969567.39,,27717937.50
2026-05-11 01:00:00,105960437.75,,28357981.89
2026-05-11 02:00:00,106457746.03,,28495287.16
2026-05-11 03:00:00,106064020.80,,28505414.13
2026-05-11 04:00:00,102988153.57,,27558756.34
2026-05-11 05:00:00,104981088.75,,28099263.74
2026-05-11 06:00:00,102870782.70,,27470721.36
2026-05-11 07:00:00,100106957.59,,27010921.34
2026-05-11 08:00:00,98335072.07,,27013364.39
2026-05-11 09:00:00,99758607.63,,26877770.05
2026-05-11 10:00:00,100558867.29,,27238792.81
2026-05-11 11:00:00,101161541.16,,27097408.14
2026-05-11 12:00:00,102124012.29,,27365668.61
2026-05-11 13:00:00,101818408.53,,27581961.89
2026-05-11 14:00:00,101029402.55,,27345619.06
2026-05-11 15:00:00,104010012.42,,28310616.61
2026-05-11 16:00:00,109995242.21,,29123571.33
2026-05-11 17:00:00,107272461.80,,28949309.65
2026-05-11 18:00:00,106672937.67,,28941781.05
2026-05-11 19:00:00,133939398.36,,33838211.52
2026-05-11 20:00:00,105997341.39,,27664619.32
2026-05-11 21:00:00,95599061.82,,26477487.77
2026-05-11 22:00:00,95652866.85,,26530277.25
2026-05-11 23:00:00,96665939.27,,26658273.24
2026-05-12 00:00:00,90935520.96,,25604104.80
2026-05-12 01:00:00,91284682.03,,25953762.28
2026-05-12 02:00:00,95429252.35,,28397208.07
2026-05-12 03:00:00,94278413.22,,28704775.99
2026-05-12 04:00:00,92215906.17,,27695418.29
2026-05-12 05:00:00,89507582.62,,26044785.10
2026-05-12 06:00:00,84802158.20,,24343482.30
2026-05-12 07:00:00,84599111.84,,24467741.94
2026-05-12 08:00:00,82098774.46,,23862318.26
2026-05-12 09:00:00,82173583.44,,24218218.72
2026-05-12 10:00:00,81552357.42,,24276746.82
2026-05-12 11:00:00,81719377.10,,24786312.71
2026-05-12 12:00:00,81449539.72,,24691920.58
2026-05-12 13:00:00,80733507.66,,24923599.92
2026-05-12 14:00:00,80424723.83,,24389705.52
2026-05-12 15:00:00,80414776.80,,24361332.08
2026-05-12 16:00:00,77959738.28,,23204828.01
2026-05-12 17:00:00,79852984.04,,23963698.82
2026-05-12 18:00:00,80797583.02,,24163063.84
2026-05-12 19:00:00,81035998.71,,23517189.91
2026-05-12 20:00:00,83511545.52,,24054478.15
2026-05-12 21:00:00,82723923.04,,24164448.35
2026-05-12 22:00:00,81694591.38,,23377245.72
2026-05-12 23:00:00,82027644.85,,23587452.90
2026-05-13 00:00:00,81153068.58,,23355839.16
2026-05-13 01:00:00,79445001.96,,23136788.07
2026-05-13 02:00:00,80069611.36,,23423423.56
2026-05-13 03:00:00,83383405.19,,24423363.08
2026-05-13 04:00:00,86758180.08,,26028041.82
2026-05-13 05:00:00,87458719.57,,26816852.80
2026-05-13 06:00:00,89927711.09,,28175712.97
2026-05-13 07:00:00,88462132.20,,28293991.06
2026-05-13 08:00:00,88408071.79,,28840475.09
2026-05-13 09:00:00,93504364.65,,29900862.43
2026-05-13 10:00:00,96917944.37,,30580325.60
2026-05-13 11:00:00,102275377.65,,32182967.03
2026-05-13 12:00:00,104567634.43,,33877681.94
2026-05-13 13:00:00,104928805.54,,33449151.93
2026-05-13 14:00:00,106766255.42,,34495149.92
2026-05-13 15:00:00,110458094.67,,35896789.91
2026-05-13 16:00:00,103373230.95,,31422090.09
2026-05-13 17:00:00,110249057.99,,33212944.18
2026-05-13 18:00:00,112939810.20,,33759939.60
2026-05-13 19:00:00,111907461.70,,33330126.85
2026-05-13 20:00:00,111222187.60,,33237919.49
2026-05-13 21:00:00,109796726.79,,33127628.94
2026-05-13 22:00:00,107169959.90,,32212248.49
2026-05-13 23:00:00,106853199.97,,31726126.36
2026-05-14 00:00:00,108441041.90,,32642455.50
2026-05-14 01:00:00,106264417.85,,32419514.10
2026-05-14 02:00:00,105532714.27,,32795399.51
2026-05-14 03:00:00,106715803.73,,33664518.09
2026-05-14 04:00:00,101340626.58,,30508100.70
2026-05-14 05:00:00,101570139.04,,30915607.85
2026-05-14 06:00:00,101052489.00,,29987736.25
2026-05-14 07:00:00,98459371.79,,29376764.81
2026-05-14 08:00:00,98181103.99,,29578074.67
2026-05-14 09:00:00,97183125.51,,29656273.56
2026-05-14 10:00:00,96513328.23,,29196854.33
2026-05-14 11:00:00,96123356.58,,28995371.78
2026-05-14 12:00:00,94123429.59,,28887607.02
2026-05-14 13:00:00,100004725.10,,29541324.75
2026-05-14 14:00:00,99786465.86,,30129194.81
2026-05-14 15:00:00,100199403.82,,29943372.69
2026-05-14 16:00:00,93696230.60,,27610523.46
2026-05-14 17:00:00,101334626.59,,29538281.76
2026-05-14 18:00:00,103970649.39,,29446378.47
2026-05-14 19:00:00,101428592.75,,27844773.87
2026-05-14 20:00:00,98768778.29,,27274430.24
2026-05-14 21:00:00,97909670.58,,26589058.84
2026-05-14 22:00:00,95209249.59,,25462732.68
2026-05-14 23:00:00,94232531.26,,25153394.48
2026-05-15 00:00:00,95941507.63,,26185550.03
2026-05-15 01:00:00,96216911.62,,26432866.66
