time,oi_A,oi_6,oi_3
2026-05-31 12:00:00,,464959.26,
2026-05-31 13:00:00,,467367.68,
2026-05-31 14:00:00,,465783.91,
2026-05-31 15:00:00,,459177.12,
2026-05-31 16:00:00,,460672.40,
2026-05-31 17:00:00,,454351.64,
2026-05-31 18:00:00,,460009.88,
2026-05-31 19:00:00,,459136.44,
2026-05-31 20:00:00,,458447.13,
2026-05-31 21:00:00,,460719.58,
2026-05-31 22:00:00,,465950.40,
2026-05-31 23:00:00,,468717.88,
2026-06-01 00:00:00,,468067.13,
2026-06-01 01:00:00,,481804.65,
2026-06-01 02:00:00,,477702.65,
2026-06-01 03:00:00,,482690.11,
2026-06-01 04:00:00,,481643.01,
2026-06-01 05:00:00,,480287.11,
2026-06-01 06:00:00,,474190.18,
2026-06-01 07:00:00,,467149.63,
2026-06-01 08:00:00,,464795.47,
2026-06-01 09:00:00,,475487.24,
2026-06-01 10:00:00,,474935.14,
2026-06-01 11:00:00,,474566.38,
2026-06-01 12:00:00,,484156.50,
2026-06-01 13:00:00,,484223.16,
2026-06-01 14:00:00,,484606.80,
2026-06-01 15:00:00,,482186.41,
2026-06-01 16:00:00,,471264.66,
2026-06-01 17:00:00,,478986.79,
2026-06-01 18:00:00,,489791.94,
2026-06-01 19:00:00,,490837.44,
2026-06-01 20:00:00,,492269.15,
2026-06-01 21:00:00,,487249.71,
2026-06-01 22:00:00,,491612.16,
2026-06-01 23:00:00,,496256.06,
2026-06-02 00:00:00,,494203.32,
2026-06-02 01:00:00,,490676.01,
2026-06-02 02:00:00,,484448.14,
2026-06-02 03:00:00,,489020.63,
2026-06-02 04:00:00,,493768.92,
2026-06-02 05:00:00,,487514.80,
2026-06-02 06:00:00,,480130.38,
2026-06-02 07:00:00,,479052.23,
2026-06-02 08:00:00,,479069.96,
2026-06-02 09:00:00,,478069.81,
2026-06-02 10:00:00,,473811.19,
2026-06-02 11:00:00,,478775.27,
2026-06-02 12:00:00,,477945.71,
2026-06-02 13:00:00,,477576.10,
2026-06-02 14:00:00,,476660.95,
2026-06-02 15:00:00,,478397.01,
2026-06-02 16:00:00,,456654.36,
2026-06-02 17:00:00,,461868.10,
2026-06-02 18:00:00,,466891.88,
2026-06-02 19:00:00,,461454.25,
2026-06-02 20:00:00,,456472.06,
2026-06-02 21:00:00,,462582.49,
2026-06-02 22:00:00,,459844.06,
2026-06-02 23:00:00,,449006.91,
2026-06-03 00:00:00,,445803.42,
2026-06-03 01:00:00,,452502.85,
2026-06-03 02:00:00,,451929.56,
2026-06-03 03:00:00,,451255.26,
2026-06-03 04:00:00,,442228.11,
2026-06-03 05:00:00,,450234.75,
2026-06-03 06:00:00,,462410.94,
2026-06-03 07:00:00,,461320.12,
2026-06-03 08:00:00,,463468.33,
2026-06-03 09:00:00,,462926.33,
2026-06-03 10:00:00,,462334.21,
2026-06-03 11:00:00,,466884.98,
2026-06-03 12:00:00,,464282.90,
2026-06-03 13:00:00,,462816.97,
2026-06-03 14:00:00,,462974.21,
2026-06-03 15:00:00,,464755.21,
2026-06-03 16:00:00,,462052.93,
2026-06-03 17:00:00,,464414.94,
2026-06-03 18:00:00,,467998.52,
2026-06-03 19:00:00,,472239.81,
2026-06-03 20:00:00,,468368.59,
2026-06-03 21:00:00,,463516.08,
2026-06-03 22:00:00,,479303.06,
2026-06-03 23:00:00,,471731.19,
2026-06-04 00:00:00,,466456.32,
2026-06-04 01:00:00,,459790.89,
2026-06-04 02:00:00,,438950.94,
2026-06-04 03:00:00,,441865.05,
2026-06-04 04:00:00,,450130.24,
2026-06-04 05:00:00,,444182.93,
2026-06-04 06:00:00,,442596.73,
2026-06-04 07:00:00,,444372.22,
2026-06-04 08:00:00,,435155.88,
2026-06-04 09:00:00,,437229.99,
2026-06-04 10:00:00,,427579.31,
2026-06-04 11:00:00,,427915.76,
2026-06-04 12:00:00,,430926.84,
2026-06-04 13:00:00,,442103.70,
2026-06-04 14:00:00,,450050.00,
2026-06-04 15:00:00,,448486.78,
2026-06-04 16:00:00,,450161.00,
2026-06-04 17:00:00,,447345.16,
2026-06-04 18:00:00,,444905.04,
2026-06-04 19:00:00,,448588.11,
2026-06-04 20:00:00,,446833.66,
2026-06-04 21:00:00,,444233.33,
2026-06-04 22:00:00,,436953.70,
2026-06-04 23:00:00,,442105.98,
2026-06-05 00:00:00,,443769.10,
2026-06-05 01:00:00,,438084.62,
2026-06-05 02:00:00,,440307.34,
2026-06-05 03:00:00,,427068.07,
2026-06-05 04:00:00,,423068.84,
2026-06-05 05:00:00,,433275.38,
2026-06-05 06:00:00,,420440.22,
2026-06-05 07:00:00,,407381.43,
2026-06-05 08:00:00,,408996.66,
2026-06-05 09:00:00,,405692.63,
2026-06-05 10:00:00,,411856.71,
2026-06-05 11:00:00,,406270.13,
2026-06-05 12:00:00,,406056.63,
2026-06-05 13:00:00,,404912.92,
2026-06-05 14:00:00,,393259.57,
2026-06-05 15:00:00,,399269.44,
2026-06-05 16:00:00,,396777.48,
2026-06-05 17:00:00,,401876.90,
2026-06-05 18:00:00,,395856.80,
2026-06-05 19:00:00,,384876.62,
2026-06-05 20:00:00,,390010.59,
2026-06-05 21:00:00,,401755.92,
2026-06-05 22:00:00,,403740.08,
2026-06-05 23:00:00,,399366.13,
2026-06-06 00:00:00,,392761.99,
2026-06-06 01:00:00,,394363.33,
2026-06-06 02:00:00,,391499.27,
2026-06-06 03:00:00,,384842.75,
2026-06-06 04:00:00,,382559.93,
2026-06-06 05:00:00,,367798.45,
2026-06-06 06:00:00,,383802.84,
2026-06-06 07:00:00,,379914.83,
2026-06-06 08:00:00,,386483.21,
2026-06-06 09:00:00,,391114.32,
2026-06-06 10:00:00,,388416.04,
2026-06-06 11:00:00,,385247.19,
2026-06-06 12:00:00,,388827.56,
2026-06-06 13:00:00,,389709.40,
2026-06-06 14:00:00,,389749.52,
2026-06-06 15:00:00,,391983.93,
2026-06-06 16:00:00,,388802.41,
2026-06-06 17:00:00,,390723.25,
2026-06-06 18:00:00,,384697.43,
2026-06-06 19:00:00,,397248.95,
2026-06-06 20:00:00,,395717.09,
2026-06-06 21:00:00,,396636.98,
2026-06-06 22:00:00,,402837.13,
2026-06-06 23:00:00,,401540.95,
2026-06-07 00:00:00,,402401.01,
2026-06-07 01:00:00,,408783.09,
2026-06-07 02:00:00,,420014.88,
2026-06-07 03:00:00,,419427.29,
2026-06-07 04:00:00,,416204.48,
2026-06-07 05:00:00,,416146.02,
2026-06-07 06:00:00,,421900.90,
2026-06-07 07:00:00,,420983.15,
2026-06-07 08:00:00,,421778.08,
2026-06-07 09:00:00,,427394.11,
2026-06-07 10:00:00,,424279.45,
2026-06-07 11:00:00,,419066.41,
2026-06-07 12:00:00,,421150.26,
2026-06-07 13:00:00,,417979.13,
2026-06-07 14:00:00,,414075.08,
2026-06-07 15:00:00,,419055.62,
2026-06-07 16:00:00,,415241.79,
2026-06-07 17:00:00,,422298.05,
2026-06-07 18:00:00,,419349.38,
2026-06-07 19:00:00,,416924.05,
2026-06-07 20:00:00,,411756.71,
2026-06-07 21:00:00,,419247.13,
2026-06-07 22:00:00,,421718.37,
2026-06-07 23:00:00,,444944.70,
2026-06-08 00:00:00,,444304.75,
2026-06-08 01:00:00,,446436.49,
2026-06-08 02:00:00,,445140.21,
2026-06-08 03:00:00,,439998.96,
2026-06-08 04:00:00,,439381.98,
2026-06-08 05:00:00,,433340.85,
2026-06-08 06:00:00,,430815.72,
2026-06-08 07:00:00,,438722.50,
2026-06-08 08:00:00,,442285.60,
2026-06-08 09:00:00,,437175.89,
2026-06-08 10:00:00,,450347.65,
2026-06-08 11:00:00,,450946.44,
2026-06-08 12:00:00,,448695.10,
2026-06-08 13:00:00,,446769.12,
2026-06-08 14:00:00,,444441.92,
2026-06-08 15:00:00,,444828.78,
2026-06-08 16:00:00,,444945.60,
2026-06-08 17:00:00,,445057.66,
2026-06-08 18:00:00,,448985.45,
2026-06-08 19:00:00,,448413.19,
2026-06-08 20:00:00,,447111.20,
2026-06-08 21:00:00,,447248.87,
2026-06-08 22:00:00,,445620.54,
2026-06-08 23:00:00,,441091.03,
2026-06-09 00:00:00,,437504.94,
2026-06-09 01:00:00,,432689.66,
2026-06-09 02:00:00,,436424.76,
2026-06-09 03:00:00,,432976.56,
2026-06-09 04:00:00,,445651.61,
2026-06-09 05:00:00,,452863.28,
2026-06-09 06:00:00,,454048.33,
2026-06-09 07:00:00,,453379.82,
2026-06-09 08:00:00,,451653.42,
2026-06-09 09:00:00,,450243.31,
2026-06-09 10:00:00,,447557.38,
2026-06-09 11:00:00,,454362.26,
2026-06-09 12:00:00,,455036.60,
2026-06-09 13:00:00,,453696.11,
2026-06-09 14:00:00,,459236.38,
2026-06-09 15:00:00,,453518.04,
2026-06-09 16:00:00,,451639.43,
2026-06-09 17:00:00,,446077.63,
2026-06-09 18:00:00,,447458.02,
2026-06-09 19:00:00,,449438.16,
2026-06-09 20:00:00,,451324.85,
2026-06-09 21:00:00,,453656.94,
2026-06-09 22:00:00,,447560.17,
2026-06-09 23:00:00,,444692.73,
2026-06-10 00:00:00,,447209.85,
2026-06-10 01:00:00,,448486.73,
2026-06-10 02:00:00,,446383.69,
2026-06-10 03:00:00,,439844.94,
2026-06-10 04:00:00,,441024.62,
2026-06-10 05:00:00,,439958.47,
2026-06-10 06:00:00,,439960.66,
2026-06-10 07:00:00,,444352.34,
2026-06-10 08:00:00,,448547.88,
2026-06-10 09:00:00,,443799.31,
2026-06-10 10:00:00,,435955.06,
2026-06-10 11:00:00,,436518.32,
2026-06-10 12:00:00,,428345.61,
2026-06-10 13:00:00,,439429.42,
2026-06-10 14:00:00,,439452.27,
2026-06-10 15:00:00,,435601.39,
2026-06-10 16:00:00,,440525.11,
2026-06-10 17:00:00,,434241.46,
2026-06-10 18:00:00,,434295.38,
