time,oi_A,oi_6,oi_3
2026-05-31 12:00:00,1624612.08,,
2026-05-31 13:00:00,1628563.95,,
2026-05-31 14:00:00,1623272.65,,
2026-05-31 15:00:00,1576357.07,,
2026-05-31 16:00:00,1573853.37,,
2026-05-31 17:00:00,1555053.07,,
2026-05-31 18:00:00,1568003.93,,
2026-05-31 19:00:00,1565933.88,,
2026-05-31 20:00:00,1564296.67,,
2026-05-31 21:00:00,1573858.27,,
2026-05-31 22:00:00,1582981.85,,
2026-05-31 23:00:00,1586323.36,,
2026-06-01 00:00:00,1584132.15,,
2026-06-01 01:00:00,1597799.32,,
2026-06-01 02:00:00,1572707.11,,
2026-06-01 03:00:00,1616608.51,,
2026-06-01 04:00:00,1614768.37,,
2026-06-01 05:00:00,1614414.24,,
2026-06-01 06:00:00,1617806.18,,
2026-06-01 07:00:00,1678413.47,,
2026-06-01 08:00:00,1645931.85,,
2026-06-01 09:00:00,1650287.00,,
2026-06-01 10:00:00,1650286.36,,
2026-06-01 11:00:00,1648851.25,,
2026-06-01 12:00:00,1655133.06,,
2026-06-01 13:00:00,1644335.15,,
2026-06-01 14:00:00,1630740.40,,
2026-06-01 15:00:00,1628667.81,,
2026-06-01 16:00:00,1647207.91,,
2026-06-01 17:00:00,1676909.87,,
2026-06-01 18:00:00,1701666.81,,
2026-06-01 19:00:00,1680864.94,,
2026-06-01 20:00:00,1694867.73,,
2026-06-01 21:00:00,1680690.06,,
2026-06-01 22:00:00,1670339.30,,
2026-06-01 23:00:00,1680095.48,,
2026-06-02 00:00:00,1683990.82,,
2026-06-02 01:00:00,1677555.35,,
2026-06-02 02:00:00,1669764.17,,
2026-06-02 03:00:00,1676486.48,,
2026-06-02 04:00:00,1683460.54,,
2026-06-02 05:00:00,1670159.48,,
2026-06-02 06:00:00,1670286.81,,
2026-06-02 07:00:00,1664948.08,,
2026-06-02 08:00:00,1666771.96,,
2026-06-02 09:00:00,1656287.12,,
2026-06-02 10:00:00,1642034.54,,
2026-06-02 11:00:00,1662965.12,,
2026-06-02 12:00:00,1646780.95,,
2026-06-02 13:00:00,1647248.97,,
2026-06-02 14:00:00,1648912.01,,
2026-06-02 15:00:00,1591695.73,,
2026-06-02 16:00:00,1584097.26,,
2026-06-02 17:00:00,1591916.39,,
2026-06-02 18:00:00,1598322.77,,
2026-06-02 19:00:00,1577890.83,,
2026-06-02 20:00:00,1562403.38,,
2026-06-02 21:00:00,1586583.02,,
2026-06-02 22:00:00,1573821.54,,
2026-06-02 23:00:00,1528253.39,,
2026-06-03 00:00:00,1532832.44,,
2026-06-03 01:00:00,1549368.95,,
2026-06-03 02:00:00,1520121.72,,
2026-06-03 03:00:00,1525548.21,,
2026-06-03 04:00:00,1507363.53,,
2026-06-03 05:00:00,1555292.28,,
2026-06-03 06:00:00,1599306.12,,
2026-06-03 07:00:00,1587848.35,,
2026-06-03 08:00:00,1581264.10,,
2026-06-03 09:00:00,1588041.38,,
2026-06-03 10:00:00,1578035.15,,
2026-06-03 11:00:00,1595115.37,,
2026-06-03 12:00:00,1591391.43,,
2026-06-03 13:00:00,1588727.66,,
2026-06-03 14:00:00,1594517.99,,
2026-06-03 15:00:00,1585946.19,,
2026-06-03 16:00:00,1560751.19,,
2026-06-03 17:00:00,1529704.36,,
2026-06-03 18:00:00,1527186.79,,
2026-06-03 19:00:00,1541562.30,,
2026-06-03 20:00:00,1512818.46,,
