time,oi_A,oi_6,oi_3
2026-04-25 12:00:00,4335589.11,,629195.31
2026-04-25 13:00:00,4320839.09,,628194.87
2026-04-25 14:00:00,4299175.59,,630678.31
2026-04-25 15:00:00,4283005.13,,626430.90
2026-04-25 16:00:00,4283153.11,,625212.53
2026-04-25 17:00:00,4273000.69,,621728.61
2026-04-25 18:00:00,4262449.57,,620183.33
2026-04-25 19:00:00,4269734.07,,620958.30
2026-04-25 20:00:00,4243653.07,,619872.55
2026-04-25 21:00:00,4255741.95,,620251.84
2026-04-25 22:00:00,4247563.37,,619205.71
2026-04-25 23:00:00,4262313.40,,615838.83
2026-04-26 00:00:00,4285577.85,,614541.45
2026-04-26 01:00:00,4277520.04,,612265.94
2026-04-26 02:00:00,4262710.39,,612935.25
2026-04-26 03:00:00,4278296.96,,615986.51
2026-04-26 04:00:00,4289413.67,,615128.98
2026-04-26 05:00:00,4294388.19,,616317.94
2026-04-26 06:00:00,4321768.47,,619756.14
2026-04-26 07:00:00,4312694.20,,623114.88
2026-04-26 08:00:00,4365914.79,,669161.60
2026-04-26 09:00:00,4387939.45,,668775.67
2026-04-26 10:00:00,4427448.77,,669960.90
2026-04-26 11:00:00,4449658.51,,675091.87
2026-04-26 12:00:00,4534056.86,,694425.06
2026-04-26 13:00:00,4467669.85,,684249.61
2026-04-26 14:00:00,4455221.43,,681440.03
2026-04-26 15:00:00,4459424.02,,680786.30
2026-04-26 16:00:00,4467229.64,,668532.67
2026-04-26 17:00:00,4421228.79,,660031.01
2026-04-26 18:00:00,4419460.42,,657361.20
2026-04-26 19:00:00,4429134.26,,654466.64
2026-04-26 20:00:00,4419091.99,,650830.93
2026-04-26 21:00:00,4414188.49,,650283.89
2026-04-26 22:00:00,4423212.01,,654000.79
2026-04-26 23:00:00,4400047.38,,651174.93
2026-04-27 00:00:00,4458548.15,,734599.00
2026-04-27 01:00:00,4465982.92,,737422.40
2026-04-27 02:00:00,4460115.06,,739635.97
2026-04-27 03:00:00,4437769.97,,737799.32
2026-04-27 04:00:00,4420242.89,,731872.26
2026-04-27 05:00:00,4402736.60,,714445.78
2026-04-27 06:00:00,4287102.12,,697724.29
2026-04-27 07:00:00,4277967.31,,676105.63
2026-04-27 08:00:00,4290854.30,,665293.64
2026-04-27 09:00:00,4298019.20,,663708.97
2026-04-27 10:00:00,4297410.26,,657554.72
2026-04-27 11:00:00,4294931.41,,656259.17
2026-04-27 12:00:00,4335190.97,,659653.74
2026-04-27 13:00:00,4343483.33,,657595.22
2026-04-27 14:00:00,4330563.49,,652140.91
2026-04-27 15:00:00,4336130.37,,647237.25
2026-04-27 16:00:00,4205103.50,,651435.26
2026-04-27 17:00:00,4215890.91,,663654.61
2026-04-27 18:00:00,4228121.29,,665293.09
2026-04-27 19:00:00,4229997.98,,664702.31
2026-04-27 20:00:00,4212333.16,,661626.11
2026-04-27 21:00:00,4217461.00,,659590.21
2026-04-27 22:00:00,4215820.04,,654608.10
2026-04-27 23:00:00,4235641.70,,655651.98
2026-04-28 00:00:00,4264318.49,,658393.50
2026-04-28 01:00:00,4285673.43,,657509.30
2026-04-28 02:00:00,4275268.12,,660121.43
2026-04-28 03:00:00,4256906.22,,692162.47
2026-04-28 04:00:00,4252844.67,,691783.99
2026-04-28 05:00:00,4242667.80,,694670.98
2026-04-28 06:00:00,4231045.95,,694799.82
2026-04-28 07:00:00,4201831.30,,692148.67
2026-04-28 08:00:00,4183340.78,,689369.11
2026-04-28 09:00:00,4210739.20,,692603.02
2026-04-28 10:00:00,4204917.80,,692405.38
2026-04-28 11:00:00,4219582.46,,692466.95
2026-04-28 12:00:00,4161584.14,,682999.24
2026-04-28 13:00:00,4161875.33,,683335.94
2026-04-28 14:00:00,4147918.85,,685616.40
2026-04-28 15:00:00,4152658.01,,683214.82
2026-04-28 16:00:00,4151736.68,,672798.24
2026-04-28 17:00:00,4167679.56,,676681.20
2026-04-28 18:00:00,4148932.80,,672683.47
2026-04-28 19:00:00,4158402.99,,673126.20
2026-04-28 20:00:00,4164491.02,,670460.76
2026-04-28 21:00:00,4155389.44,,667764.43
2026-04-28 22:00:00,4163256.35,,666336.22
2026-04-28 23:00:00,4153513.05,,665380.59
2026-04-29 00:00:00,4145033.58,,663694.49
2026-04-29 01:00:00,4140560.09,,665369.71
2026-04-29 02:00:00,4129023.37,,664278.54
2026-04-29 03:00:00,4136902.73,,663216.73
2026-04-29 04:00:00,4174581.50,,671251.59
2026-04-29 05:00:00,4165958.20,,676997.51
2026-04-29 06:00:00,4189272.41,,676486.17
2026-04-29 07:00:00,4165815.55,,669660.63
2026-04-29 08:00:00,4160466.17,,668339.57
2026-04-29 09:00:00,4151876.60,,672986.47
2026-04-29 10:00:00,4238234.86,,678935.31
2026-04-29 11:00:00,4241802.01,,682403.12
2026-04-29 12:00:00,4229781.37,,680378.23
2026-04-29 13:00:00,4192100.16,,675422.48
2026-04-29 14:00:00,4134703.03,,673571.05
2026-04-29 15:00:00,4136668.21,,664990.25
2026-04-29 16:00:00,4103245.18,,631653.83
2026-04-29 17:00:00,4117788.91,,625530.47
2026-04-29 18:00:00,4150507.46,,624888.85
2026-04-29 19:00:00,4036978.15,,618335.20
2026-04-29 20:00:00,4020481.87,,612718.48
2026-04-29 21:00:00,4040476.97,,615851.46
2026-04-29 22:00:00,4051465.47,,618147.58
2026-04-29 23:00:00,4056175.34,,615335.67
2026-04-30 00:00:00,4063170.15,,614025.50
2026-04-30 01:00:00,4065777.77,,616890.85
2026-04-30 02:00:00,4083599.77,,616787.74
2026-04-30 03:00:00,4098980.41,,613509.14
2026-04-30 04:00:00,4104256.33,,613263.12
2026-04-30 05:00:00,4082183.93,,606949.11
2026-04-30 06:00:00,4089969.33,,611330.43
2026-04-30 07:00:00,4118384.03,,614658.43
2026-04-30 08:00:00,4136060.68,,619571.35
2026-04-30 09:00:00,4137332.60,,619667.44
2026-04-30 10:00:00,4188839.31,,624767.30
2026-04-30 11:00:00,4166027.15,,619564.68
2026-04-30 12:00:00,4174616.85,,624218.49
2026-04-30 13:00:00,4165123.35,,623210.26
2026-04-30 14:00:00,4145439.51,,621149.09
2026-04-30 15:00:00,4150886.49,,621146.79
2026-04-30 16:00:00,4173784.22,,621775.09
2026-04-30 17:00:00,4179913.77,,621075.45
2026-04-30 18:00:00,4179896.76,,621261.41
2026-04-30 19:00:00,4194067.36,,621506.30
2026-04-30 20:00:00,4200324.36,,623321.30
2026-04-30 21:00:00,4180535.45,,612353.30
2026-04-30 22:00:00,4143955.58,,608424.52
2026-04-30 23:00:00,4115070.98,,604696.40
2026-05-01 00:00:00,4106954.75,,606517.42
2026-05-01 01:00:00,4093359.23,,608681.28
2026-05-01 02:00:00,4092650.61,,607026.81
2026-05-01 03:00:00,4079685.08,,605503.38
2026-05-01 04:00:00,4102070.77,,606494.57
2026-05-01 05:00:00,4085082.44,,607666.01
2026-05-01 06:00:00,4092940.91,,607546.77
2026-05-01 07:00:00,4080911.27,,604770.11
2026-05-01 08:00:00,4096501.57,,605725.74
2026-05-01 09:00:00,4107073.14,,605802.24
2026-05-01 10:00:00,4085886.98,,602103.07
2026-05-01 11:00:00,4085521.02,,605936.23
2026-05-01 12:00:00,4086703.90,,610063.78
2026-05-01 13:00:00,4088310.22,,611498.36
2026-05-01 14:00:00,4145317.28,,618486.15
2026-05-01 15:00:00,4114857.96,,612930.68
2026-05-01 16:00:00,4136234.04,,614504.14
2026-05-01 17:00:00,4118527.02,,608700.59
2026-05-01 18:00:00,4154185.82,,605964.95
2026-05-01 19:00:00,4153644.75,,595918.07
2026-05-01 20:00:00,4116765.45,,587348.35
2026-05-01 21:00:00,4089248.16,,582027.59
2026-05-01 22:00:00,4096191.94,,587212.45
2026-05-01 23:00:00,4087406.33,,590416.04
2026-05-02 00:00:00,4073987.49,,589823.64
2026-05-02 01:00:00,4097474.39,,591516.53
2026-05-02 02:00:00,4096881.46,,595664.57
2026-05-02 03:00:00,4081578.97,,594142.03
2026-05-02 04:00:00,4089831.91,,597434.04
2026-05-02 05:00:00,4060183.44,,597520.19
2026-05-02 06:00:00,4064394.85,,598970.57
2026-05-02 07:00:00,4075586.23,,603592.68
2026-05-02 08:00:00,4047905.44,,601443.22
2026-05-02 09:00:00,4055075.61,,602349.00
2026-05-02 10:00:00,4091529.08,,603849.17
2026-05-02 11:00:00,4112601.79,,611167.06
2026-05-02 12:00:00,4092309.16,,614188.68
2026-05-02 13:00:00,4097127.80,,620185.94
2026-05-02 14:00:00,4103120.16,,632331.34
2026-05-02 15:00:00,4106339.74,,636424.19
2026-05-02 16:00:00,4112774.44,,644213.09
2026-05-02 17:00:00,4092389.44,,646577.78
2026-05-02 18:00:00,4073759.13,,645756.48
2026-05-02 19:00:00,4094388.01,,647528.11
2026-05-02 20:00:00,4085807.44,,646477.07
2026-05-02 21:00:00,4079559.20,,647404.57
2026-05-02 22:00:00,4093998.81,,651102.06
