time,oi_A,oi_6,oi_3
2026-05-17 12:00:00,2240394.60,,
2026-05-17 13:00:00,2224733.28,,
2026-05-17 14:00:00,2277859.97,,
2026-05-17 15:00:00,2269437.13,,
2026-05-17 16:00:00,2251250.78,,
2026-05-17 17:00:00,2278285.18,,
2026-05-17 18:00:00,2260641.60,,
2026-05-17 19:00:00,2308890.39,,
2026-05-17 20:00:00,2367742.31,,
2026-05-17 21:00:00,2363176.18,,
2026-05-17 22:00:00,2303974.74,,
2026-05-17 23:00:00,2299739.35,,
2026-05-18 00:00:00,2170389.69,,
2026-05-18 01:00:00,2179898.44,,
2026-05-18 02:00:00,2160520.34,,
2026-05-18 03:00:00,2160601.07,,
2026-05-18 04:00:00,2166794.15,,
2026-05-18 05:00:00,2172935.57,,
2026-05-18 06:00:00,2158283.68,,
2026-05-18 07:00:00,2182637.82,,
2026-05-18 08:00:00,2187066.96,,
2026-05-18 09:00:00,2201209.84,,
2026-05-18 10:00:00,2208571.51,,
2026-05-18 11:00:00,2217089.15,,
2026-05-18 12:00:00,2232364.44,,
2026-05-18 13:00:00,2202608.97,,
2026-05-18 14:00:00,2207190.62,,
2026-05-18 15:00:00,2184246.72,,
2026-05-18 16:00:00,2194178.57,,
2026-05-18 17:00:00,2226768.01,,
2026-05-18 18:00:00,2227872.63,,
2026-05-18 19:00:00,2182177.83,,
2026-05-18 20:00:00,2226621.36,,
2026-05-18 21:00:00,2239102.34,,
2026-05-18 22:00:00,2250591.81,,
2026-05-18 23:00:00,2252160.13,,
2026-05-19 00:00:00,2274947.57,,
2026-05-19 01:00:00,2301983.38,,
2026-05-19 02:00:00,2279399.02,,
2026-05-19 03:00:00,2322099.29,,
2026-05-19 04:00:00,2348501.07,,
2026-05-19 05:00:00,2364199.86,,
2026-05-19 06:00:00,2363596.24,,
2026-05-19 07:00:00,2338610.69,,
2026-05-19 08:00:00,2324399.22,,
2026-05-19 09:00:00,2306653.94,,
2026-05-19 10:00:00,2286180.94,,
2026-05-19 11:00:00,2264977.42,,
2026-05-19 12:00:00,2243793.39,,
2026-05-19 13:00:00,2247487.86,,
2026-05-19 14:00:00,2253196.88,,
2026-05-19 15:00:00,2231026.95,,
2026-05-19 16:00:00,2234924.57,,
2026-05-19 17:00:00,2242649.88,,
2026-05-19 18:00:00,2234080.86,,
2026-05-19 19:00:00,2236890.00,,
2026-05-19 20:00:00,2232189.31,,
2026-05-19 21:00:00,2237314.02,,
2026-05-19 22:00:00,2245787.38,,
2026-05-19 23:00:00,2237812.46,,
2026-05-20 00:00:00,2219577.41,,
2026-05-20 01:00:00,2214547.39,,
2026-05-20 02:00:00,2209208.28,,
2026-05-20 03:00:00,2201231.55,,
2026-05-20 04:00:00,2206809.07,,
2026-05-20 05:00:00,2223220.68,,
2026-05-20 06:00:00,2226091.72,,
2026-05-20 07:00:00,2243621.51,,
2026-05-20 08:00:00,2239339.97,,
2026-05-20 09:00:00,2238885.47,,
2026-05-20 10:00:00,2226641.24,,
2026-05-20 11:00:00,2234349.57,,
2026-05-20 12:00:00,2214833.65,,
2026-05-20 13:00:00,2241499.38,,
2026-05-20 14:00:00,2237776.07,,
