time,oi_A,oi_6,oi_3
2026-05-03 12:00:00,,543745.76,
2026-05-03 13:00:00,,544370.73,
2026-05-03 14:00:00,,544994.11,
2026-05-03 15:00:00,,544886.39,
2026-05-03 16:00:00,,544580.73,
2026-05-03 17:00:00,,546932.35,
2026-05-03 18:00:00,,548278.88,
2026-05-03 19:00:00,,548004.00,
2026-05-03 20:00:00,,547666.54,
2026-05-03 21:00:00,,547209.60,
2026-05-03 22:00:00,,547217.55,
2026-05-03 23:00:00,,550631.69,
2026-05-04 00:00:00,,553377.48,
2026-05-04 01:00:00,,555081.08,
2026-05-04 02:00:00,,559506.37,
2026-05-04 03:00:00,,566585.28,
2026-05-04 04:00:00,,556922.04,
2026-05-04 05:00:00,,556985.61,
2026-05-04 06:00:00,,560362.27,
2026-05-04 07:00:00,,568267.13,
2026-05-04 08:00:00,,565220.80,
2026-05-04 09:00:00,,563221.46,
2026-05-04 10:00:00,,565021.94,
2026-05-04 11:00:00,,567158.23,
2026-05-04 12:00:00,,564957.00,
2026-05-04 13:00:00,,558270.79,
2026-05-04 14:00:00,,557360.62,
2026-05-04 15:00:00,,570081.12,
2026-05-04 16:00:00,,574948.88,
2026-05-04 17:00:00,,575911.08,
2026-05-04 18:00:00,,577681.35,
2026-05-04 19:00:00,,575660.60,
2026-05-04 20:00:00,,569648.40,
2026-05-04 21:00:00,,569344.37,
2026-05-04 22:00:00,,570658.91,
2026-05-04 23:00:00,,568553.29,
2026-05-05 00:00:00,,567818.55,
2026-05-05 01:00:00,,566194.31,
2026-05-05 02:00:00,,568757.50,
2026-05-05 03:00:00,,572292.50,
2026-05-05 04:00:00,,568342.35,
2026-05-05 05:00:00,,566734.32,
2026-05-05 06:00:00,,562312.89,
2026-05-05 07:00:00,,578854.07,
2026-05-05 08:00:00,,583765.89,
2026-05-05 09:00:00,,576163.70,
2026-05-05 10:00:00,,577770.46,
2026-05-05 11:00:00,,582780.31,
2026-05-05 12:00:00,,581950.23,
2026-05-05 13:00:00,,588675.18,
2026-05-05 14:00:00,,596948.05,
2026-05-05 15:00:00,,597063.62,
2026-05-05 16:00:00,,595918.15,
2026-05-05 17:00:00,,596862.40,
2026-05-05 18:00:00,,599334.31,
2026-05-05 19:00:00,,598352.39,
2026-05-05 20:00:00,,597843.03,
2026-05-05 21:00:00,,604317.71,
2026-05-05 22:00:00,,604772.03,
2026-05-05 23:00:00,,604580.55,
2026-05-06 00:00:00,,602857.27,
2026-05-06 01:00:00,,605983.74,
2026-05-06 02:00:00,,612116.14,
2026-05-06 03:00:00,,614167.57,
2026-05-06 04:00:00,,625133.55,
2026-05-06 05:00:00,,619603.25,
2026-05-06 06:00:00,,614485.12,
2026-05-06 07:00:00,,615806.80,
2026-05-06 08:00:00,,603784.20,
2026-05-06 09:00:00,,603243.44,
2026-05-06 10:00:00,,598010.88,
2026-05-06 11:00:00,,587054.03,
2026-05-06 12:00:00,,579129.72,
2026-05-06 13:00:00,,573923.12,
2026-05-06 14:00:00,,561923.98,
2026-05-06 15:00:00,,557322.94,
2026-05-06 16:00:00,,551960.29,
2026-05-06 17:00:00,,552025.85,
2026-05-06 18:00:00,,544312.53,
2026-05-06 19:00:00,,540667.99,
2026-05-06 20:00:00,,536828.77,
2026-05-06 21:00:00,,536454.81,
2026-05-06 22:00:00,,532433.59,
2026-05-06 23:00:00,,524937.09,
2026-05-07 00:00:00,,525764.95,
2026-05-07 01:00:00,,516888.25,
2026-05-07 02:00:00,,508648.87,
2026-05-07 03:00:00,,500955.96,
2026-05-07 04:00:00,,497122.86,
2026-05-07 05:00:00,,494725.60,
2026-05-07 06:00:00,,493476.75,
2026-05-07 07:00:00,,487022.88,
2026-05-07 08:00:00,,483875.73,
2026-05-07 09:00:00,,482774.89,
2026-05-07 10:00:00,,482153.45,
2026-05-07 11:00:00,,479285.45,
2026-05-07 12:00:00,,478483.94,
2026-05-07 13:00:00,,479421.73,
2026-05-07 14:00:00,,478656.19,
2026-05-07 15:00:00,,463626.94,
2026-05-07 16:00:00,,455774.84,
2026-05-07 17:00:00,,453571.60,
2026-05-07 18:00:00,,451564.57,
2026-05-07 19:00:00,,440277.98,
2026-05-07 20:00:00,,427584.15,
2026-05-07 21:00:00,,416905.06,
2026-05-07 22:00:00,,419085.89,
2026-05-07 23:00:00,,418967.74,
2026-05-08 00:00:00,,416017.52,
2026-05-08 01:00:00,,410249.19,
2026-05-08 02:00:00,,409358.89,
2026-05-08 03:00:00,,405345.45,
2026-05-08 04:00:00,,402486.18,
2026-05-08 05:00:00,,402019.63,
2026-05-08 06:00:00,,400587.74,
2026-05-08 07:00:00,,398231.20,
2026-05-08 08:00:00,,393153.66,
2026-05-08 09:00:00,,394374.52,
2026-05-08 10:00:00,,395794.11,
2026-05-08 11:00:00,,399171.59,
2026-05-08 12:00:00,,399545.27,
2026-05-08 13:00:00,,397976.56,
2026-05-08 14:00:00,,397696.47,
2026-05-08 15:00:00,,400981.85,
2026-05-08 16:00:00,,402645.30,
2026-05-08 17:00:00,,404344.72,
2026-05-08 18:00:00,,406390.72,
2026-05-08 19:00:00,,409555.86,
2026-05-08 20:00:00,,406915.16,
2026-05-08 21:00:00,,410692.54,
2026-05-08 22:00:00,,410562.77,
2026-05-08 23:00:00,,408657.80,
2026-05-09 00:00:00,,408529.04,
2026-05-09 01:00:00,,408942.37,
2026-05-09 02:00:00,,412625.32,
2026-05-09 03:00:00,,438820.79,
2026-05-09 04:00:00,,437771.99,
2026-05-09 05:00:00,,436188.57,
2026-05-09 06:00:00,,436311.60,
2026-05-09 07:00:00,,435768.34,
2026-05-09 08:00:00,,436686.44,
2026-05-09 09:00:00,,429675.49,
2026-05-09 10:00:00,,425836.09,
2026-05-09 11:00:00,,429806.11,
2026-05-09 12:00:00,,429756.90,
2026-05-09 13:00:00,,428658.79,
2026-05-09 14:00:00,,423552.31,
2026-05-09 15:00:00,,414716.95,
2026-05-09 16:00:00,,410403.90,
2026-05-09 17:00:00,,417197.71,
2026-05-09 18:00:00,,417126.90,
2026-05-09 19:00:00,,416751.36,
2026-05-09 20:00:00,,417149.97,
2026-05-09 21:00:00,,417635.87,
2026-05-09 22:00:00,,417236.06,
2026-05-09 23:00:00,,416975.78,
2026-05-10 00:00:00,,413786.53,
2026-05-10 01:00:00,,416059.57,
2026-05-10 02:00:00,,410928.25,
2026-05-10 03:00:00,,410147.43,
2026-05-10 04:00:00,,410204.77,
2026-05-10 05:00:00,,415364.05,
2026-05-10 06:00:00,,411005.88,
2026-05-10 07:00:00,,411583.64,
2026-05-10 08:00:00,,430516.68,
2026-05-10 09:00:00,,431445.24,
2026-05-10 10:00:00,,433774.01,
2026-05-10 11:00:00,,440816.70,
2026-05-10 12:00:00,,437858.85,
2026-05-10 13:00:00,,456944.84,
2026-05-10 14:00:00,,453196.64,
2026-05-10 15:00:00,,458425.99,
2026-05-10 16:00:00,,456612.92,
2026-05-10 17:00:00,,462793.52,
2026-05-10 18:00:00,,465046.79,
2026-05-10 19:00:00,,463078.63,
2026-05-10 20:00:00,,464759.61,
2026-05-10 21:00:00,,444322.89,
2026-05-10 22:00:00,,448079.56,
2026-05-10 23:00:00,,450692.42,
2026-05-11 00:00:00,,450592.33,
2026-05-11 01:00:00,,444716.30,
2026-05-11 02:00:00,,444026.73,
2026-05-11 03:00:00,,439670.48,
2026-05-11 04:00:00,,437007.18,
2026-05-11 05:00:00,,441784.87,
2026-05-11 06:00:00,,443150.22,
2026-05-11 07:00:00,,444960.20,
2026-05-11 08:00:00,,445964.15,
2026-05-11 09:00:00,,446931.56,
2026-05-11 10:00:00,,447150.77,
2026-05-11 11:00:00,,447516.73,
2026-05-11 12:00:00,,449913.24,
2026-05-11 13:00:00,,447327.66,
2026-05-11 14:00:00,,454380.89,
2026-05-11 15:00:00,,451140.58,
2026-05-11 16:00:00,,436351.77,
2026-05-11 17:00:00,,433608.96,
2026-05-11 18:00:00,,432334.58,
2026-05-11 19:00:00,,433416.68,
2026-05-11 20:00:00,,435952.04,
2026-05-11 21:00:00,,434009.73,
2026-05-11 22:00:00,,432232.90,
2026-05-11 23:00:00,,431995.37,
2026-05-12 00:00:00,,427616.25,
2026-05-12 01:00:00,,427385.58,
2026-05-12 02:00:00,,411496.92,
2026-05-12 03:00:00,,412581.93,
2026-05-12 04:00:00,,412432.47,
2026-05-12 05:00:00,,411784.26,
2026-05-12 06:00:00,,413089.57,
2026-05-12 07:00:00,,405902.97,
2026-05-12 08:00:00,,405796.27,
2026-05-12 09:00:00,,407103.98,
2026-05-12 10:00:00,,407593.86,
2026-05-12 11:00:00,,402106.94,
2026-05-12 12:00:00,,394052.32,
2026-05-12 13:00:00,,389735.34,
2026-05-12 14:00:00,,378344.52,
2026-05-12 15:00:00,,370630.68,
2026-05-12 16:00:00,,360211.30,
2026-05-12 17:00:00,,356268.90,
2026-05-12 18:00:00,,358980.90,
2026-05-12 19:00:00,,358665.78,
2026-05-12 20:00:00,,359500.29,
2026-05-12 21:00:00,,359756.27,
2026-05-12 22:00:00,,361745.13,
2026-05-12 23:00:00,,362898.73,
2026-05-13 00:00:00,,364758.28,
2026-05-13 01:00:00,,364990.25,
2026-05-13 02:00:00,,367232.16,
2026-05-13 03:00:00,,366876.88,
2026-05-13 04:00:00,,367055.09,
2026-05-13 05:00:00,,367812.24,
2026-05-13 06:00:00,,365538.08,
2026-05-13 07:00:00,,366805.54,
2026-05-13 08:00:00,,368712.08,
2026-05-13 09:00:00,,367921.25,
2026-05-13 10:00:00,,369676.07,
2026-05-13 11:00:00,,367697.47,
2026-05-13 12:00:00,,366482.83,
2026-05-13 13:00:00,,352042.86,
2026-05-13 14:00:00,,345582.19,
2026-05-13 15:00:00,,342262.00,
2026-05-13 16:00:00,,335394.25,
2026-05-13 17:00:00,,337433.94,
2026-05-13 18:00:00,,337686.52,
2026-05-13 19:00:00,,338771.66,
2026-05-13 20:00:00,,336678.83,
2026-05-13 21:00:00,,337714.01,
2026-05-13 22:00:00,,335570.71,
2026-05-13 23:00:00,,335546.03,
2026-05-14 00:00:00,,335896.44,
2026-05-14 01:00:00,,336396.24,
2026-05-14 02:00:00,,336084.55,
2026-05-14 03:00:00,,334609.95,
2026-05-14 04:00:00,,332092.49,
2026-05-14 05:00:00,,333655.00,
2026-05-14 06:00:00,,335750.70,
2026-05-14 07:00:00,,336437.40,
2026-05-14 08:00:00,,338168.87,
2026-05-14 09:00:00,,337601.01,
2026-05-14 10:00:00,,339207.30,
2026-05-14 11:00:00,,340308.42,
2026-05-14 12:00:00,,337972.91,
2026-05-14 13:00:00,,339438.81,
2026-05-14 14:00:00,,339934.62,
2026-05-14 15:00:00,,347805.66,
2026-05-14 16:00:00,,349978.08,
2026-05-14 17:00:00,,348062.14,
2026-05-14 18:00:00,,348316.92,
2026-05-14 19:00:00,,348439.46,
2026-05-14 20:00:00,,346742.67,
2026-05-14 21:00:00,,346850.59,
2026-05-14 22:00:00,,345405.49,
2026-05-14 23:00:00,,343522.44,
2026-05-15 00:00:00,,340703.52,
2026-05-15 01:00:00,,343687.87,
2026-05-15 02:00:00,,338920.89,
2026-05-15 03:00:00,,344339.01,
2026-05-15 04:00:00,,345602.34,
2026-05-15 05:00:00,,345505.23,
2026-05-15 06:00:00,,332644.45,
2026-05-15 07:00:00,,336821.51,
2026-05-15 08:00:00,,336905.22,
2026-05-15 09:00:00,,337141.56,
2026-05-15 10:00:00,,335771.15,
2026-05-15 11:00:00,,334951.95,
2026-05-15 12:00:00,,331436.23,
2026-05-15 13:00:00,,329810.89,
2026-05-15 14:00:00,,320431.56,
2026-05-15 15:00:00,,323098.16,
2026-05-15 16:00:00,,323504.03,
2026-05-15 17:00:00,,322573.26,
2026-05-15 18:00:00,,328177.80,
2026-05-15 19:00:00,,326214.56,
2026-05-15 20:00:00,,326539.72,
2026-05-15 21:00:00,,325852.78,
2026-05-15 22:00:00,,324589.44,
2026-05-15 23:00:00,,325463.67,
2026-05-16 00:00:00,,323627.68,
2026-05-16 01:00:00,,323999.68,
2026-05-16 02:00:00,,321443.27,
2026-05-16 03:00:00,,315812.50,
2026-05-16 04:00:00,,315352.20,
2026-05-16 05:00:00,,313598.56,
2026-05-16 06:00:00,,311260.61,
2026-05-16 07:00:00,,310463.77,
2026-05-16 08:00:00,,319634.42,
2026-05-16 09:00:00,,324664.17,
2026-05-16 10:00:00,,320627.61,
2026-05-16 11:00:00,,316513.08,
2026-05-16 12:00:00,,316873.59,
2026-05-16 13:00:00,,315015.54,
2026-05-16 14:00:00,,320448.09,
2026-05-16 15:00:00,,318632.99,
2026-05-16 16:00:00,,321418.58,
2026-05-16 17:00:00,,320028.84,
2026-05-16 18:00:00,,320530.71,
2026-05-16 19:00:00,,320427.27,
2026-05-16 20:00:00,,319234.01,
2026-05-16 21:00:00,,319198.41,
2026-05-16 22:00:00,,319929.58,
2026-05-16 23:00:00,,318729.66,
2026-05-17 00:00:00,,319466.20,
2026-05-17 01:00:00,,318004.32,
2026-05-17 02:00:00,,316992.37,
2026-05-17 03:00:00,,318592.67,
2026-05-17 04:00:00,,320945.94,
2026-05-17 05:00:00,,320573.94,
2026-05-17 06:00:00,,320482.84,
2026-05-17 07:00:00,,320099.71,
2026-05-17 08:00:00,,319953.10,
2026-05-17 09:00:00,,321638.88,
2026-05-17 10:00:00,,323259.74,
2026-05-17 11:00:00,,315349.82,
2026-05-17 12:00:00,,311809.63,
2026-05-17 13:00:00,,310784.44,
2026-05-17 14:00:00,,308803.22,
2026-05-17 15:00:00,,310749.30,
2026-05-17 16:00:00,,310641.54,
2026-05-17 17:00:00,,312592.36,
2026-05-17 18:00:00,,309422.73,
2026-05-17 19:00:00,,307256.90,
2026-05-17 20:00:00,,306846.50,
2026-05-17 21:00:00,,307302.91,
2026-05-17 22:00:00,,308494.46,
2026-05-17 23:00:00,,311306.59,
2026-05-18 00:00:00,,312574.23,
2026-05-18 01:00:00,,311978.53,
2026-05-18 02:00:00,,311228.23,
2026-05-18 03:00:00,,308789.49,
2026-05-18 04:00:00,,307087.69,
2026-05-18 05:00:00,,309713.30,
2026-05-18 06:00:00,,307245.25,
2026-05-18 07:00:00,,309991.79,
2026-05-18 08:00:00,,308692.85,
2026-05-18 09:00:00,,305964.71,
2026-05-18 10:00:00,,312319.51,
2026-05-18 11:00:00,,314477.59,
2026-05-18 12:00:00,,318356.04,
2026-05-18 13:00:00,,318276.25,
2026-05-18 14:00:00,,316443.98,
2026-05-18 15:00:00,,312313.79,
2026-05-18 16:00:00,,313763.18,
2026-05-18 17:00:00,,313476.22,
2026-05-18 18:00:00,,313881.96,
2026-05-18 19:00:00,,312164.60,
2026-05-18 20:00:00,,319366.75,
2026-05-18 21:00:00,,318747.03,
2026-05-18 22:00:00,,320699.96,
2026-05-18 23:00:00,,319185.47,
2026-05-19 00:00:00,,319377.95,
2026-05-19 01:00:00,,309716.60,
2026-05-19 02:00:00,,306976.21,
2026-05-19 03:00:00,,307072.75,
2026-05-19 04:00:00,,308878.59,
2026-05-19 05:00:00,,314070.20,
2026-05-19 06:00:00,,311242.86,
2026-05-19 07:00:00,,313609.44,
2026-05-19 08:00:00,,313522.17,
2026-05-19 09:00:00,,313419.00,
2026-05-19 10:00:00,,307833.03,
2026-05-19 11:00:00,,307366.60,
2026-05-19 12:00:00,,305383.29,
2026-05-19 13:00:00,,300183.22,
2026-05-19 14:00:00,,300356.49,
2026-05-19 15:00:00,,298188.32,
2026-05-19 16:00:00,,298627.22,
2026-05-19 17:00:00,,298741.15,
2026-05-19 18:00:00,,297641.37,
2026-05-19 19:00:00,,296606.47,
2026-05-19 20:00:00,,295193.62,
2026-05-19 21:00:00,,297492.25,
2026-05-19 22:00:00,,295694.44,
2026-05-19 23:00:00,,294147.22,
2026-05-20 00:00:00,,294030.04,
2026-05-20 01:00:00,,293771.38,
2026-05-20 02:00:00,,295100.15,
2026-05-20 03:00:00,,294919.09,
2026-05-20 04:00:00,,294719.47,
2026-05-20 05:00:00,,295330.26,
2026-05-20 06:00:00,,296169.87,
2026-05-20 07:00:00,,294327.00,
2026-05-20 08:00:00,,292765.89,
2026-05-20 09:00:00,,295218.83,
2026-05-20 10:00:00,,295706.20,
2026-05-20 11:00:00,,297279.19,
2026-05-20 12:00:00,,296818.80,
2026-05-20 13:00:00,,297967.74,
2026-05-20 14:00:00,,298091.41,
2026-05-20 15:00:00,,300162.05,
2026-05-20 16:00:00,,303525.85,
2026-05-20 17:00:00,,314428.62,
2026-05-20 18:00:00,,318288.20,
2026-05-20 19:00:00,,313896.39,
2026-05-20 20:00:00,,316141.32,
2026-05-20 21:00:00,,315194.85,
2026-05-20 22:00:00,,314857.92,
2026-05-20 23:00:00,,314126.32,
2026-05-21 00:00:00,,314406.43,
2026-05-21 01:00:00,,317036.87,
2026-05-21 02:00:00,,318520.05,
2026-05-21 03:00:00,,320119.29,
2026-05-21 04:00:00,,321476.82,
2026-05-21 05:00:00,,321919.09,
2026-05-21 06:00:00,,326276.76,
2026-05-21 07:00:00,,329878.75,
2026-05-21 08:00:00,,329065.24,
2026-05-21 09:00:00,,326581.71,
2026-05-21 10:00:00,,325311.79,
2026-05-21 11:00:00,,324457.98,
2026-05-21 12:00:00,,324278.26,
2026-05-21 13:00:00,,324156.87,
2026-05-21 14:00:00,,327706.32,
2026-05-21 15:00:00,,328343.07,
2026-05-21 16:00:00,,330396.97,
2026-05-21 17:00:00,,329604.00,
2026-05-21 18:00:00,,340999.97,
2026-05-21 19:00:00,,341034.88,
2026-05-21 20:00:00,,343086.96,
2026-05-21 21:00:00,,342176.36,
2026-05-21 22:00:00,,341935.81,
2026-05-21 23:00:00,,341348.96,
2026-05-22 00:00:00,,343087.98,
2026-05-22 01:00:00,,341010.53,
2026-05-22 02:00:00,,341804.83,
2026-05-22 03:00:00,,343100.94,
2026-05-22 04:00:00,,343242.28,
2026-05-22 05:00:00,,342091.53,
2026-05-22 06:00:00,,340750.71,
2026-05-22 07:00:00,,340572.68,
2026-05-22 08:00:00,,339205.08,
2026-05-22 09:00:00,,338391.99,
2026-05-22 10:00:00,,335345.28,
2026-05-22 11:00:00,,337864.76,
2026-05-22 12:00:00,,337590.60,
2026-05-22 13:00:00,,336900.65,
2026-05-22 14:00:00,,338486.20,
2026-05-22 15:00:00,,331464.57,
2026-05-22 16:00:00,,333842.15,
2026-05-22 17:00:00,,332335.35,
2026-05-22 18:00:00,,331795.91,
2026-05-22 19:00:00,,320314.97,
2026-05-22 20:00:00,,312152.79,
2026-05-22 21:00:00,,309720.70,
2026-05-22 22:00:00,,312424.78,
2026-05-22 23:00:00,,310495.71,
2026-05-23 00:00:00,,304171.17,
2026-05-23 01:00:00,,298783.95,
2026-05-23 02:00:00,,296042.19,
2026-05-23 03:00:00,,293240.43,
2026-05-23 04:00:00,,292310.24,
2026-05-23 05:00:00,,291037.58,
2026-05-23 06:00:00,,291258.21,
2026-05-23 07:00:00,,295860.01,
2026-05-23 08:00:00,,285164.94,
2026-05-23 09:00:00,,281572.19,
2026-05-23 10:00:00,,274713.49,
2026-05-23 11:00:00,,274889.43,
2026-05-23 12:00:00,,273926.41,
2026-05-23 13:00:00,,277961.29,
2026-05-23 14:00:00,,280864.75,
2026-05-23 15:00:00,,286538.63,
2026-05-23 16:00:00,,285576.92,
2026-05-23 17:00:00,,284947.68,
2026-05-23 18:00:00,,283774.74,
2026-05-23 19:00:00,,283611.09,
2026-05-23 20:00:00,,283146.71,
2026-05-23 21:00:00,,289818.98,
2026-05-23 22:00:00,,286079.96,
2026-05-23 23:00:00,,286261.98,
2026-05-24 00:00:00,,285453.97,
2026-05-24 01:00:00,,283501.68,
2026-05-24 02:00:00,,282001.97,
2026-05-24 03:00:00,,279642.49,
2026-05-24 04:00:00,,279895.26,
2026-05-24 05:00:00,,278162.98,
2026-05-24 06:00:00,,278947.56,
2026-05-24 07:00:00,,280091.56,
2026-05-24 08:00:00,,281225.57,
2026-05-24 09:00:00,,281732.78,
2026-05-24 10:00:00,,283460.15,
2026-05-24 11:00:00,,283095.44,
2026-05-24 12:00:00,,287055.06,
2026-05-24 13:00:00,,290342.55,
2026-05-24 14:00:00,,289301.77,
2026-05-24 15:00:00,,286582.34,
2026-05-24 16:00:00,,286691.04,
2026-05-24 17:00:00,,286470.05,
2026-05-24 18:00:00,,287957.75,
2026-05-24 19:00:00,,286718.87,
2026-05-24 20:00:00,,288444.33,
2026-05-24 21:00:00,,293687.45,
2026-05-24 22:00:00,,293273.96,
2026-05-24 23:00:00,,295521.74,
2026-05-25 00:00:00,,298315.65,
2026-05-25 01:00:00,,296107.77,
2026-05-25 02:00:00,,295842.27,
2026-05-25 03:00:00,,298767.44,
2026-05-25 04:00:00,,301715.78,
2026-05-25 05:00:00,,304107.77,
2026-05-25 06:00:00,,302505.88,
2026-05-25 07:00:00,,302388.78,
2026-05-25 08:00:00,,303294.78,
2026-05-25 09:00:00,,302393.60,
2026-05-25 10:00:00,,302115.29,
2026-05-25 11:00:00,,302573.11,
2026-05-25 12:00:00,,300446.29,
2026-05-25 13:00:00,,302697.26,
2026-05-25 14:00:00,,302435.80,
2026-05-25 15:00:00,,310403.50,
2026-05-25 16:00:00,,307063.07,
2026-05-25 17:00:00,,310591.04,
2026-05-25 18:00:00,,311541.19,
2026-05-25 19:00:00,,310392.14,
2026-05-25 20:00:00,,306768.01,
2026-05-25 21:00:00,,308982.76,
2026-05-25 22:00:00,,310574.16,
2026-05-25 23:00:00,,305345.53,
2026-05-26 00:00:00,,306418.17,
2026-05-26 01:00:00,,300782.61,
2026-05-26 02:00:00,,301188.86,
2026-05-26 03:00:00,,297613.34,
2026-05-26 04:00:00,,297876.45,
2026-05-26 05:00:00,,300210.80,
2026-05-26 06:00:00,,299460.64,
2026-05-26 07:00:00,,302651.04,
2026-05-26 08:00:00,,301317.43,
2026-05-26 09:00:00,,302795.98,
2026-05-26 10:00:00,,306155.85,
2026-05-26 11:00:00,,309387.11,
2026-05-26 12:00:00,,308762.07,
2026-05-26 13:00:00,,308690.64,
2026-05-26 14:00:00,,309732.01,
2026-05-26 15:00:00,,306654.75,
2026-05-26 16:00:00,,305799.18,
2026-05-26 17:00:00,,302999.58,
2026-05-26 18:00:00,,297583.68,
2026-05-26 19:00:00,,296066.81,
2026-05-26 20:00:00,,296326.48,
2026-05-26 21:00:00,,294440.84,
2026-05-26 22:00:00,,293825.10,
2026-05-26 23:00:00,,293393.88,
2026-05-27 00:00:00,,292222.11,
2026-05-27 01:00:00,,296487.89,
2026-05-27 02:00:00,,295463.05,
2026-05-27 03:00:00,,290492.51,
2026-05-27 04:00:00,,290213.69,
2026-05-27 05:00:00,,289084.75,
2026-05-27 06:00:00,,295221.22,
2026-05-27 07:00:00,,295664.33,
2026-05-27 08:00:00,,296029.84,
2026-05-27 09:00:00,,293937.77,
2026-05-27 10:00:00,,293529.97,
2026-05-27 11:00:00,,293076.15,
2026-05-27 12:00:00,,292858.08,
2026-05-27 13:00:00,,295965.89,
2026-05-27 14:00:00,,294568.14,
2026-05-27 15:00:00,,300148.82,
2026-05-27 16:00:00,,304763.16,
2026-05-27 17:00:00,,304065.87,
2026-05-27 18:00:00,,303029.58,
2026-05-27 19:00:00,,309039.25,
2026-05-27 20:00:00,,306379.85,
2026-05-27 21:00:00,,305067.89,
2026-05-27 22:00:00,,302485.15,
2026-05-27 23:00:00,,300869.06,
2026-05-28 00:00:00,,300184.55,
2026-05-28 01:00:00,,299876.42,
2026-05-28 02:00:00,,297490.86,
2026-05-28 03:00:00,,297374.15,
2026-05-28 04:00:00,,281935.24,
2026-05-28 05:00:00,,284279.07,
2026-05-28 06:00:00,,277619.18,
2026-05-28 07:00:00,,278964.75,
2026-05-28 08:00:00,,276171.94,
2026-05-28 09:00:00,,274605.08,
2026-05-28 10:00:00,,275175.07,
2026-05-28 11:00:00,,272726.72,
2026-05-28 12:00:00,,272776.31,
2026-05-28 13:00:00,,272317.98,
2026-05-28 14:00:00,,270567.00,
2026-05-28 15:00:00,,273659.19,
2026-05-28 16:00:00,,276425.45,
2026-05-28 17:00:00,,279517.99,
2026-05-28 18:00:00,,277263.64,
2026-05-28 19:00:00,,278329.37,
2026-05-28 20:00:00,,276731.88,
2026-05-28 21:00:00,,278037.91,
2026-05-28 22:00:00,,280221.83,
2026-05-28 23:00:00,,278193.03,
2026-05-29 00:00:00,,279239.51,
2026-05-29 01:00:00,,283128.40,
2026-05-29 02:00:00,,282647.44,
2026-05-29 03:00:00,,283534.99,
2026-05-29 04:00:00,,280090.47,
2026-05-29 05:00:00,,279342.06,
2026-05-29 06:00:00,,281942.04,
2026-05-29 07:00:00,,282982.45,
