time,oi_A,oi_6,oi_3
2026-05-10 12:00:00,1318820.37,,
2026-05-10 13:00:00,1321468.13,,
2026-05-10 14:00:00,1321328.06,,
2026-05-10 15:00:00,1331660.83,,
2026-05-10 16:00:00,1385775.66,,
2026-05-10 17:00:00,1335753.53,,
2026-05-10 18:00:00,1348286.69,,
2026-05-10 19:00:00,1330191.72,,
2026-05-10 20:00:00,1334531.48,,
2026-05-10 21:00:00,1306825.52,,
2026-05-10 22:00:00,1305359.12,,
2026-05-10 23:00:00,1343776.29,,
2026-05-11 00:00:00,1337675.18,,
2026-05-11 01:00:00,1311200.75,,
2026-05-11 02:00:00,1309810.29,,
2026-05-11 03:00:00,1291113.22,,
2026-05-11 04:00:00,1288356.13,,
2026-05-11 05:00:00,1297226.50,,
2026-05-11 06:00:00,1298406.80,,
2026-05-11 07:00:00,1287906.95,,
2026-05-11 08:00:00,1284521.52,,
2026-05-11 09:00:00,1284690.55,,
2026-05-11 10:00:00,1287328.89,,
2026-05-11 11:00:00,1286935.10,,
2026-05-11 12:00:00,1276247.95,,
2026-05-11 13:00:00,1264796.16,,
2026-05-11 14:00:00,1252940.33,,
2026-05-11 15:00:00,1267322.89,,
2026-05-11 16:00:00,1286423.21,,
2026-05-11 17:00:00,1287593.85,,
2026-05-11 18:00:00,1280489.10,,
2026-05-11 19:00:00,1282629.30,,
2026-05-11 20:00:00,1283577.26,,
2026-05-11 21:00:00,1279965.42,,
2026-05-11 22:00:00,1283828.80,,
2026-05-11 23:00:00,1285767.66,,
2026-05-12 00:00:00,1285811.18,,
2026-05-12 01:00:00,1298350.80,,
2026-05-12 02:00:00,1251437.92,,
2026-05-12 03:00:00,1258332.66,,
2026-05-12 04:00:00,1268540.24,,
2026-05-12 05:00:00,2018009.25,,
2026-05-12 06:00:00,1968904.24,,
2026-05-12 07:00:00,1960678.46,,
2026-05-12 08:00:00,1895517.84,,
2026-05-12 09:00:00,1781537.74,,
2026-05-12 10:00:00,1788314.39,,
2026-05-12 11:00:00,1772797.66,,
2026-05-12 12:00:00,1758782.53,,
2026-05-12 13:00:00,1803168.40,,
2026-05-12 14:00:00,1758014.84,,
2026-05-12 15:00:00,1670837.82,,
2026-05-12 16:00:00,1634402.36,,
2026-05-12 17:00:00,1612546.40,,
2026-05-12 18:00:00,1617162.48,,
2026-05-12 19:00:00,1646530.83,,
2026-05-12 20:00:00,1658634.85,,
2026-05-12 21:00:00,1643503.77,,
2026-05-12 22:00:00,1631094.08,,
2026-05-12 23:00:00,1643275.54,,
2026-05-13 00:00:00,1661964.74,,
2026-05-13 01:00:00,1639097.62,,
2026-05-13 02:00:00,1595750.70,,
2026-05-13 03:00:00,1585345.21,,
2026-05-13 04:00:00,1580595.01,,
2026-05-13 05:00:00,1578399.05,,
2026-05-13 06:00:00,1588957.04,,
2026-05-13 07:00:00,1620059.76,,
2026-05-13 08:00:00,1615510.57,,
2026-05-13 09:00:00,1601721.69,,
2026-05-13 10:00:00,1603158.73,,
2026-05-13 11:00:00,1563377.41,,
2026-05-13 12:00:00,1535258.43,,
2026-05-13 13:00:00,1475054.09,,
2026-05-13 14:00:00,1426212.42,,
2026-05-13 15:00:00,1413003.95,,
2026-05-13 16:00:00,1338655.03,,
2026-05-13 17:00:00,1348774.29,,
2026-05-13 18:00:00,1365951.10,,
2026-05-13 19:00:00,1352443.32,,
2026-05-13 20:00:00,1344158.32,,
2026-05-13 21:00:00,1355077.77,,
2026-05-13 22:00:00,1325485.18,,
2026-05-13 23:00:00,1343235.20,,
2026-05-14 00:00:00,1342928.47,,
2026-05-14 01:00:00,1342579.28,,
2026-05-14 02:00:00,1333019.55,,
2026-05-14 03:00:00,1333013.66,,
2026-05-14 04:00:00,1285304.94,,
2026-05-14 05:00:00,1309064.25,,
2026-05-14 06:00:00,1321632.92,,
2026-05-14 07:00:00,1324196.55,,
2026-05-14 08:00:00,1314776.69,,
2026-05-14 09:00:00,1319321.70,,
2026-05-14 10:00:00,1326865.87,,
2026-05-14 11:00:00,1357100.54,,
2026-05-14 12:00:00,1372729.44,,
2026-05-14 13:00:00,1355038.19,,
2026-05-14 14:00:00,1329127.19,,
2026-05-14 15:00:00,1353190.29,,
2026-05-14 16:00:00,1360941.87,,
2026-05-14 17:00:00,1356856.83,,
2026-05-14 18:00:00,1332985.75,,
2026-05-14 19:00:00,1329213.69,,
2026-05-14 20:00:00,1337840.75,,
2026-05-14 21:00:00,1340452.99,,
2026-05-14 22:00:00,1326878.31,,
2026-05-14 23:00:00,1326646.73,,
2026-05-15 00:00:00,1305081.08,,
2026-05-15 01:00:00,1316127.98,,
2026-05-15 02:00:00,1303136.53,,
2026-05-15 03:00:00,1325048.17,,
2026-05-15 04:00:00,1311741.61,,
2026-05-15 05:00:00,1301673.35,,
2026-05-15 06:00:00,1277042.42,,
2026-05-15 07:00:00,1293873.64,,
2026-05-15 08:00:00,1288906.11,,
2026-05-15 09:00:00,1282518.14,,
2026-05-15 10:00:00,1284944.39,,
2026-05-15 11:00:00,1289351.49,,
2026-05-15 12:00:00,1286725.56,,
2026-05-15 13:00:00,1280829.72,,
2026-05-15 14:00:00,1171803.64,,
2026-05-15 15:00:00,1189390.38,,
2026-05-15 16:00:00,1175308.56,,
2026-05-15 17:00:00,1192087.33,,
2026-05-15 18:00:00,1204303.57,,
2026-05-15 19:00:00,1199467.47,,
2026-05-15 20:00:00,1189520.83,,
2026-05-15 21:00:00,1185927.71,,
2026-05-15 22:00:00,1189656.31,,
2026-05-15 23:00:00,1190927.79,,
2026-05-16 00:00:00,1192549.82,,
2026-05-16 01:00:00,1182650.69,,
2026-05-16 02:00:00,1181953.50,,
2026-05-16 03:00:00,1189983.32,,
2026-05-16 04:00:00,1184355.29,,
2026-05-16 05:00:00,1180524.58,,
2026-05-16 06:00:00,1175295.80,,
2026-05-16 07:00:00,1153833.64,,
2026-05-16 08:00:00,1134455.95,,
2026-05-16 09:00:00,1132738.06,,
2026-05-16 10:00:00,1122550.51,,
2026-05-16 11:00:00,1124626.36,,
2026-05-16 12:00:00,1118834.42,,
2026-05-16 13:00:00,1114316.94,,
2026-05-16 14:00:00,1115797.75,,
2026-05-16 15:00:00,1123396.75,,
2026-05-16 16:00:00,1125806.02,,
2026-05-16 17:00:00,1131836.15,,
2026-05-16 18:00:00,1125948.85,,
2026-05-16 19:00:00,1129074.41,,
2026-05-16 20:00:00,1123164.23,,
2026-05-16 21:00:00,1123434.84,,
2026-05-16 22:00:00,1120160.52,,
2026-05-16 23:00:00,1118255.17,,
2026-05-17 00:00:00,1114988.56,,
2026-05-17 01:00:00,1105967.20,,
2026-05-17 02:00:00,1098893.94,,
2026-05-17 03:00:00,1107989.09,,
2026-05-17 04:00:00,1122448.49,,
2026-05-17 05:00:00,1128419.47,,
2026-05-17 06:00:00,1130593.35,,
2026-05-17 07:00:00,1134805.57,,
2026-05-17 08:00:00,1128870.92,,
2026-05-17 09:00:00,1119912.79,,
2026-05-17 10:00:00,1117966.42,,
2026-05-17 11:00:00,1116698.51,,
2026-05-17 12:00:00,1109919.97,,
2026-05-17 13:00:00,1110221.48,,
2026-05-17 14:00:00,1107367.83,,
2026-05-17 15:00:00,1127914.86,,
2026-05-17 16:00:00,1132517.13,,
2026-05-17 17:00:00,1122942.36,,
2026-05-17 18:00:00,1107339.31,,
2026-05-17 19:00:00,1118213.33,,
2026-05-17 20:00:00,1115327.68,,
2026-05-17 21:00:00,1108487.17,,
2026-05-17 22:00:00,1106230.92,,
2026-05-17 23:00:00,1093858.49,,
2026-05-18 00:00:00,1062440.40,,
2026-05-18 01:00:00,1063870.96,,
2026-05-18 02:00:00,1061465.79,,
2026-05-18 03:00:00,1057687.56,,
2026-05-18 04:00:00,1049480.25,,
2026-05-18 05:00:00,1057712.63,,
2026-05-18 06:00:00,1045140.39,,
2026-05-18 07:00:00,1073159.24,,
2026-05-18 08:00:00,1057577.91,,
2026-05-18 09:00:00,1064539.93,,
2026-05-18 10:00:00,1055326.49,,
2026-05-18 11:00:00,1053679.34,,
2026-05-18 12:00:00,1064418.01,,
2026-05-18 13:00:00,1069364.74,,
2026-05-18 14:00:00,1065703.61,,
2026-05-18 15:00:00,1053264.48,,
2026-05-18 16:00:00,1055528.30,,
