time,oi_A,oi_6,oi_3
2026-05-03 12:00:00,,519497.11,
2026-05-03 13:00:00,,521342.11,
2026-05-03 14:00:00,,524541.85,
2026-05-03 15:00:00,,524346.56,
2026-05-03 16:00:00,,511169.81,
2026-05-03 17:00:00,,505642.00,
2026-05-03 18:00:00,,506869.91,
2026-05-03 19:00:00,,506922.46,
2026-05-03 20:00:00,,506859.33,
2026-05-03 21:00:00,,508593.00,
2026-05-03 22:00:00,,504846.92,
2026-05-03 23:00:00,,506662.02,
2026-05-04 00:00:00,,505155.22,
2026-05-04 01:00:00,,504665.03,
2026-05-04 02:00:00,,506091.59,
2026-05-04 03:00:00,,509095.88,
2026-05-04 04:00:00,,505118.24,
2026-05-04 05:00:00,,509402.96,
2026-05-04 06:00:00,,505544.61,
2026-05-04 07:00:00,,503721.56,
2026-05-04 08:00:00,,508557.82,
2026-05-04 09:00:00,,511745.41,
2026-05-04 10:00:00,,502987.03,
2026-05-04 11:00:00,,497262.88,
2026-05-04 12:00:00,,494813.22,
2026-05-04 13:00:00,,501590.76,
2026-05-04 14:00:00,,495160.11,
2026-05-04 15:00:00,,499658.64,
2026-05-04 16:00:00,,499368.11,
2026-05-04 17:00:00,,498059.27,
2026-05-04 18:00:00,,498890.81,
2026-05-04 19:00:00,,495188.60,
2026-05-04 20:00:00,,497386.91,
2026-05-04 21:00:00,,501785.86,
2026-05-04 22:00:00,,508453.54,
2026-05-04 23:00:00,,508031.42,
2026-05-05 00:00:00,,503752.33,
2026-05-05 01:00:00,,502052.04,
2026-05-05 02:00:00,,497606.89,
2026-05-05 03:00:00,,490112.30,
2026-05-05 04:00:00,,494427.39,
2026-05-05 05:00:00,,493226.65,
2026-05-05 06:00:00,,484143.43,
2026-05-05 07:00:00,,496021.48,
2026-05-05 08:00:00,,499171.02,
2026-05-05 09:00:00,,497650.97,
2026-05-05 10:00:00,,497655.09,
2026-05-05 11:00:00,,498676.91,
2026-05-05 12:00:00,,501464.38,
2026-05-05 13:00:00,,501445.23,
2026-05-05 14:00:00,,499052.96,
2026-05-05 15:00:00,,495338.02,
2026-05-05 16:00:00,,482576.62,
2026-05-05 17:00:00,,487368.88,
2026-05-05 18:00:00,,486785.93,
2026-05-05 19:00:00,,486532.77,
2026-05-05 20:00:00,,483624.07,
2026-05-05 21:00:00,,481231.61,
2026-05-05 22:00:00,,481232.59,
2026-05-05 23:00:00,,483848.25,
2026-05-06 00:00:00,,488109.55,
2026-05-06 01:00:00,,488242.43,
2026-05-06 02:00:00,,490329.87,
2026-05-06 03:00:00,,494858.21,
2026-05-06 04:00:00,,490135.66,
2026-05-06 05:00:00,,486940.24,
2026-05-06 06:00:00,,484406.75,
2026-05-06 07:00:00,,485213.50,
2026-05-06 08:00:00,,505521.80,
2026-05-06 09:00:00,,512196.55,
2026-05-06 10:00:00,,512743.36,
2026-05-06 11:00:00,,510607.84,
2026-05-06 12:00:00,,516341.64,
2026-05-06 13:00:00,,521701.55,
2026-05-06 14:00:00,,498599.96,
2026-05-06 15:00:00,,497655.91,
2026-05-06 16:00:00,,496103.40,
2026-05-06 17:00:00,,495997.18,
2026-05-06 18:00:00,,490803.74,
2026-05-06 19:00:00,,486047.16,
2026-05-06 20:00:00,,487431.05,
2026-05-06 21:00:00,,491796.17,
2026-05-06 22:00:00,,493168.80,
2026-05-06 23:00:00,,491017.02,
2026-05-07 00:00:00,,491247.69,
2026-05-07 01:00:00,,487250.86,
2026-05-07 02:00:00,,474064.38,
2026-05-07 03:00:00,,471851.38,
2026-05-07 04:00:00,,474072.79,
2026-05-07 05:00:00,,515069.69,
2026-05-07 06:00:00,,498753.07,
2026-05-07 07:00:00,,494922.75,
2026-05-07 08:00:00,,503054.79,
2026-05-07 09:00:00,,503561.91,
2026-05-07 10:00:00,,506436.68,
2026-05-07 11:00:00,,513769.63,
2026-05-07 12:00:00,,514489.99,
2026-05-07 13:00:00,,515622.54,
2026-05-07 14:00:00,,504406.45,
2026-05-07 15:00:00,,518560.86,
2026-05-07 16:00:00,,535405.86,
2026-05-07 17:00:00,,530130.15,
2026-05-07 18:00:00,,493676.07,
2026-05-07 19:00:00,,504723.74,
2026-05-07 20:00:00,,495757.66,
2026-05-07 21:00:00,,506912.51,
2026-05-07 22:00:00,,517599.27,
2026-05-07 23:00:00,,513198.79,
2026-05-08 00:00:00,,515988.94,
2026-05-08 01:00:00,,511816.15,
2026-05-08 02:00:00,,515246.03,
2026-05-08 03:00:00,,509679.37,
2026-05-08 04:00:00,,515250.41,
2026-05-08 05:00:00,,517837.30,
2026-05-08 06:00:00,,517933.59,
2026-05-08 07:00:00,,519972.30,
2026-05-08 08:00:00,,522002.15,
2026-05-08 09:00:00,,517515.87,
2026-05-08 10:00:00,,525096.75,
2026-05-08 11:00:00,,525379.09,
2026-05-08 12:00:00,,525168.61,
2026-05-08 13:00:00,,525268.49,
2026-05-08 14:00:00,,525137.98,
2026-05-08 15:00:00,,523254.34,
2026-05-08 16:00:00,,521633.58,
2026-05-08 17:00:00,,521060.54,
2026-05-08 18:00:00,,525003.41,
2026-05-08 19:00:00,,529833.06,
2026-05-08 20:00:00,,527663.26,
2026-05-08 21:00:00,,527911.37,
2026-05-08 22:00:00,,532151.60,
2026-05-08 23:00:00,,528840.44,
2026-05-09 00:00:00,,534414.93,
2026-05-09 01:00:00,,535343.76,
2026-05-09 02:00:00,,539185.90,
2026-05-09 03:00:00,,543054.70,
2026-05-09 04:00:00,,540580.85,
2026-05-09 05:00:00,,535909.02,
2026-05-09 06:00:00,,538716.51,
2026-05-09 07:00:00,,534821.93,
