time,oi_A,oi_6,oi_3
2026-05-17 12:00:00,1166994.19,,
2026-05-17 13:00:00,1153035.70,,
2026-05-17 14:00:00,1150107.89,,
2026-05-17 15:00:00,1145851.76,,
2026-05-17 16:00:00,1139145.93,,
2026-05-17 17:00:00,1129772.12,,
2026-05-17 18:00:00,1129164.20,,
2026-05-17 19:00:00,1138850.67,,
2026-05-17 20:00:00,1135911.29,,
2026-05-17 21:00:00,1130973.24,,
2026-05-17 22:00:00,1133551.66,,
2026-05-17 23:00:00,1122990.40,,
2026-05-18 00:00:00,1108737.68,,
2026-05-18 01:00:00,1163549.07,,
2026-05-18 02:00:00,1167945.61,,
2026-05-18 03:00:00,1158419.69,,
2026-05-18 04:00:00,1159842.79,,
2026-05-18 05:00:00,1163072.87,,
2026-05-18 06:00:00,1165688.38,,
2026-05-18 07:00:00,1161485.52,,
2026-05-18 08:00:00,1151306.05,,
2026-05-18 09:00:00,1157457.84,,
2026-05-18 10:00:00,1148495.77,,
2026-05-18 11:00:00,1149816.45,,
2026-05-18 12:00:00,1160236.43,,
2026-05-18 13:00:00,1171648.84,,
2026-05-18 14:00:00,1159028.10,,
2026-05-18 15:00:00,1149861.16,,
2026-05-18 16:00:00,1152733.72,,
2026-05-18 17:00:00,1150405.85,,
2026-05-18 18:00:00,1153543.91,,
2026-05-18 19:00:00,1146792.31,,
2026-05-18 20:00:00,1165833.90,,
2026-05-18 21:00:00,1157390.13,,
2026-05-18 22:00:00,1175319.36,,
2026-05-18 23:00:00,1173052.85,,
2026-05-19 00:00:00,1184172.47,,
2026-05-19 01:00:00,1212362.77,,
2026-05-19 02:00:00,1193535.73,,
2026-05-19 03:00:00,1189907.81,,
2026-05-19 04:00:00,1190352.44,,
2026-05-19 05:00:00,1197664.43,,
2026-05-19 06:00:00,1186473.59,,
2026-05-19 07:00:00,1180532.56,,
2026-05-19 08:00:00,1173165.64,,
2026-05-19 09:00:00,1169028.50,,
2026-05-19 10:00:00,1157659.18,,
2026-05-19 11:00:00,1152530.66,,
2026-05-19 12:00:00,1153609.48,,
2026-05-19 13:00:00,1159150.59,,
2026-05-19 14:00:00,1159018.57,,
2026-05-19 15:00:00,1149191.01,,
2026-05-19 16:00:00,1146541.74,,
2026-05-19 17:00:00,1159638.00,,
2026-05-19 18:00:00,1155159.73,,
2026-05-19 19:00:00,1189206.50,,
2026-05-19 20:00:00,1190231.28,,
2026-05-19 21:00:00,1192241.68,,
2026-05-19 22:00:00,1190979.62,,
2026-05-19 23:00:00,1186162.36,,
2026-05-20 00:00:00,1178980.11,,
2026-05-20 01:00:00,1180112.71,,
2026-05-20 02:00:00,1177063.62,,
2026-05-20 03:00:00,1175311.13,,
2026-05-20 04:00:00,1188181.25,,
2026-05-20 05:00:00,1185198.64,,
2026-05-20 06:00:00,1194299.51,,
2026-05-20 07:00:00,1196082.99,,
2026-05-20 08:00:00,1193858.90,,
2026-05-20 09:00:00,1188684.10,,
2026-05-20 10:00:00,1196285.80,,
2026-05-20 11:00:00,1198804.19,,
2026-05-20 12:00:00,1200796.67,,
2026-05-20 13:00:00,1204491.07,,
2026-05-20 14:00:00,1194234.82,,
2026-05-20 15:00:00,1205397.42,,
2026-05-20 16:00:00,1213973.35,,
2026-05-20 17:00:00,1219659.24,,
2026-05-20 18:00:00,1287306.00,,
2026-05-20 19:00:00,1288117.62,,
2026-05-20 20:00:00,1286747.83,,
2026-05-20 21:00:00,1271844.42,,
2026-05-20 22:00:00,1270917.00,,
2026-05-20 23:00:00,1263039.28,,
2026-05-21 00:00:00,1263040.16,,
2026-05-21 01:00:00,1250598.80,,
2026-05-21 02:00:00,1246697.19,,
2026-05-21 03:00:00,1237901.23,,
2026-05-21 04:00:00,1236148.37,,
2026-05-21 05:00:00,1239040.09,,
2026-05-21 06:00:00,1226982.09,,
2026-05-21 07:00:00,1236967.02,,
2026-05-21 08:00:00,1270735.28,,
2026-05-21 09:00:00,1295044.09,,
2026-05-21 10:00:00,1325305.10,,
2026-05-21 11:00:00,1324426.17,,
2026-05-21 12:00:00,1328035.59,,
2026-05-21 13:00:00,1375596.45,,
2026-05-21 14:00:00,1382289.07,,
2026-05-21 15:00:00,1387917.84,,
2026-05-21 16:00:00,1388018.06,,
2026-05-21 17:00:00,1394509.72,,
2026-05-21 18:00:00,1397673.58,,
2026-05-21 19:00:00,1393132.03,,
2026-05-21 20:00:00,1403016.37,,
2026-05-21 21:00:00,1410641.23,,
2026-05-21 22:00:00,1400254.39,,
2026-05-21 23:00:00,1411793.16,,
2026-05-22 00:00:00,1434824.80,,
2026-05-22 01:00:00,1432050.21,,
2026-05-22 02:00:00,1482575.83,,
2026-05-22 03:00:00,1520648.36,,
2026-05-22 04:00:00,1913367.63,,
2026-05-22 05:00:00,1970364.95,,
2026-05-22 06:00:00,1973178.09,,
2026-05-22 07:00:00,1886510.36,,
2026-05-22 08:00:00,2021482.58,,
2026-05-22 09:00:00,1910835.05,,
2026-05-22 10:00:00,1862140.15,,
2026-05-22 11:00:00,1855277.48,,
2026-05-22 12:00:00,1836284.85,,
2026-05-22 13:00:00,1775973.53,,
2026-05-22 14:00:00,1726539.21,,
2026-05-22 15:00:00,1698539.12,,
2026-05-22 16:00:00,1699046.53,,
2026-05-22 17:00:00,1696931.07,,
2026-05-22 18:00:00,1678585.01,,
