time,oi_A,oi_6,oi_3
2026-04-25 12:00:00,14001166.86,,1491689.95
2026-04-25 13:00:00,13784429.62,,1473360.83
2026-04-25 14:00:00,13822758.48,,1473832.50
2026-04-25 15:00:00,13631661.66,,1466804.00
2026-04-25 16:00:00,13459574.37,,1461164.57
2026-04-25 17:00:00,13313273.09,,1491040.49
2026-04-25 18:00:00,12909827.38,,1471680.71
2026-04-25 19:00:00,12840794.42,,1468153.37
2026-04-25 20:00:00,12757995.47,,1465886.24
2026-04-25 21:00:00,12761863.33,,1467433.64
2026-04-25 22:00:00,12775800.77,,1451663.34
2026-04-25 23:00:00,12685817.24,,1454658.68
2026-04-26 00:00:00,12747979.90,,1477790.61
2026-04-26 01:00:00,12414959.06,,1440757.62
2026-04-26 02:00:00,12456683.87,,1390094.69
2026-04-26 03:00:00,12432004.74,,1365794.44
2026-04-26 04:00:00,12376551.51,,1367061.41
2026-04-26 05:00:00,12518458.74,,1356306.00
2026-04-26 06:00:00,12590379.93,,1379863.57
2026-04-26 07:00:00,12632193.83,,1384924.25
2026-04-26 08:00:00,12738912.43,,1393753.27
2026-04-26 09:00:00,12757580.31,,1403729.96
2026-04-26 10:00:00,12973367.86,,1425768.50
2026-04-26 11:00:00,13163739.98,,1431007.86
2026-04-26 12:00:00,13972823.74,,1460102.14
2026-04-26 13:00:00,13987464.00,,1425088.24
2026-04-26 14:00:00,14039723.07,,1421682.03
2026-04-26 15:00:00,14805259.63,,1483016.56
2026-04-26 16:00:00,14904995.08,,1469445.48
2026-04-26 17:00:00,15162962.55,,1502468.92
2026-04-26 18:00:00,14740621.44,,1462565.81
2026-04-26 19:00:00,14616183.28,,1457848.22
2026-04-26 20:00:00,14261536.83,,1450010.03
2026-04-26 21:00:00,14204132.35,,1433217.12
2026-04-26 22:00:00,13957830.52,,1409256.03
2026-04-26 23:00:00,13780921.06,,1406201.97
2026-04-27 00:00:00,13794081.92,,1419407.07
2026-04-27 01:00:00,13906758.50,,1416581.81
2026-04-27 02:00:00,13919947.04,,1430248.23
2026-04-27 03:00:00,13939481.39,,1438541.66
2026-04-27 04:00:00,13799123.89,,1430902.10
2026-04-27 05:00:00,13777526.05,,1430042.28
2026-04-27 06:00:00,12961550.09,,1433274.75
2026-04-27 07:00:00,12852529.30,,1430435.06
2026-04-27 08:00:00,12818723.06,,1432801.36
2026-04-27 09:00:00,12986122.30,,1420139.71
2026-04-27 10:00:00,13095189.91,,1425533.16
2026-04-27 11:00:00,13009891.24,,1408004.42
2026-04-27 12:00:00,13080796.07,,1418806.67
2026-04-27 13:00:00,13008118.55,,1423347.07
2026-04-27 14:00:00,12925366.13,,1421976.24
2026-04-27 15:00:00,13189488.15,,1422108.94
2026-04-27 16:00:00,12517749.93,,1393870.24
2026-04-27 17:00:00,12570225.38,,1387833.03
2026-04-27 18:00:00,12683288.15,,1379495.52
2026-04-27 19:00:00,12657596.50,,1372114.90
2026-04-27 20:00:00,12647783.32,,1391319.28
2026-04-27 21:00:00,12629002.54,,1400722.93
2026-04-27 22:00:00,12710547.76,,1380535.70
2026-04-27 23:00:00,12690066.84,,1397697.42
2026-04-28 00:00:00,12777562.67,,1413445.13
2026-04-28 01:00:00,12681139.99,,1406928.01
2026-04-28 02:00:00,12532109.60,,1398174.40
2026-04-28 03:00:00,12430365.91,,1381192.40
2026-04-28 04:00:00,12459268.80,,1400641.58
2026-04-28 05:00:00,12483567.19,,1400483.57
2026-04-28 06:00:00,12420737.21,,1395828.81
2026-04-28 07:00:00,12392774.94,,1388204.09
2026-04-28 08:00:00,12353279.05,,1449359.50
2026-04-28 09:00:00,12398073.44,,1433392.00
2026-04-28 10:00:00,12441966.44,,1426880.15
2026-04-28 11:00:00,12535705.97,,1431338.66
2026-04-28 12:00:00,12430959.17,,1420959.20
2026-04-28 13:00:00,12508755.92,,1445544.26
2026-04-28 14:00:00,12379067.35,,1444765.29
2026-04-28 15:00:00,12265937.86,,1408516.57
2026-04-28 16:00:00,12228110.32,,1411208.52
2026-04-28 17:00:00,12229243.66,,1411854.20
2026-04-28 18:00:00,12135593.74,,1401743.62
2026-04-28 19:00:00,12148520.86,,1400122.71
2026-04-28 20:00:00,12089511.26,,1397353.61
2026-04-28 21:00:00,12117541.76,,1410232.74
2026-04-28 22:00:00,12022645.91,,1395496.63
2026-04-28 23:00:00,12080887.55,,1403412.14
2026-04-29 00:00:00,11993515.32,,1403011.74
2026-04-29 01:00:00,12064174.21,,1405470.85
2026-04-29 02:00:00,12030644.28,,1406173.71
2026-04-29 03:00:00,12024047.85,,1415290.24
2026-04-29 04:00:00,12118114.15,,1424390.98
2026-04-29 05:00:00,12132438.30,,1420870.18
2026-04-29 06:00:00,12148940.51,,1431234.59
2026-04-29 07:00:00,12232092.01,,1448960.58
2026-04-29 08:00:00,12055593.70,,1436446.68
2026-04-29 09:00:00,12088034.92,,1482813.18
2026-04-29 10:00:00,12106372.02,,1446013.38
2026-04-29 11:00:00,12039369.40,,1518180.55
2026-04-29 12:00:00,12017414.96,,1493041.12
2026-04-29 13:00:00,12094247.14,,1487796.57
2026-04-29 14:00:00,12081359.99,,1471050.01
2026-04-29 15:00:00,11965630.25,,1466070.24
2026-04-29 16:00:00,11783226.57,,1445941.25
2026-04-29 17:00:00,11689602.07,,1428827.42
2026-04-29 18:00:00,11692123.14,,1422062.12
2026-04-29 19:00:00,11244368.73,,1358518.47
2026-04-29 20:00:00,11198142.40,,1360198.57
2026-04-29 21:00:00,11298902.71,,1373682.09
2026-04-29 22:00:00,11375547.73,,1405028.90
2026-04-29 23:00:00,11358441.16,,1405261.84
2026-04-30 00:00:00,11366014.73,,1408547.91
2026-04-30 01:00:00,11451011.81,,1417064.88
2026-04-30 02:00:00,11481294.07,,1403770.53
2026-04-30 03:00:00,11409197.16,,1393732.22
2026-04-30 04:00:00,11458306.00,,1403391.41
2026-04-30 05:00:00,11313212.26,,1386266.16
2026-04-30 06:00:00,11277383.65,,1374692.18
2026-04-30 07:00:00,11289269.91,,1377677.79
2026-04-30 08:00:00,11449547.45,,1376449.55
2026-04-30 09:00:00,11468100.69,,1397890.32
2026-04-30 10:00:00,11502972.43,,1392299.65
2026-04-30 11:00:00,11453655.01,,1395499.81
2026-04-30 12:00:00,11514818.23,,1397296.59
2026-04-30 13:00:00,11492765.29,,1384958.25
2026-04-30 14:00:00,11423261.90,,1375854.25
2026-04-30 15:00:00,11355317.69,,1362265.53
2026-04-30 16:00:00,11194715.26,,1355840.80
2026-04-30 17:00:00,11100071.47,,1351106.57
2026-04-30 18:00:00,11130461.88,,1357149.48
2026-04-30 19:00:00,11123810.43,,1357146.07
2026-04-30 20:00:00,11124415.37,,1358698.12
2026-04-30 21:00:00,11145935.30,,1365279.52
2026-04-30 22:00:00,11168844.95,,1359817.34
2026-04-30 23:00:00,11178475.07,,1355596.47
2026-05-01 00:00:00,11184529.99,,1364247.90
2026-05-01 01:00:00,11164626.90,,1369075.99
2026-05-01 02:00:00,11223297.16,,1376057.26
2026-05-01 03:00:00,11176397.26,,1377114.10
2026-05-01 04:00:00,11268219.76,,1384316.31
2026-05-01 05:00:00,11321752.20,,1408279.24
2026-05-01 06:00:00,11334786.68,,1407143.75
2026-05-01 07:00:00,11282205.70,,1403408.82
2026-05-01 08:00:00,11371443.84,,1407694.06
2026-05-01 09:00:00,11391646.10,,1397548.09
2026-05-01 10:00:00,11414089.54,,1394742.47
2026-05-01 11:00:00,11399299.07,,1393754.50
2026-05-01 12:00:00,11344400.63,,1401872.52
2026-05-01 13:00:00,11374453.67,,1410324.98
2026-05-01 14:00:00,11458209.05,,1421826.81
2026-05-01 15:00:00,11430612.58,,1414360.51
2026-05-01 16:00:00,11432697.65,,1424308.61
2026-05-01 17:00:00,11428586.66,,1419444.05
2026-05-01 18:00:00,11449284.50,,1422194.82
2026-05-01 19:00:00,11543505.33,,1422621.19
2026-05-01 20:00:00,11536855.59,,1425012.11
2026-05-01 21:00:00,11554505.92,,1421104.51
2026-05-01 22:00:00,11560514.13,,1408321.28
2026-05-01 23:00:00,11574949.84,,1406864.97
2026-05-02 00:00:00,11584071.96,,1409001.63
2026-05-02 01:00:00,11550426.15,,1411669.28
2026-05-02 02:00:00,11529921.77,,1414867.36
2026-05-02 03:00:00,11478237.15,,1412348.37
2026-05-02 04:00:00,11615783.02,,1417863.89
2026-05-02 05:00:00,11655103.25,,1416976.80
2026-05-02 06:00:00,11566576.33,,1400594.38
2026-05-02 07:00:00,11644382.31,,1402800.96
2026-05-02 08:00:00,11629297.13,,1400710.08
2026-05-02 09:00:00,11762173.63,,1422118.18
2026-05-02 10:00:00,11768741.96,,1430728.69
2026-05-02 11:00:00,11729553.39,,1428076.24
2026-05-02 12:00:00,11818851.09,,1427601.19
2026-05-02 13:00:00,11811108.78,,1437322.25
2026-05-02 14:00:00,11951264.14,,1442096.02
2026-05-02 15:00:00,11968951.65,,1449605.75
2026-05-02 16:00:00,12011435.37,,1446650.15
2026-05-02 17:00:00,11897014.60,,1448157.85
2026-05-02 18:00:00,11832679.03,,1431057.29
2026-05-02 19:00:00,11889540.74,,1442630.78
2026-05-02 20:00:00,12018744.81,,1440642.56
2026-05-02 21:00:00,12093360.93,,1447643.87
2026-05-02 22:00:00,12075261.58,,1448967.35
2026-05-02 23:00:00,12047249.80,,1453723.06
2026-05-03 00:00:00,12011786.74,,1451939.04
2026-05-03 01:00:00,11906991.22,,1435743.34
2026-05-03 02:00:00,11680122.54,,1390188.95
2026-05-03 03:00:00,11600954.99,,1378026.24
2026-05-03 04:00:00,11596547.13,,1380892.71
2026-05-03 05:00:00,11797160.10,,1389232.02
2026-05-03 06:00:00,11696667.42,,1391463.32
2026-05-03 07:00:00,11591518.23,,1373759.37
2026-05-03 08:00:00,11577741.95,,1386584.09
2026-05-03 09:00:00,11514856.65,,1376907.56
2026-05-03 10:00:00,11495203.30,,1388997.67
2026-05-03 11:00:00,11472307.14,,1390902.31
2026-05-03 12:00:00,11527596.24,,1415141.81
2026-05-03 13:00:00,11653673.94,,1430979.73
2026-05-03 14:00:00,11595035.78,,1428087.46
2026-05-03 15:00:00,11601067.87,,1434967.20
2026-05-03 16:00:00,11628815.99,,1438707.43
2026-05-03 17:00:00,11620170.35,,1434409.75
2026-05-03 18:00:00,11625273.85,,1432113.50
2026-05-03 19:00:00,11622357.84,,1430170.21
2026-05-03 20:00:00,11641478.89,,1434612.35
2026-05-03 21:00:00,11602535.04,,1433074.76
2026-05-03 22:00:00,11566747.61,,1433052.02
2026-05-03 23:00:00,11673614.94,,1441567.28
2026-05-04 00:00:00,11623968.25,,1434747.26
2026-05-04 01:00:00,11642662.46,,1444119.14
2026-05-04 02:00:00,11673099.71,,1468055.41
2026-05-04 03:00:00,12126748.26,,1463629.03
2026-05-04 04:00:00,12074023.79,,1451049.21
2026-05-04 05:00:00,12037776.70,,1445452.61
2026-05-04 06:00:00,12095972.54,,1444867.05
2026-05-04 07:00:00,12029421.48,,1434819.73
2026-05-04 08:00:00,11927843.88,,1424909.13
2026-05-04 09:00:00,11829165.79,,1422452.95
2026-05-04 10:00:00,11861875.91,,1435979.15
2026-05-04 11:00:00,11351737.64,,1414195.49
2026-05-04 12:00:00,11367931.70,,1429192.26
2026-05-04 13:00:00,11392793.46,,1437524.31
2026-05-04 14:00:00,11449832.13,,1437958.85
2026-05-04 15:00:00,11668940.36,,1458245.52
2026-05-04 16:00:00,11605544.95,,1446061.66
2026-05-04 17:00:00,11603774.88,,1447952.98
2026-05-04 18:00:00,11689194.74,,1462112.59
2026-05-04 19:00:00,11718315.77,,1454922.03
2026-05-04 20:00:00,11685496.11,,1441320.18
2026-05-04 21:00:00,11609664.91,,1438391.72
2026-05-04 22:00:00,11602161.06,,1440500.63
2026-05-04 23:00:00,11554719.33,,1427620.04
2026-05-05 00:00:00,11582551.21,,1433292.43
2026-05-05 01:00:00,11598072.30,,1431033.06
2026-05-05 02:00:00,11503141.97,,1434815.78
2026-05-05 03:00:00,11449611.99,,1427561.68
2026-05-05 04:00:00,11508962.36,,1427693.98
2026-05-05 05:00:00,11512580.62,,1421615.89
2026-05-05 06:00:00,11550810.18,,1433458.05
2026-05-05 07:00:00,11588722.27,,1438541.05
2026-05-05 08:00:00,11586036.69,,1433949.03
2026-05-05 09:00:00,11648460.72,,1437098.85
2026-05-05 10:00:00,11628011.16,,1436240.30
2026-05-05 11:00:00,11694835.66,,1446304.76
2026-05-05 12:00:00,11603268.60,,1435739.19
2026-05-05 13:00:00,11564082.08,,1438252.66
2026-05-05 14:00:00,11582317.75,,1442112.28
2026-05-05 15:00:00,11597426.99,,1425660.06
2026-05-05 16:00:00,11466464.91,,1429744.34
2026-05-05 17:00:00,11392961.66,,1408418.70
2026-05-05 18:00:00,11310750.22,,1405522.43
2026-05-05 19:00:00,11370282.71,,1409518.91
2026-05-05 20:00:00,11401785.50,,1417416.34
2026-05-05 21:00:00,11564893.56,,1440130.00
2026-05-05 22:00:00,11498815.44,,1403824.88
2026-05-05 23:00:00,11411153.91,,1395613.12
2026-05-06 00:00:00,11419212.00,,1398341.25
2026-05-06 01:00:00,11427109.97,,1410718.51
2026-05-06 02:00:00,11732582.21,,1434804.73
2026-05-06 03:00:00,11897840.72,,1424634.96
2026-05-06 04:00:00,11957294.82,,1436916.20
2026-05-06 05:00:00,11953138.32,,1423102.94
2026-05-06 06:00:00,12061622.70,,1428139.98
2026-05-06 07:00:00,12159144.99,,1441581.36
2026-05-06 08:00:00,12265729.39,,1441850.65
2026-05-06 09:00:00,12681639.02,,1524514.19
2026-05-06 10:00:00,12799085.91,,1563699.97
2026-05-06 11:00:00,12593089.28,,1562408.12
2026-05-06 12:00:00,12702150.58,,1569937.52
2026-05-06 13:00:00,12732822.93,,1569351.38
2026-05-06 14:00:00,12367837.87,,1536747.37
2026-05-06 15:00:00,12327838.01,,1533242.67
2026-05-06 16:00:00,12401774.58,,1552593.53
2026-05-06 17:00:00,12485564.19,,1558513.24
2026-05-06 18:00:00,12498539.77,,1554009.97
2026-05-06 19:00:00,12414939.49,,1546728.39
2026-05-06 20:00:00,12410084.03,,1554677.61
2026-05-06 21:00:00,12302095.17,,1550287.25
2026-05-06 22:00:00,12466223.82,,1566842.66
2026-05-06 23:00:00,12392372.88,,1556700.50
2026-05-07 00:00:00,12812320.48,,1567649.76
2026-05-07 01:00:00,12318391.76,,1561200.02
2026-05-07 02:00:00,12155370.20,,1546902.07
2026-05-07 03:00:00,12148340.20,,1541924.58
2026-05-07 04:00:00,12258925.76,,1542804.89
2026-05-07 05:00:00,12187874.39,,1556187.32
2026-05-07 06:00:00,12316021.47,,1565071.28
2026-05-07 07:00:00,12444954.25,,1578599.83
2026-05-07 08:00:00,12579056.83,,1596141.71
2026-05-07 09:00:00,12800985.45,,1588627.66
2026-05-07 10:00:00,12708480.71,,1576342.04
2026-05-07 11:00:00,12637529.28,,1573012.61
2026-05-07 12:00:00,12671885.16,,1582276.05
2026-05-07 13:00:00,12898981.63,,1598303.39
2026-05-07 14:00:00,12636135.13,,1570834.73
2026-05-07 15:00:00,12497450.32,,1563946.68
2026-05-07 16:00:00,12358197.76,,1553369.78
2026-05-07 17:00:00,12544585.54,,1565683.65
2026-05-07 18:00:00,12601775.06,,1576161.70
2026-05-07 19:00:00,12621464.46,,1576863.37
2026-05-07 20:00:00,12624318.01,,1585956.20
2026-05-07 21:00:00,12551496.76,,1564375.47
2026-05-07 22:00:00,12519137.69,,1554074.61
2026-05-07 23:00:00,12513595.21,,1558092.84
2026-05-08 00:00:00,12560605.29,,1573443.93
2026-05-08 01:00:00,12612588.11,,1579859.54
2026-05-08 02:00:00,12634056.44,,1582682.32
2026-05-08 03:00:00,12732287.22,,1578287.67
2026-05-08 04:00:00,12732005.31,,1576249.96
2026-05-08 05:00:00,13097111.66,,1578969.16
2026-05-08 06:00:00,13137579.29,,1576592.70
2026-05-08 07:00:00,13113652.22,,1576290.77
2026-05-08 08:00:00,13229434.87,,1591544.34
2026-05-08 09:00:00,13381492.66,,1595056.50
2026-05-08 10:00:00,13583808.16,,1597093.90
2026-05-08 11:00:00,13635609.54,,1596086.11
2026-05-08 12:00:00,13700394.10,,1612387.47
2026-05-08 13:00:00,13489748.79,,1598417.76
2026-05-08 14:00:00,13467542.08,,1583165.35
2026-05-08 15:00:00,13776919.16,,1612491.46
2026-05-08 16:00:00,13924467.64,,1615236.78
2026-05-08 17:00:00,14466539.54,,1636074.24
2026-05-08 18:00:00,14443465.43,,1634812.48
2026-05-08 19:00:00,14472174.50,,1660764.75
2026-05-08 20:00:00,14491286.43,,1665539.16
2026-05-08 21:00:00,14685284.84,,1661575.83
2026-05-08 22:00:00,14865162.72,,1663764.91
2026-05-08 23:00:00,14885893.25,,1680205.58
2026-05-09 00:00:00,14817553.68,,1665835.33
2026-05-09 01:00:00,15040235.35,,1676552.53
2026-05-09 02:00:00,15028168.38,,1728068.76
2026-05-09 03:00:00,15058317.80,,1783434.32
2026-05-09 04:00:00,15203563.09,,1786893.06
