time,oi_A,oi_6,oi_3
2026-05-17 12:00:00,3408188.38,,
2026-05-17 13:00:00,3399629.34,,
2026-05-17 14:00:00,3384131.03,,
2026-05-17 15:00:00,3371141.75,,
2026-05-17 16:00:00,3382633.08,,
2026-05-17 17:00:00,3383938.66,,
2026-05-17 18:00:00,3370847.32,,
2026-05-17 19:00:00,3376443.78,,
2026-05-17 20:00:00,3384074.61,,
2026-05-17 21:00:00,3368294.06,,
2026-05-17 22:00:00,3373999.63,,
2026-05-17 23:00:00,3349557.86,,
2026-05-18 00:00:00,3312092.77,,
2026-05-18 01:00:00,3303344.50,,
2026-05-18 02:00:00,3319689.57,,
2026-05-18 03:00:00,3364186.61,,
2026-05-18 04:00:00,3393961.65,,
2026-05-18 05:00:00,3385314.08,,
2026-05-18 06:00:00,3329313.14,,
2026-05-18 07:00:00,3317406.18,,
2026-05-18 08:00:00,3296059.13,,
2026-05-18 09:00:00,3294867.06,,
2026-05-18 10:00:00,3264248.69,,
2026-05-18 11:00:00,3256276.21,,
2026-05-18 12:00:00,3269773.54,,
2026-05-18 13:00:00,3280601.31,,
2026-05-18 14:00:00,3252256.63,,
2026-05-18 15:00:00,3238131.57,,
2026-05-18 16:00:00,3247507.26,,
2026-05-18 17:00:00,3264979.73,,
2026-05-18 18:00:00,3247829.37,,
2026-05-18 19:00:00,3223010.11,,
2026-05-18 20:00:00,3286674.24,,
2026-05-18 21:00:00,3288151.73,,
2026-05-18 22:00:00,3312757.19,,
2026-05-18 23:00:00,3312505.62,,
2026-05-19 00:00:00,3306045.09,,
2026-05-19 01:00:00,3333257.24,,
2026-05-19 02:00:00,3309603.35,,
2026-05-19 03:00:00,3288520.46,,
2026-05-19 04:00:00,3281682.81,,
2026-05-19 05:00:00,3298844.19,,
2026-05-19 06:00:00,3293220.70,,
2026-05-19 07:00:00,3301793.05,,
2026-05-19 08:00:00,3307709.15,,
2026-05-19 09:00:00,3283889.60,,
2026-05-19 10:00:00,3278394.02,,
2026-05-19 11:00:00,3264055.71,,
2026-05-19 12:00:00,3245438.44,,
2026-05-19 13:00:00,3254181.37,,
2026-05-19 14:00:00,3257757.68,,
2026-05-19 15:00:00,3240130.14,,
2026-05-19 16:00:00,3242847.43,,
2026-05-19 17:00:00,3273091.82,,
2026-05-19 18:00:00,3287693.42,,
2026-05-19 19:00:00,3269763.76,,
2026-05-19 20:00:00,3261729.01,,
2026-05-19 21:00:00,3277200.96,,
2026-05-19 22:00:00,3267391.31,,
2026-05-19 23:00:00,3247188.20,,
2026-05-20 00:00:00,3235182.73,,
2026-05-20 01:00:00,3221676.92,,
2026-05-20 02:00:00,3234317.47,,
2026-05-20 03:00:00,3228793.96,,
2026-05-20 04:00:00,3248551.11,,
2026-05-20 05:00:00,3248226.05,,
2026-05-20 06:00:00,3261249.38,,
2026-05-20 07:00:00,3263500.16,,
2026-05-20 08:00:00,3261401.98,,
2026-05-20 09:00:00,3268577.46,,
2026-05-20 10:00:00,3281915.44,,
2026-05-20 11:00:00,3277908.43,,
2026-05-20 12:00:00,3261195.71,,
2026-05-20 13:00:00,3277848.77,,
2026-05-20 14:00:00,3261647.87,,
2026-05-20 15:00:00,3279771.13,,
2026-05-20 16:00:00,3304146.38,,
2026-05-20 17:00:00,3315528.90,,
2026-05-20 18:00:00,3318688.53,,
2026-05-20 19:00:00,3304723.62,,
2026-05-20 20:00:00,3319613.76,,
2026-05-20 21:00:00,3325745.43,,
2026-05-20 22:00:00,3310298.14,,
2026-05-20 23:00:00,3307873.89,,
