time,oi_A,oi_6,oi_3
2026-05-24 12:00:00,33346816.25,,
2026-05-24 13:00:00,33567201.83,,
2026-05-24 14:00:00,33693372.25,,
2026-05-24 15:00:00,33147910.97,,
2026-05-24 16:00:00,33050719.64,,
2026-05-24 17:00:00,33999911.24,,
2026-05-24 18:00:00,32903398.50,,
2026-05-24 19:00:00,32970705.59,,
2026-05-24 20:00:00,32817362.94,,
2026-05-24 21:00:00,32558413.81,,
2026-05-24 22:00:00,32413322.21,,
2026-05-24 23:00:00,32614167.81,,
2026-05-25 00:00:00,32542942.72,,
2026-05-25 01:00:00,32636725.97,,
2026-05-25 02:00:00,32259968.67,,
2026-05-25 03:00:00,32584230.15,,
2026-05-25 04:00:00,32359014.66,,
2026-05-25 05:00:00,34108364.90,,
2026-05-25 06:00:00,34519133.24,,
2026-05-25 07:00:00,33365723.71,,
2026-05-25 08:00:00,31357088.16,,
2026-05-25 09:00:00,31161987.60,,
2026-05-25 10:00:00,30782575.17,,
2026-05-25 11:00:00,30148977.03,,
2026-05-25 12:00:00,29717200.49,,
2026-05-25 13:00:00,29231945.81,,
2026-05-25 14:00:00,28909988.45,,
2026-05-25 15:00:00,28574221.86,,
2026-05-25 16:00:00,27953478.78,,
2026-05-25 17:00:00,28310450.95,,
2026-05-25 18:00:00,27780247.78,,
2026-05-25 19:00:00,27836423.10,,
2026-05-25 20:00:00,28310285.49,,
2026-05-25 21:00:00,27666452.37,,
2026-05-25 22:00:00,27867797.74,,
2026-05-25 23:00:00,27635588.47,,
2026-05-26 00:00:00,27483847.99,,
2026-05-26 01:00:00,27337784.80,,
2026-05-26 02:00:00,26862180.13,,
2026-05-26 03:00:00,26827641.50,,
2026-05-26 04:00:00,26372485.36,,
2026-05-26 05:00:00,26504226.12,,
2026-05-26 06:00:00,25911718.68,,
2026-05-26 07:00:00,26222149.74,,
2026-05-26 08:00:00,26711530.16,,
2026-05-26 09:00:00,26475249.66,,
2026-05-26 10:00:00,25537442.75,,
2026-05-26 11:00:00,26682298.36,,
2026-05-26 12:00:00,26559621.05,,
2026-05-26 13:00:00,25940940.53,,
2026-05-26 14:00:00,25336089.09,,
2026-05-26 15:00:00,25502125.58,,
2026-05-26 16:00:00,24893573.84,,
2026-05-26 17:00:00,24605900.25,,
2026-05-26 18:00:00,24671946.29,,
2026-05-26 19:00:00,24729227.08,,
2026-05-26 20:00:00,24521042.00,,
2026-05-26 21:00:00,24446377.54,,
2026-05-26 22:00:00,24337027.29,,
2026-05-26 23:00:00,23943117.10,,
2026-05-27 00:00:00,23950501.00,,
2026-05-27 01:00:00,23938659.24,,
2026-05-27 02:00:00,23669207.82,,
2026-05-27 03:00:00,23770774.52,,
2026-05-27 04:00:00,23570871.72,,
2026-05-27 05:00:00,23283405.80,,
2026-05-27 06:00:00,23085124.36,,
2026-05-27 07:00:00,23679699.64,,
2026-05-27 08:00:00,24206050.56,,
2026-05-27 09:00:00,24458329.62,,
2026-05-27 10:00:00,24364392.38,,
2026-05-27 11:00:00,24420137.20,,
2026-05-27 12:00:00,24103819.76,,
2026-05-27 13:00:00,23991603.17,,
2026-05-27 14:00:00,23980035.15,,
2026-05-27 15:00:00,24045841.94,,
2026-05-27 16:00:00,23478700.51,,
2026-05-27 17:00:00,23196869.54,,
2026-05-27 18:00:00,23026813.97,,
2026-05-27 19:00:00,22937732.91,,
2026-05-27 20:00:00,21792152.32,,
2026-05-27 21:00:00,21400305.54,,
2026-05-27 22:00:00,21019324.16,,
2026-05-27 23:00:00,20996190.00,,
2026-05-28 00:00:00,22412706.61,,
2026-05-28 01:00:00,22297495.59,,
2026-05-28 02:00:00,20916774.35,,
2026-05-28 03:00:00,21484706.05,,
2026-05-28 04:00:00,22213831.02,,
2026-05-28 05:00:00,21630587.72,,
2026-05-28 06:00:00,24973104.55,,
2026-05-28 07:00:00,23515113.46,,
2026-05-28 08:00:00,23181684.09,,
2026-05-28 09:00:00,23926220.87,,
2026-05-28 10:00:00,24079619.70,,
2026-05-28 11:00:00,25282161.34,,
2026-05-28 12:00:00,25047937.65,,
2026-05-28 13:00:00,26102107.86,,
2026-05-28 14:00:00,25836471.00,,
2026-05-28 15:00:00,27165258.85,,
2026-05-28 16:00:00,23894153.70,,
2026-05-28 17:00:00,25609207.79,,
2026-05-28 18:00:00,23364464.87,,
2026-05-28 19:00:00,23478734.51,,
2026-05-28 20:00:00,23724772.66,,
2026-05-28 21:00:00,23291163.53,,
2026-05-28 22:00:00,23500209.78,,
2026-05-28 23:00:00,23224099.84,,
2026-05-29 00:00:00,23057172.81,,
2026-05-29 01:00:00,23513734.29,,
2026-05-29 02:00:00,23521377.78,,
2026-05-29 03:00:00,22869315.68,,
2026-05-29 04:00:00,23619368.84,,
2026-05-29 05:00:00,22952707.69,,
2026-05-29 06:00:00,23298366.53,,
2026-05-29 07:00:00,22648887.45,,
2026-05-29 08:00:00,23035574.90,,
2026-05-29 09:00:00,22798199.27,,
2026-05-29 10:00:00,22825451.53,,
2026-05-29 11:00:00,22860064.70,,
2026-05-29 12:00:00,23238060.77,,
2026-05-29 13:00:00,23070105.13,,
2026-05-29 14:00:00,22954312.21,,
2026-05-29 15:00:00,22805089.09,,
2026-05-29 16:00:00,23579344.20,,
2026-05-29 17:00:00,23856702.75,,
2026-05-29 18:00:00,23407394.56,,
2026-05-29 19:00:00,23145380.13,,
2026-05-29 20:00:00,23132158.95,,
2026-05-29 21:00:00,23395150.35,,
2026-05-29 22:00:00,23338544.46,,
2026-05-29 23:00:00,23181933.25,,
2026-05-30 00:00:00,22969649.71,,
2026-05-30 01:00:00,23114624.69,,
2026-05-30 02:00:00,23506045.78,,
2026-05-30 03:00:00,23682413.77,,
2026-05-30 04:00:00,22070106.66,,
2026-05-30 05:00:00,21534379.83,,
2026-05-30 06:00:00,20477012.29,,
2026-05-30 07:00:00,20851153.71,,
2026-05-30 08:00:00,21773947.98,,
2026-05-30 09:00:00,21722250.25,,
2026-05-30 10:00:00,21699897.30,,
2026-05-30 11:00:00,21013577.40,,
2026-05-30 12:00:00,20546765.04,,
2026-05-30 13:00:00,20961117.29,,
