time,oi_A,oi_6,oi_3
2026-05-31 12:00:00,921178.07,,
2026-05-31 13:00:00,924086.90,,
2026-05-31 14:00:00,930370.48,,
2026-05-31 15:00:00,921129.24,,
2026-05-31 16:00:00,903999.56,,
2026-05-31 17:00:00,901403.15,,
2026-05-31 18:00:00,903967.99,,
2026-05-31 19:00:00,898690.26,,
2026-05-31 20:00:00,900736.30,,
2026-05-31 21:00:00,901866.46,,
2026-05-31 22:00:00,912303.41,,
2026-05-31 23:00:00,924647.45,,
2026-06-01 00:00:00,925316.30,,
2026-06-01 01:00:00,936793.00,,
2026-06-01 02:00:00,923524.87,,
2026-06-01 03:00:00,936372.66,,
2026-06-01 04:00:00,939271.87,,
2026-06-01 05:00:00,946280.85,,
2026-06-01 06:00:00,934366.43,,
2026-06-01 07:00:00,921491.86,,
2026-06-01 08:00:00,907202.01,,
2026-06-01 09:00:00,914289.54,,
2026-06-01 10:00:00,916204.88,,
2026-06-01 11:00:00,916953.78,,
2026-06-01 12:00:00,917260.95,,
2026-06-01 13:00:00,921553.99,,
2026-06-01 14:00:00,921714.74,,
2026-06-01 15:00:00,929960.96,,
2026-06-01 16:00:00,938558.09,,
2026-06-01 17:00:00,951341.04,,
2026-06-01 18:00:00,961015.54,,
2026-06-01 19:00:00,961140.38,,
2026-06-01 20:00:00,964251.96,,
2026-06-01 21:00:00,956850.34,,
2026-06-01 22:00:00,948098.61,,
2026-06-01 23:00:00,948758.66,,
2026-06-02 00:00:00,950103.96,,
2026-06-02 01:00:00,945953.15,,
2026-06-02 02:00:00,931365.13,,
2026-06-02 03:00:00,939150.83,,
2026-06-02 04:00:00,941310.07,,
2026-06-02 05:00:00,934150.64,,
2026-06-02 06:00:00,930382.62,,
2026-06-02 07:00:00,926909.50,,
2026-06-02 08:00:00,924568.35,,
2026-06-02 09:00:00,928875.98,,
2026-06-02 10:00:00,916674.69,,
2026-06-02 11:00:00,926511.37,,
2026-06-02 12:00:00,924086.96,,
2026-06-02 13:00:00,931770.54,,
2026-06-02 14:00:00,922383.75,,
2026-06-02 15:00:00,903371.42,,
2026-06-02 16:00:00,895367.42,,
2026-06-02 17:00:00,903107.27,,
2026-06-02 18:00:00,906315.99,,
2026-06-02 19:00:00,899547.31,,
2026-06-02 20:00:00,901453.76,,
2026-06-02 21:00:00,905647.56,,
2026-06-02 22:00:00,903674.32,,
2026-06-02 23:00:00,884722.98,,
2026-06-03 00:00:00,885947.62,,
2026-06-03 01:00:00,890397.91,,
2026-06-03 02:00:00,891443.07,,
