time,oi_A,oi_6,oi_3
2026-05-31 12:00:00,1845809.58,,
2026-05-31 13:00:00,1845543.42,,
2026-05-31 14:00:00,1882511.10,,
2026-05-31 15:00:00,1812499.10,,
2026-05-31 16:00:00,1808417.22,,
2026-05-31 17:00:00,1774701.59,,
2026-05-31 18:00:00,1786629.53,,
2026-05-31 19:00:00,1887605.54,,
2026-05-31 20:00:00,1862589.74,,
2026-05-31 21:00:00,1882517.16,,
2026-05-31 22:00:00,1872421.29,,
2026-05-31 23:00:00,1896299.31,,
2026-06-01 00:00:00,1902951.60,,
2026-06-01 01:00:00,1901067.98,,
2026-06-01 02:00:00,1906582.04,,
2026-06-01 03:00:00,1921310.04,,
2026-06-01 04:00:00,1890002.79,,
2026-06-01 05:00:00,1883573.26,,
2026-06-01 06:00:00,1869954.31,,
2026-06-01 07:00:00,1881432.37,,
2026-06-01 08:00:00,1908042.01,,
2026-06-01 09:00:00,1923626.48,,
2026-06-01 10:00:00,1916204.79,,
2026-06-01 11:00:00,1899744.56,,
2026-06-01 12:00:00,1901510.46,,
2026-06-01 13:00:00,1927630.55,,
2026-06-01 14:00:00,1932900.59,,
2026-06-01 15:00:00,2204581.81,,
2026-06-01 16:00:00,2176355.34,,
2026-06-01 17:00:00,2089211.98,,
2026-06-01 18:00:00,2129523.56,,
2026-06-01 19:00:00,2052584.72,,
2026-06-01 20:00:00,2092346.85,,
2026-06-01 21:00:00,2098650.30,,
2026-06-01 22:00:00,2080789.71,,
2026-06-01 23:00:00,2172156.60,,
2026-06-02 00:00:00,2106434.80,,
2026-06-02 01:00:00,2075059.65,,
2026-06-02 02:00:00,2040298.09,,
2026-06-02 03:00:00,2042271.62,,
2026-06-02 04:00:00,2051615.88,,
2026-06-02 05:00:00,1999647.67,,
2026-06-02 06:00:00,2016428.53,,
2026-06-02 07:00:00,2059210.07,,
2026-06-02 08:00:00,2005556.66,,
2026-06-02 09:00:00,1986872.41,,
2026-06-02 10:00:00,1994626.27,,
2026-06-02 11:00:00,1970206.06,,
2026-06-02 12:00:00,1968335.02,,
2026-06-02 13:00:00,1958144.83,,
2026-06-02 14:00:00,1931714.26,,
2026-06-02 15:00:00,1869615.02,,
2026-06-02 16:00:00,1788585.16,,
2026-06-02 17:00:00,1817253.48,,
2026-06-02 18:00:00,1826121.09,,
2026-06-02 19:00:00,1790579.02,,
2026-06-02 20:00:00,1759158.98,,
2026-06-02 21:00:00,1775332.20,,
2026-06-02 22:00:00,1787503.09,,
2026-06-02 23:00:00,1724633.79,,
2026-06-03 00:00:00,1747516.48,,
2026-06-03 01:00:00,1773567.05,,
2026-06-03 02:00:00,1766242.17,,
2026-06-03 03:00:00,1757525.39,,
2026-06-03 04:00:00,1732090.83,,
2026-06-03 05:00:00,1783742.77,,
2026-06-03 06:00:00,1805370.88,,
2026-06-03 07:00:00,1859596.84,,
2026-06-03 08:00:00,1862451.38,,
2026-06-03 09:00:00,1865615.55,,
2026-06-03 10:00:00,1842018.61,,
2026-06-03 11:00:00,1845617.72,,
2026-06-03 12:00:00,1856997.90,,
2026-06-03 13:00:00,1869449.26,,
2026-06-03 14:00:00,1872358.32,,
2026-06-03 15:00:00,1855055.49,,
2026-06-03 16:00:00,1837170.40,,
2026-06-03 17:00:00,1884227.82,,
2026-06-03 18:00:00,1856035.28,,
2026-06-03 19:00:00,1861246.64,,
2026-06-03 20:00:00,1831305.87,,
2026-06-03 21:00:00,1764813.17,,
2026-06-03 22:00:00,1812819.26,,
2026-06-03 23:00:00,1792033.70,,
2026-06-04 00:00:00,1765826.41,,
2026-06-04 01:00:00,1729847.78,,
2026-06-04 02:00:00,1613956.96,,
2026-06-04 03:00:00,1554151.85,,
2026-06-04 04:00:00,1587561.05,,
2026-06-04 05:00:00,1553864.11,,
2026-06-04 06:00:00,1549682.89,,
2026-06-04 07:00:00,1561164.66,,
2026-06-04 08:00:00,1524427.51,,
2026-06-04 09:00:00,1521515.96,,
2026-06-04 10:00:00,1459876.25,,
2026-06-04 11:00:00,1438786.26,,
2026-06-04 12:00:00,1452226.13,,
2026-06-04 13:00:00,1494779.42,,
2026-06-04 14:00:00,1535487.51,,
2026-06-04 15:00:00,1507945.17,,
2026-06-04 16:00:00,1516329.31,,
2026-06-04 17:00:00,1534872.02,,
2026-06-04 18:00:00,1543205.82,,
2026-06-04 19:00:00,1575560.33,,
2026-06-04 20:00:00,1551298.21,,
2026-06-04 21:00:00,1535530.75,,
2026-06-04 22:00:00,1439066.61,,
2026-06-04 23:00:00,1441272.09,,
2026-06-05 00:00:00,1456099.17,,
2026-06-05 01:00:00,1476942.61,,
