time,oi_A,oi_6,oi_3
2026-05-10 12:00:00,7669533.01,,
2026-05-10 13:00:00,7683817.67,,
2026-05-10 14:00:00,7708592.57,,
2026-05-10 15:00:00,7693762.00,,
2026-05-10 16:00:00,7726282.26,,
2026-05-10 17:00:00,7838441.97,,
2026-05-10 18:00:00,7819227.34,,
2026-05-10 19:00:00,7808812.05,,
2026-05-10 20:00:00,7823921.27,,
2026-05-10 21:00:00,7589836.46,,
2026-05-10 22:00:00,7594864.76,,
2026-05-10 23:00:00,7702812.87,,
2026-05-11 00:00:00,7681772.21,,
2026-05-11 01:00:00,7689104.14,,
2026-05-11 02:00:00,7760152.10,,
2026-05-11 03:00:00,7769370.14,,
2026-05-11 04:00:00,7680443.37,,
2026-05-11 05:00:00,7768221.96,,
2026-05-11 06:00:00,7811938.71,,
2026-05-11 07:00:00,7717094.55,,
2026-05-11 08:00:00,7671406.45,,
2026-05-11 09:00:00,7714921.01,,
2026-05-11 10:00:00,7726639.33,,
2026-05-11 11:00:00,7766460.38,,
2026-05-11 12:00:00,7765485.81,,
2026-05-11 13:00:00,7731041.20,,
2026-05-11 14:00:00,7696921.01,,
2026-05-11 15:00:00,7643641.54,,
2026-05-11 16:00:00,7651546.21,,
2026-05-11 17:00:00,7639923.31,,
2026-05-11 18:00:00,7647007.35,,
2026-05-11 19:00:00,7604492.75,,
2026-05-11 20:00:00,7600813.31,,
2026-05-11 21:00:00,7594763.56,,
2026-05-11 22:00:00,7603522.12,,
2026-05-11 23:00:00,7620916.88,,
2026-05-12 00:00:00,7645087.47,,
2026-05-12 01:00:00,7627672.13,,
2026-05-12 02:00:00,7578652.16,,
2026-05-12 03:00:00,7609734.85,,
2026-05-12 04:00:00,7592783.10,,
2026-05-12 05:00:00,7620029.45,,
2026-05-12 06:00:00,7617814.69,,
2026-05-12 07:00:00,7556459.71,,
2026-05-12 08:00:00,7573695.38,,
2026-05-12 09:00:00,7542264.56,,
2026-05-12 10:00:00,7567843.99,,
2026-05-12 11:00:00,7627479.76,,
2026-05-12 12:00:00,7622098.00,,
2026-05-12 13:00:00,7608173.52,,
2026-05-12 14:00:00,7596162.93,,
2026-05-12 15:00:00,7577672.68,,
2026-05-12 16:00:00,7464157.72,,
2026-05-12 17:00:00,7355892.60,,
2026-05-12 18:00:00,7398281.38,,
2026-05-12 19:00:00,7407179.21,,
2026-05-12 20:00:00,7468347.29,,
2026-05-12 21:00:00,7422953.78,,
2026-05-12 22:00:00,7408588.11,,
2026-05-12 23:00:00,7427690.29,,
2026-05-13 00:00:00,7411002.34,,
2026-05-13 01:00:00,7362185.88,,
2026-05-13 02:00:00,7397609.16,,
2026-05-13 03:00:00,7396393.07,,
2026-05-13 04:00:00,7382338.19,,
2026-05-13 05:00:00,7407798.55,,
2026-05-13 06:00:00,7394223.68,,
2026-05-13 07:00:00,7348684.05,,
2026-05-13 08:00:00,7335235.43,,
2026-05-13 09:00:00,7343336.19,,
2026-05-13 10:00:00,7355819.35,,
2026-05-13 11:00:00,7310663.16,,
2026-05-13 12:00:00,7272032.86,,
2026-05-13 13:00:00,7055273.73,,
2026-05-13 14:00:00,7013630.18,,
2026-05-13 15:00:00,6985301.70,,
2026-05-13 16:00:00,6470333.82,,
2026-05-13 17:00:00,6649524.60,,
2026-05-13 18:00:00,6608301.72,,
2026-05-13 19:00:00,6690249.06,,
2026-05-13 20:00:00,6647246.52,,
2026-05-13 21:00:00,6649858.72,,
2026-05-13 22:00:00,6593009.56,,
2026-05-13 23:00:00,6559999.78,,
2026-05-14 00:00:00,6537723.23,,
2026-05-14 01:00:00,6601001.65,,
2026-05-14 02:00:00,6605286.62,,
2026-05-14 03:00:00,6602001.90,,
2026-05-14 04:00:00,6342837.25,,
2026-05-14 05:00:00,6522106.84,,
2026-05-14 06:00:00,6560475.73,,
2026-05-14 07:00:00,6552612.45,,
2026-05-14 08:00:00,6559605.06,,
2026-05-14 09:00:00,6549723.84,,
2026-05-14 10:00:00,6608471.53,,
