time,oi_A,oi_6,oi_3
2026-05-10 12:00:00,8750082.02,,
2026-05-10 13:00:00,8512781.05,,
2026-05-10 14:00:00,8656231.82,,
2026-05-10 15:00:00,8717209.91,,
2026-05-10 16:00:00,8710262.56,,
2026-05-10 17:00:00,8671826.56,,
2026-05-10 18:00:00,8663977.07,,
2026-05-10 19:00:00,8714437.88,,
2026-05-10 20:00:00,8786445.00,,
2026-05-10 21:00:00,8742353.05,,
2026-05-10 22:00:00,8939351.63,,
2026-05-10 23:00:00,8908508.72,,
2026-05-11 00:00:00,8826494.76,,
2026-05-11 01:00:00,8873703.74,,
2026-05-11 02:00:00,8883412.21,,
2026-05-11 03:00:00,8893379.05,,
2026-05-11 04:00:00,8986411.70,,
2026-05-11 05:00:00,8884937.56,,
2026-05-11 06:00:00,8951563.66,,
2026-05-11 07:00:00,8769981.65,,
2026-05-11 08:00:00,8352288.05,,
2026-05-11 09:00:00,8211863.81,,
2026-05-11 10:00:00,7976184.98,,
2026-05-11 11:00:00,7993942.67,,
2026-05-11 12:00:00,8107282.00,,
2026-05-11 13:00:00,8257591.51,,
2026-05-11 14:00:00,8111433.57,,
2026-05-11 15:00:00,8149180.07,,
2026-05-11 16:00:00,8194712.60,,
2026-05-11 17:00:00,8232094.98,,
2026-05-11 18:00:00,8214880.43,,
2026-05-11 19:00:00,8291456.20,,
2026-05-11 20:00:00,8287378.79,,
2026-05-11 21:00:00,8423944.52,,
2026-05-11 22:00:00,8346067.16,,
2026-05-11 23:00:00,8441886.34,,
2026-05-12 00:00:00,8342777.47,,
2026-05-12 01:00:00,8286035.78,,
2026-05-12 02:00:00,8314534.35,,
2026-05-12 03:00:00,8426088.79,,
2026-05-12 04:00:00,8362944.25,,
2026-05-12 05:00:00,8404662.29,,
2026-05-12 06:00:00,8335114.41,,
2026-05-12 07:00:00,8201528.59,,
2026-05-12 08:00:00,8082268.29,,
2026-05-12 09:00:00,7988719.56,,
2026-05-12 10:00:00,7867320.04,,
2026-05-12 11:00:00,7855081.89,,
2026-05-12 12:00:00,8027835.10,,
2026-05-12 13:00:00,7780159.12,,
2026-05-12 14:00:00,7959858.22,,
2026-05-12 15:00:00,7891762.76,,
2026-05-12 16:00:00,8096073.27,,
2026-05-12 17:00:00,7860189.76,,
2026-05-12 18:00:00,7819270.87,,
2026-05-12 19:00:00,7801425.24,,
2026-05-12 20:00:00,7808093.87,,
2026-05-12 21:00:00,7864386.11,,
2026-05-12 22:00:00,7951181.18,,
2026-05-12 23:00:00,8086593.56,,
2026-05-13 00:00:00,8065563.05,,
2026-05-13 01:00:00,8121269.60,,
2026-05-13 02:00:00,8177384.46,,
2026-05-13 03:00:00,8042666.16,,
2026-05-13 04:00:00,8063056.85,,
2026-05-13 05:00:00,8070121.78,,
2026-05-13 06:00:00,8069519.75,,
2026-05-13 07:00:00,7926207.46,,
2026-05-13 08:00:00,8025960.48,,
2026-05-13 09:00:00,8023124.12,,
2026-05-13 10:00:00,8001895.10,,
2026-05-13 11:00:00,8348265.89,,
2026-05-13 12:00:00,8518832.93,,
2026-05-13 13:00:00,8306982.43,,
2026-05-13 14:00:00,8098736.76,,
2026-05-13 15:00:00,7389370.85,,
2026-05-13 16:00:00,7280018.15,,
2026-05-13 17:00:00,7317150.49,,
2026-05-13 18:00:00,7340718.10,,
2026-05-13 19:00:00,7626300.06,,
2026-05-13 20:00:00,7602256.65,,
2026-05-13 21:00:00,7598130.46,,
2026-05-13 22:00:00,7658889.38,,
2026-05-13 23:00:00,7643215.35,,
2026-05-14 00:00:00,7636133.71,,
2026-05-14 01:00:00,7652880.98,,
2026-05-14 02:00:00,7011433.79,,
2026-05-14 03:00:00,6389411.03,,
2026-05-14 04:00:00,6163454.14,,
2026-05-14 05:00:00,6411260.64,,
2026-05-14 06:00:00,6370441.44,,
2026-05-14 07:00:00,6308815.30,,
2026-05-14 08:00:00,6484575.49,,
2026-05-14 09:00:00,6698317.49,,
2026-05-14 10:00:00,6597709.40,,
2026-05-14 11:00:00,6596569.60,,
2026-05-14 12:00:00,6620554.39,,
2026-05-14 13:00:00,6589449.15,,
2026-05-14 14:00:00,6640037.09,,
2026-05-14 15:00:00,6632908.90,,
2026-05-14 16:00:00,6592110.67,,
2026-05-14 17:00:00,7256581.74,,
2026-05-14 18:00:00,6780516.28,,
2026-05-14 19:00:00,6822252.08,,
2026-05-14 20:00:00,6887540.77,,
2026-05-14 21:00:00,6950570.87,,
2026-05-14 22:00:00,6934640.89,,
2026-05-14 23:00:00,6851269.33,,
2026-05-15 00:00:00,6873055.88,,
2026-05-15 01:00:00,6902050.98,,
2026-05-15 02:00:00,6843038.29,,
2026-05-15 03:00:00,6906997.18,,
2026-05-15 04:00:00,6744254.22,,
2026-05-15 05:00:00,6746796.29,,
2026-05-15 06:00:00,6701948.66,,
2026-05-15 07:00:00,6882506.07,,
2026-05-15 08:00:00,7280106.90,,
2026-05-15 09:00:00,8213942.99,,
2026-05-15 10:00:00,7243504.94,,
2026-05-15 11:00:00,6534462.47,,
2026-05-15 12:00:00,6493692.30,,
2026-05-15 13:00:00,6596848.25,,
2026-05-15 14:00:00,6406460.65,,
2026-05-15 15:00:00,5741943.07,,
2026-05-15 16:00:00,5618990.31,,
2026-05-15 17:00:00,5964450.76,,
2026-05-15 18:00:00,5982716.12,,
2026-05-15 19:00:00,5744421.02,,
2026-05-15 20:00:00,6050203.53,,
2026-05-15 21:00:00,6204534.09,,
2026-05-15 22:00:00,6039361.19,,
2026-05-15 23:00:00,5966501.31,,
2026-05-16 00:00:00,5868031.52,,
2026-05-16 01:00:00,5986517.64,,
2026-05-16 02:00:00,5931694.77,,
2026-05-16 03:00:00,6060693.19,,
2026-05-16 04:00:00,6303005.58,,
2026-05-16 05:00:00,6190009.02,,
2026-05-16 06:00:00,6060324.43,,
2026-05-16 07:00:00,6072539.95,,
2026-05-16 08:00:00,5932190.11,,
2026-05-16 09:00:00,6023775.79,,
2026-05-16 10:00:00,5832022.15,,
2026-05-16 11:00:00,5841585.83,,
2026-05-16 12:00:00,5807682.49,,
2026-05-16 13:00:00,5809303.49,,
2026-05-16 14:00:00,5601310.46,,
2026-05-16 15:00:00,5459736.23,,
2026-05-16 16:00:00,5652039.37,,
2026-05-16 17:00:00,5782198.10,,
2026-05-16 18:00:00,5771603.83,,
2026-05-16 19:00:00,5707310.78,,
2026-05-16 20:00:00,5737693.16,,
2026-05-16 21:00:00,5714899.67,,
2026-05-16 22:00:00,5678211.53,,
2026-05-16 23:00:00,5694902.50,,
2026-05-17 00:00:00,5822470.77,,
2026-05-17 01:00:00,5592679.18,,
2026-05-17 02:00:00,5553821.29,,
2026-05-17 03:00:00,5506510.15,,
2026-05-17 04:00:00,5522212.37,,
2026-05-17 05:00:00,5551426.06,,
2026-05-17 06:00:00,5513709.42,,
2026-05-17 07:00:00,5489451.85,,
2026-05-17 08:00:00,5550935.61,,
2026-05-17 09:00:00,5583446.28,,
2026-05-17 10:00:00,5586390.33,,
2026-05-17 11:00:00,5582633.96,,
2026-05-17 12:00:00,5517691.09,,
2026-05-17 13:00:00,5531273.83,,
2026-05-17 14:00:00,5560667.09,,
2026-05-17 15:00:00,5650448.37,,
2026-05-17 16:00:00,5698923.75,,
2026-05-17 17:00:00,5633716.34,,
2026-05-17 18:00:00,5664296.39,,
2026-05-17 19:00:00,5646107.52,,
2026-05-17 20:00:00,5573319.82,,
2026-05-17 21:00:00,5575773.43,,
2026-05-17 22:00:00,5573925.71,,
2026-05-17 23:00:00,5523381.51,,
2026-05-18 00:00:00,5471152.94,,
2026-05-18 01:00:00,5519123.97,,
2026-05-18 02:00:00,5416146.40,,
2026-05-18 03:00:00,5471227.60,,
2026-05-18 04:00:00,5407698.11,,
2026-05-18 05:00:00,5377005.38,,
2026-05-18 06:00:00,5380044.53,,
2026-05-18 07:00:00,5381397.44,,
2026-05-18 08:00:00,5348431.27,,
2026-05-18 09:00:00,5379300.42,,
2026-05-18 10:00:00,5411535.57,,
2026-05-18 11:00:00,5388524.43,,
2026-05-18 12:00:00,5362220.96,,
2026-05-18 13:00:00,5342763.19,,
2026-05-18 14:00:00,5328437.40,,
2026-05-18 15:00:00,5327685.81,,
2026-05-18 16:00:00,5358682.25,,
2026-05-18 17:00:00,5434645.52,,
2026-05-18 18:00:00,5427114.93,,
2026-05-18 19:00:00,5413119.93,,
2026-05-18 20:00:00,5395459.17,,
2026-05-18 21:00:00,5328678.65,,
2026-05-18 22:00:00,5356779.52,,
2026-05-18 23:00:00,5354482.55,,
2026-05-19 00:00:00,5373876.44,,
2026-05-19 01:00:00,5400101.28,,
2026-05-19 02:00:00,5354962.28,,
2026-05-19 03:00:00,5317153.26,,
2026-05-19 04:00:00,5356050.59,,
2026-05-19 05:00:00,5320783.07,,
2026-05-19 06:00:00,5306166.42,,
2026-05-19 07:00:00,5302909.40,,
2026-05-19 08:00:00,5328029.29,,
2026-05-19 09:00:00,5300136.56,,
2026-05-19 10:00:00,5228912.30,,
2026-05-19 11:00:00,5227274.35,,
2026-05-19 12:00:00,5256233.54,,
2026-05-19 13:00:00,5222367.99,,
2026-05-19 14:00:00,5237322.60,,
2026-05-19 15:00:00,5280811.89,,
2026-05-19 16:00:00,5256638.87,,
2026-05-19 17:00:00,5225310.23,,
2026-05-19 18:00:00,5218333.92,,
2026-05-19 19:00:00,5253785.09,,
2026-05-19 20:00:00,5215885.16,,
2026-05-19 21:00:00,5193611.44,,
2026-05-19 22:00:00,5218289.75,,
2026-05-19 23:00:00,5242338.26,,
2026-05-20 00:00:00,5208075.83,,
2026-05-20 01:00:00,5214085.10,,
2026-05-20 02:00:00,5192453.81,,
2026-05-20 03:00:00,5203079.37,,
2026-05-20 04:00:00,5218826.61,,
2026-05-20 05:00:00,5314734.15,,
2026-05-20 06:00:00,5413508.00,,
2026-05-20 07:00:00,5623739.95,,
2026-05-20 08:00:00,5636994.96,,
2026-05-20 09:00:00,5571328.65,,
2026-05-20 10:00:00,5560921.16,,
2026-05-20 11:00:00,5594835.89,,
2026-05-20 12:00:00,5676447.14,,
2026-05-20 13:00:00,5651726.19,,
2026-05-20 14:00:00,5695058.52,,
2026-05-20 15:00:00,5685853.60,,
2026-05-20 16:00:00,5770434.97,,
2026-05-20 17:00:00,5765018.90,,
2026-05-20 18:00:00,5847785.75,,
2026-05-20 19:00:00,5942798.90,,
