time,oi_A,oi_6,oi_3
2026-04-25 12:00:00,3171364.04,,841892.91
2026-04-25 13:00:00,3180488.77,,862401.67
2026-04-25 14:00:00,3270000.63,,860630.50
2026-04-25 15:00:00,3154801.37,,855679.82
2026-04-25 16:00:00,3101442.80,,852933.49
2026-04-25 17:00:00,3122754.49,,842006.95
2026-04-25 18:00:00,3115608.71,,829548.87
2026-04-25 19:00:00,3126187.18,,830609.07
2026-04-25 20:00:00,3099777.53,,826181.77
2026-04-25 21:00:00,3134967.86,,837628.39
2026-04-25 22:00:00,3096304.82,,829893.89
2026-04-25 23:00:00,3085129.93,,828509.74
2026-04-26 00:00:00,3088311.09,,832315.40
2026-04-26 01:00:00,3093397.84,,818596.41
2026-04-26 02:00:00,3049936.03,,811708.00
2026-04-26 03:00:00,3071252.98,,816544.72
2026-04-26 04:00:00,3074484.34,,813413.43
2026-04-26 05:00:00,3082353.64,,810898.19
2026-04-26 06:00:00,3088876.80,,808765.01
2026-04-26 07:00:00,3081347.79,,812000.25
2026-04-26 08:00:00,3082781.18,,808492.75
2026-04-26 09:00:00,3131962.78,,815361.50
2026-04-26 10:00:00,3138293.03,,809188.81
2026-04-26 11:00:00,3123389.28,,804715.20
2026-04-26 12:00:00,3135802.65,,804039.37
2026-04-26 13:00:00,3136554.00,,800026.60
2026-04-26 14:00:00,3100835.47,,798262.54
2026-04-26 15:00:00,3171345.50,,787123.16
2026-04-26 16:00:00,3164687.21,,783747.89
2026-04-26 17:00:00,3157633.01,,783759.22
2026-04-26 18:00:00,3160223.11,,784987.89
2026-04-26 19:00:00,3138881.38,,781789.34
2026-04-26 20:00:00,3093036.27,,774783.59
2026-04-26 21:00:00,3100151.60,,778414.08
2026-04-26 22:00:00,3110995.94,,774310.89
2026-04-26 23:00:00,3097291.25,,769032.43
2026-04-27 00:00:00,3109864.85,,767194.11
2026-04-27 01:00:00,3137078.94,,780751.00
2026-04-27 02:00:00,3149714.06,,778043.59
2026-04-27 03:00:00,3157968.99,,786392.43
2026-04-27 04:00:00,3136640.40,,791652.84
2026-04-27 05:00:00,3132026.21,,786536.33
2026-04-27 06:00:00,3032386.22,,754220.40
2026-04-27 07:00:00,3002337.51,,746335.45
2026-04-27 08:00:00,3115509.63,,744635.89
2026-04-27 09:00:00,3155462.53,,745571.63
2026-04-27 10:00:00,3188324.61,,746074.18
2026-04-27 11:00:00,3199810.15,,748635.50
2026-04-27 12:00:00,3232758.21,,754357.63
2026-04-27 13:00:00,3227284.33,,751719.35
2026-04-27 14:00:00,3238989.22,,749350.43
2026-04-27 15:00:00,3272207.11,,749878.84
2026-04-27 16:00:00,3221250.28,,741479.79
2026-04-27 17:00:00,3225317.01,,744482.10
2026-04-27 18:00:00,3241035.54,,745507.78
2026-04-27 19:00:00,3242748.92,,742464.78
2026-04-27 20:00:00,3277272.32,,741017.06
2026-04-27 21:00:00,3291199.28,,746902.82
2026-04-27 22:00:00,3279713.09,,740366.89
2026-04-27 23:00:00,3292157.65,,741678.49
2026-04-28 00:00:00,3305327.84,,744002.26
2026-04-28 01:00:00,3307131.71,,739193.33
2026-04-28 02:00:00,3314683.56,,745211.98
2026-04-28 03:00:00,3319018.18,,748385.61
2026-04-28 04:00:00,3248656.25,,750064.32
2026-04-28 05:00:00,3247514.73,,744162.54
2026-04-28 06:00:00,3239649.06,,740944.58
2026-04-28 07:00:00,3226849.66,,735362.00
2026-04-28 08:00:00,3204831.74,,731293.95
2026-04-28 09:00:00,3208453.23,,724710.75
2026-04-28 10:00:00,3247617.39,,724501.56
2026-04-28 11:00:00,3241824.20,,727410.37
2026-04-28 12:00:00,3222644.90,,721451.25
2026-04-28 13:00:00,3235106.44,,729698.21
2026-04-28 14:00:00,3245852.51,,730684.56
2026-04-28 15:00:00,3222937.28,,711463.10
2026-04-28 16:00:00,3251676.02,,711574.23
2026-04-28 17:00:00,3251165.85,,711912.37
2026-04-28 18:00:00,3259226.44,,711675.07
2026-04-28 19:00:00,3260651.94,,712515.23
2026-04-28 20:00:00,3249248.70,,712580.23
2026-04-28 21:00:00,3255816.20,,716338.25
2026-04-28 22:00:00,3219374.50,,713192.97
2026-04-28 23:00:00,3199146.88,,710575.46
2026-04-29 00:00:00,3188333.24,,708068.81
2026-04-29 01:00:00,3189091.13,,712949.11
2026-04-29 02:00:00,3198601.14,,713896.69
2026-04-29 03:00:00,3193007.59,,715069.16
2026-04-29 04:00:00,3198095.16,,730797.60
2026-04-29 05:00:00,3180496.62,,728492.13
2026-04-29 06:00:00,3170296.76,,720853.41
2026-04-29 07:00:00,3159796.36,,718759.72
2026-04-29 08:00:00,3136355.29,,716434.38
2026-04-29 09:00:00,3136427.99,,721572.84
2026-04-29 10:00:00,3189258.71,,729759.45
2026-04-29 11:00:00,3168045.67,,728757.81
2026-04-29 12:00:00,3222471.20,,733729.88
2026-04-29 13:00:00,3199842.96,,720148.47
2026-04-29 14:00:00,3144408.89,,707230.02
2026-04-29 15:00:00,3147658.86,,706924.35
2026-04-29 16:00:00,3047543.73,,675250.35
2026-04-29 17:00:00,3057026.50,,672924.05
2026-04-29 18:00:00,3078444.20,,677729.58
2026-04-29 19:00:00,2989339.27,,652339.31
2026-04-29 20:00:00,2972738.27,,651749.81
2026-04-29 21:00:00,2995449.62,,658120.15
2026-04-29 22:00:00,3002270.41,,660105.27
2026-04-29 23:00:00,2993604.59,,657848.80
2026-04-30 00:00:00,3001649.60,,656920.10
2026-04-30 01:00:00,3038867.38,,664159.52
2026-04-30 02:00:00,3021832.91,,660231.60
2026-04-30 03:00:00,2998712.42,,649427.86
2026-04-30 04:00:00,3016749.29,,651693.08
2026-04-30 05:00:00,3004265.42,,649107.29
2026-04-30 06:00:00,3022742.17,,649609.32
2026-04-30 07:00:00,3042722.02,,654801.27
2026-04-30 08:00:00,3065770.48,,660122.30
2026-04-30 09:00:00,3047904.45,,658988.90
2026-04-30 10:00:00,3050491.88,,658465.81
2026-04-30 11:00:00,3059411.09,,664381.35
2026-04-30 12:00:00,3073814.89,,655670.07
2026-04-30 13:00:00,3086086.96,,642849.27
2026-04-30 14:00:00,3078166.82,,644542.09
2026-04-30 15:00:00,3078480.17,,641728.98
2026-04-30 16:00:00,3104123.68,,644228.52
2026-04-30 17:00:00,3102084.88,,645951.10
2026-04-30 18:00:00,3102923.26,,644434.35
2026-04-30 19:00:00,3102587.79,,644416.64
2026-04-30 20:00:00,3114310.82,,646630.83
2026-04-30 21:00:00,3097343.22,,642200.95
2026-04-30 22:00:00,3100079.07,,634883.19
2026-04-30 23:00:00,3072461.46,,629728.05
2026-05-01 00:00:00,3111596.38,,631111.07
2026-05-01 01:00:00,3099649.35,,626555.03
2026-05-01 02:00:00,3137261.41,,630494.96
2026-05-01 03:00:00,3132665.99,,630229.64
2026-05-01 04:00:00,3135540.63,,627896.19
2026-05-01 05:00:00,3145054.65,,665880.10
2026-05-01 06:00:00,3143413.80,,664324.37
2026-05-01 07:00:00,3114871.63,,661100.53
2026-05-01 08:00:00,3105978.93,,657112.14
