time,oi_A,oi_6,oi_3
2026-05-24 12:00:00,,988200.42,
2026-05-24 13:00:00,,988702.52,
2026-05-24 14:00:00,,981378.41,
2026-05-24 15:00:00,,979024.85,
2026-05-24 16:00:00,,970558.15,
2026-05-24 17:00:00,,968616.40,
2026-05-24 18:00:00,,971840.39,
2026-05-24 19:00:00,,967235.30,
2026-05-24 20:00:00,,965633.10,
2026-05-24 21:00:00,,957907.59,
2026-05-24 22:00:00,,936041.55,
2026-05-24 23:00:00,,946644.71,
2026-05-25 00:00:00,,949035.94,
2026-05-25 01:00:00,,953126.12,
2026-05-25 02:00:00,,948745.59,
2026-05-25 03:00:00,,953727.89,
2026-05-25 04:00:00,,953309.20,
2026-05-25 05:00:00,,963823.97,
2026-05-25 06:00:00,,965302.48,
2026-05-25 07:00:00,,960782.76,
2026-05-25 08:00:00,,968491.22,
2026-05-25 09:00:00,,971017.07,
2026-05-25 10:00:00,,962735.45,
2026-05-25 11:00:00,,972115.22,
2026-05-25 12:00:00,,964486.53,
2026-05-25 13:00:00,,973535.30,
2026-05-25 14:00:00,,975988.58,
2026-05-25 15:00:00,,973817.49,
2026-05-25 16:00:00,,966506.84,
2026-05-25 17:00:00,,965732.80,
2026-05-25 18:00:00,,965142.12,
2026-05-25 19:00:00,,966584.75,
2026-05-25 20:00:00,,963596.52,
2026-05-25 21:00:00,,958562.53,
2026-05-25 22:00:00,,959515.01,
2026-05-25 23:00:00,,954446.37,
2026-05-26 00:00:00,,956519.52,
2026-05-26 01:00:00,,948113.16,
2026-05-26 02:00:00,,946680.10,
2026-05-26 03:00:00,,943792.01,
2026-05-26 04:00:00,,950899.00,
2026-05-26 05:00:00,,953718.49,
2026-05-26 06:00:00,,959336.82,
2026-05-26 07:00:00,,955555.59,
2026-05-26 08:00:00,,952694.28,
2026-05-26 09:00:00,,954857.49,
2026-05-26 10:00:00,,959892.95,
2026-05-26 11:00:00,,999980.54,
2026-05-26 12:00:00,,990228.80,
2026-05-26 13:00:00,,987371.20,
2026-05-26 14:00:00,,996816.06,
2026-05-26 15:00:00,,982212.27,
2026-05-26 16:00:00,,973316.76,
2026-05-26 17:00:00,,967337.63,
2026-05-26 18:00:00,,947453.81,
2026-05-26 19:00:00,,948252.35,
2026-05-26 20:00:00,,952999.76,
2026-05-26 21:00:00,,950195.54,
2026-05-26 22:00:00,,943627.86,
2026-05-26 23:00:00,,941988.07,
2026-05-27 00:00:00,,944198.32,
2026-05-27 01:00:00,,951859.16,
2026-05-27 02:00:00,,946309.78,
2026-05-27 03:00:00,,941305.15,
2026-05-27 04:00:00,,935269.93,
2026-05-27 05:00:00,,935895.82,
2026-05-27 06:00:00,,938468.09,
2026-05-27 07:00:00,,936528.49,
2026-05-27 08:00:00,,934129.32,
2026-05-27 09:00:00,,928970.48,
2026-05-27 10:00:00,,917795.82,
2026-05-27 11:00:00,,919085.42,
2026-05-27 12:00:00,,913806.49,
2026-05-27 13:00:00,,923549.94,
2026-05-27 14:00:00,,918786.16,
2026-05-27 15:00:00,,923562.67,
2026-05-27 16:00:00,,926223.43,
2026-05-27 17:00:00,,922566.24,
2026-05-27 18:00:00,,909539.97,
2026-05-27 19:00:00,,913907.70,
2026-05-27 20:00:00,,913867.16,
2026-05-27 21:00:00,,914510.77,
2026-05-27 22:00:00,,884985.09,
2026-05-27 23:00:00,,883257.47,
2026-05-28 00:00:00,,882594.62,
2026-05-28 01:00:00,,882324.73,
2026-05-28 02:00:00,,875890.90,
2026-05-28 03:00:00,,876657.87,
2026-05-28 04:00:00,,846756.02,
2026-05-28 05:00:00,,836996.38,
2026-05-28 06:00:00,,832569.01,
2026-05-28 07:00:00,,837858.67,
2026-05-28 08:00:00,,836828.91,
2026-05-28 09:00:00,,843845.63,
2026-05-28 10:00:00,,854027.66,
2026-05-28 11:00:00,,837381.40,
