time,oi_A,oi_6,oi_3
2026-05-17 12:00:00,1577483.82,,
2026-05-17 13:00:00,1573872.38,,
2026-05-17 14:00:00,1571400.16,,
2026-05-17 15:00:00,1577086.18,,
2026-05-17 16:00:00,1575164.68,,
2026-05-17 17:00:00,1573542.52,,
2026-05-17 18:00:00,1568427.40,,
2026-05-17 19:00:00,1577877.52,,
2026-05-17 20:00:00,1572094.94,,
2026-05-17 21:00:00,1565105.48,,
2026-05-17 22:00:00,1566118.11,,
2026-05-17 23:00:00,1550218.67,,
2026-05-18 00:00:00,1506601.68,,
2026-05-18 01:00:00,1510613.98,,
2026-05-18 02:00:00,1508475.53,,
2026-05-18 03:00:00,1504083.57,,
2026-05-18 04:00:00,1490507.65,,
2026-05-18 05:00:00,1504321.61,,
2026-05-18 06:00:00,1477869.54,,
2026-05-18 07:00:00,1475844.14,,
2026-05-18 08:00:00,1469746.76,,
2026-05-18 09:00:00,1472039.70,,
2026-05-18 10:00:00,1466359.11,,
2026-05-18 11:00:00,1457331.86,,
2026-05-18 12:00:00,1482419.76,,
2026-05-18 13:00:00,1488210.56,,
2026-05-18 14:00:00,1488060.25,,
2026-05-18 15:00:00,1483669.71,,
2026-05-18 16:00:00,1487064.51,,
2026-05-18 17:00:00,1487067.40,,
2026-05-18 18:00:00,1487130.12,,
2026-05-18 19:00:00,1483491.92,,
2026-05-18 20:00:00,1511303.16,,
2026-05-18 21:00:00,1506114.57,,
2026-05-18 22:00:00,1516016.72,,
2026-05-18 23:00:00,1517373.11,,
2026-05-19 00:00:00,1522862.42,,
2026-05-19 01:00:00,1539785.28,,
2026-05-19 02:00:00,1523284.42,,
2026-05-19 03:00:00,1518992.90,,
2026-05-19 04:00:00,1521003.72,,
2026-05-19 05:00:00,1527788.01,,
2026-05-19 06:00:00,1526644.64,,
2026-05-19 07:00:00,1526846.42,,
2026-05-19 08:00:00,1533623.07,,
2026-05-19 09:00:00,1519647.41,,
2026-05-19 10:00:00,1515554.35,,
2026-05-19 11:00:00,1512629.27,,
2026-05-19 12:00:00,1502100.44,,
2026-05-19 13:00:00,1516898.74,,
2026-05-19 14:00:00,1522984.45,,
2026-05-19 15:00:00,1505299.21,,
2026-05-19 16:00:00,1503006.06,,
2026-05-19 17:00:00,1517577.79,,
2026-05-19 18:00:00,1512623.10,,
2026-05-19 19:00:00,1509503.97,,
2026-05-19 20:00:00,1503478.43,,
2026-05-19 21:00:00,1509667.45,,
2026-05-19 22:00:00,1510285.85,,
2026-05-19 23:00:00,1499799.52,,
2026-05-20 00:00:00,1504198.63,,
2026-05-20 01:00:00,1500004.12,,
2026-05-20 02:00:00,1496995.87,,
2026-05-20 03:00:00,1489885.57,,
2026-05-20 04:00:00,1494186.64,,
2026-05-20 05:00:00,1500591.47,,
2026-05-20 06:00:00,1506129.46,,
2026-05-20 07:00:00,1510825.83,,
2026-05-20 08:00:00,1505778.58,,
2026-05-20 09:00:00,1510209.99,,
2026-05-20 10:00:00,1504623.86,,
2026-05-20 11:00:00,1508421.15,,
2026-05-20 12:00:00,1508188.19,,
2026-05-20 13:00:00,1512608.03,,
2026-05-20 14:00:00,1488812.31,,
2026-05-20 15:00:00,1504213.15,,
2026-05-20 16:00:00,1548156.45,,
2026-05-20 17:00:00,1621253.21,,
2026-05-20 18:00:00,1632553.16,,
2026-05-20 19:00:00,1635442.43,,
2026-05-20 20:00:00,1629562.68,,
2026-05-20 21:00:00,1633717.72,,
2026-05-20 22:00:00,1647520.41,,
2026-05-20 23:00:00,1652665.55,,
2026-05-21 00:00:00,1650751.13,,
2026-05-21 01:00:00,1675598.71,,
2026-05-21 02:00:00,1664327.73,,
2026-05-21 03:00:00,1653004.86,,
2026-05-21 04:00:00,1649250.55,,
2026-05-21 05:00:00,1647293.02,,
2026-05-21 06:00:00,1639441.21,,
2026-05-21 07:00:00,1681443.93,,
2026-05-21 08:00:00,1691943.58,,
2026-05-21 09:00:00,1759987.89,,
2026-05-21 10:00:00,1759463.66,,
2026-05-21 11:00:00,1744913.59,,
2026-05-21 12:00:00,1732338.48,,
2026-05-21 13:00:00,1709598.96,,
2026-05-21 14:00:00,1700875.85,,
2026-05-21 15:00:00,1726028.89,,
2026-05-21 16:00:00,1737327.10,,
2026-05-21 17:00:00,1743030.36,,
2026-05-21 18:00:00,1761921.48,,
2026-05-21 19:00:00,1755791.27,,
2026-05-21 20:00:00,1766764.96,,
2026-05-21 21:00:00,1782205.32,,
2026-05-21 22:00:00,1765042.84,,
2026-05-21 23:00:00,1760009.58,,
2026-05-22 00:00:00,1752460.70,,
2026-05-22 01:00:00,1737120.25,,
2026-05-22 02:00:00,1733689.68,,
2026-05-22 03:00:00,1738217.10,,
2026-05-22 04:00:00,1734668.53,,
2026-05-22 05:00:00,1736216.26,,
2026-05-22 06:00:00,1736271.51,,
2026-05-22 07:00:00,1764874.41,,
2026-05-22 08:00:00,1775605.31,,
2026-05-22 09:00:00,1770415.47,,
2026-05-22 10:00:00,1766662.41,,
2026-05-22 11:00:00,1757121.80,,
2026-05-22 12:00:00,1748811.53,,
2026-05-22 13:00:00,1748784.23,,
2026-05-22 14:00:00,1737798.39,,
2026-05-22 15:00:00,1722603.55,,
2026-05-22 16:00:00,1718935.69,,
2026-05-22 17:00:00,1723416.10,,
2026-05-22 18:00:00,1727499.94,,
2026-05-22 19:00:00,1670969.14,,
