time,oi_A,oi_6,oi_3
2026-05-17 12:00:00,1275507.72,,
2026-05-17 13:00:00,1272438.04,,
2026-05-17 14:00:00,1274487.70,,
2026-05-17 15:00:00,1269857.18,,
2026-05-17 16:00:00,1273765.65,,
2026-05-17 17:00:00,1269161.76,,
2026-05-17 18:00:00,1261186.08,,
2026-05-17 19:00:00,1270267.23,,
2026-05-17 20:00:00,1270855.36,,
2026-05-17 21:00:00,1262626.05,,
2026-05-17 22:00:00,1264197.38,,
2026-05-17 23:00:00,1253643.49,,
2026-05-18 00:00:00,1214599.52,,
2026-05-18 01:00:00,1206777.99,,
2026-05-18 02:00:00,1212942.67,,
2026-05-18 03:00:00,1224300.69,,
2026-05-18 04:00:00,1220312.06,,
2026-05-18 05:00:00,1233495.70,,
2026-05-18 06:00:00,1227446.04,,
2026-05-18 07:00:00,1224636.98,,
2026-05-18 08:00:00,1211113.77,,
2026-05-18 09:00:00,1209349.48,,
2026-05-18 10:00:00,1201150.96,,
2026-05-18 11:00:00,1198695.04,,
2026-05-18 12:00:00,1214470.70,,
2026-05-18 13:00:00,1215602.70,,
2026-05-18 14:00:00,1218974.06,,
2026-05-18 15:00:00,1206369.55,,
2026-05-18 16:00:00,1211087.79,,
2026-05-18 17:00:00,1212428.87,,
2026-05-18 18:00:00,1208715.72,,
2026-05-18 19:00:00,1200020.52,,
2026-05-18 20:00:00,1227131.94,,
2026-05-18 21:00:00,1226214.73,,
2026-05-18 22:00:00,1254390.78,,
2026-05-18 23:00:00,1254650.78,,
2026-05-19 00:00:00,1255005.02,,
2026-05-19 01:00:00,1256597.51,,
2026-05-19 02:00:00,1247510.54,,
2026-05-19 03:00:00,1246636.51,,
2026-05-19 04:00:00,1256314.03,,
2026-05-19 05:00:00,1259088.98,,
2026-05-19 06:00:00,1259334.52,,
2026-05-19 07:00:00,1265768.04,,
2026-05-19 08:00:00,1273934.33,,
2026-05-19 09:00:00,1267481.65,,
2026-05-19 10:00:00,1267999.96,,
2026-05-19 11:00:00,1261908.69,,
2026-05-19 12:00:00,1254667.05,,
2026-05-19 13:00:00,1263161.81,,
2026-05-19 14:00:00,1265965.57,,
2026-05-19 15:00:00,1249814.62,,
2026-05-19 16:00:00,1254773.50,,
2026-05-19 17:00:00,1263940.58,,
2026-05-19 18:00:00,1262854.87,,
2026-05-19 19:00:00,1257172.93,,
2026-05-19 20:00:00,1259077.12,,
2026-05-19 21:00:00,1260304.43,,
2026-05-19 22:00:00,1258624.17,,
2026-05-19 23:00:00,1244287.97,,
2026-05-20 00:00:00,1245180.17,,
2026-05-20 01:00:00,1232586.50,,
2026-05-20 02:00:00,1234894.33,,
2026-05-20 03:00:00,1230490.80,,
2026-05-20 04:00:00,1229593.59,,
2026-05-20 05:00:00,1233342.35,,
2026-05-20 06:00:00,1236132.14,,
2026-05-20 07:00:00,1235718.87,,
2026-05-20 08:00:00,1232805.24,,
2026-05-20 09:00:00,1232694.08,,
2026-05-20 10:00:00,1253802.32,,
2026-05-20 11:00:00,1241798.19,,
2026-05-20 12:00:00,1240736.44,,
2026-05-20 13:00:00,1253212.81,,
2026-05-20 14:00:00,1252228.97,,
2026-05-20 15:00:00,1263278.80,,
2026-05-20 16:00:00,1269461.59,,
2026-05-20 17:00:00,1271445.16,,
2026-05-20 18:00:00,1274585.43,,
2026-05-20 19:00:00,1269104.32,,
2026-05-20 20:00:00,1271343.66,,
2026-05-20 21:00:00,1285487.22,,
2026-05-20 22:00:00,1280464.46,,
2026-05-20 23:00:00,1279365.66,,
2026-05-21 00:00:00,1281765.37,,
2026-05-21 01:00:00,1298758.37,,
2026-05-21 02:00:00,1301834.42,,
2026-05-21 03:00:00,1302618.38,,
2026-05-21 04:00:00,1303344.29,,
2026-05-21 05:00:00,1310395.85,,
2026-05-21 06:00:00,1308629.83,,
2026-05-21 07:00:00,1317830.33,,
2026-05-21 08:00:00,1321519.00,,
2026-05-21 09:00:00,1320452.94,,
2026-05-21 10:00:00,1325540.15,,
2026-05-21 11:00:00,1331506.03,,
2026-05-21 12:00:00,1322912.28,,
2026-05-21 13:00:00,1335752.79,,
2026-05-21 14:00:00,1337026.49,,
2026-05-21 15:00:00,1332274.79,,
2026-05-21 16:00:00,1347598.54,,
2026-05-21 17:00:00,1343230.79,,
2026-05-21 18:00:00,1355388.51,,
2026-05-21 19:00:00,1351593.45,,
2026-05-21 20:00:00,1357543.05,,
2026-05-21 21:00:00,1351151.32,,
2026-05-21 22:00:00,1361242.46,,
2026-05-21 23:00:00,1369074.32,,
2026-05-22 00:00:00,1365822.32,,
2026-05-22 01:00:00,1366826.22,,
2026-05-22 02:00:00,1395834.89,,
2026-05-22 03:00:00,1398169.57,,
2026-05-22 04:00:00,1398671.74,,
2026-05-22 05:00:00,1390918.04,,
2026-05-22 06:00:00,1393513.69,,
2026-05-22 07:00:00,1389920.91,,
2026-05-22 08:00:00,1397552.83,,
2026-05-22 09:00:00,1394251.95,,
2026-05-22 10:00:00,1415740.68,,
2026-05-22 11:00:00,1391220.38,,
2026-05-22 12:00:00,1396013.93,,
2026-05-22 13:00:00,1408530.03,,
2026-05-22 14:00:00,1401388.75,,
2026-05-22 15:00:00,1376294.54,,
2026-05-22 16:00:00,1370000.25,,
2026-05-22 17:00:00,1370301.96,,
2026-05-22 18:00:00,1369856.40,,
2026-05-22 19:00:00,1338918.79,,
2026-05-22 20:00:00,1309595.37,,
2026-05-22 21:00:00,1327095.96,,
2026-05-22 22:00:00,1330488.40,,
2026-05-22 23:00:00,1326644.21,,
2026-05-23 00:00:00,1303934.92,,
2026-05-23 01:00:00,1261358.18,,
2026-05-23 02:00:00,1302676.87,,
2026-05-23 03:00:00,1345227.20,,
2026-05-23 04:00:00,1358926.25,,
2026-05-23 05:00:00,1349006.48,,
2026-05-23 06:00:00,1344652.56,,
2026-05-23 07:00:00,1321242.87,,
2026-05-23 08:00:00,1271317.47,,
2026-05-23 09:00:00,1269523.96,,
2026-05-23 10:00:00,1255416.52,,
2026-05-23 11:00:00,1255233.17,,
2026-05-23 12:00:00,1248248.34,,
2026-05-23 13:00:00,1261114.17,,
2026-05-23 14:00:00,1282741.94,,
2026-05-23 15:00:00,1292499.56,,
2026-05-23 16:00:00,1290565.37,,
2026-05-23 17:00:00,1286468.25,,
2026-05-23 18:00:00,1288883.55,,
2026-05-23 19:00:00,1303058.44,,
2026-05-23 20:00:00,1291026.07,,
2026-05-23 21:00:00,1313025.35,,
2026-05-23 22:00:00,1293030.31,,
2026-05-23 23:00:00,1278391.73,,
2026-05-24 00:00:00,1271998.76,,
2026-05-24 01:00:00,1284310.12,,
2026-05-24 02:00:00,1281881.18,,
