time,oi_A,oi_6,oi_3
2026-05-10 12:00:00,,790687.29,
2026-05-10 13:00:00,,791954.53,
2026-05-10 14:00:00,,791857.61,
2026-05-10 15:00:00,,796722.80,
2026-05-10 16:00:00,,808148.33,
2026-05-10 17:00:00,,808816.96,
2026-05-10 18:00:00,,812634.43,
2026-05-10 19:00:00,,813179.73,
2026-05-10 20:00:00,,814536.68,
2026-05-10 21:00:00,,802448.18,
2026-05-10 22:00:00,,806730.63,
2026-05-10 23:00:00,,816536.52,
2026-05-11 00:00:00,,807977.93,
2026-05-11 01:00:00,,810679.70,
2026-05-11 02:00:00,,814183.54,
2026-05-11 03:00:00,,802951.09,
2026-05-11 04:00:00,,795086.16,
2026-05-11 05:00:00,,801999.79,
2026-05-11 06:00:00,,804462.19,
2026-05-11 07:00:00,,811319.26,
2026-05-11 08:00:00,,792804.37,
2026-05-11 09:00:00,,802893.76,
2026-05-11 10:00:00,,806218.93,
2026-05-11 11:00:00,,799824.40,
2026-05-11 12:00:00,,804855.20,
2026-05-11 13:00:00,,797925.32,
2026-05-11 14:00:00,,792350.14,
2026-05-11 15:00:00,,796088.92,
2026-05-11 16:00:00,,806231.05,
2026-05-11 17:00:00,,821753.63,
2026-05-11 18:00:00,,815691.33,
2026-05-11 19:00:00,,811113.33,
2026-05-11 20:00:00,,829034.17,
2026-05-11 21:00:00,,832927.43,
2026-05-11 22:00:00,,835609.55,
2026-05-11 23:00:00,,825304.39,
2026-05-12 00:00:00,,832834.23,
2026-05-12 01:00:00,,824229.28,
2026-05-12 02:00:00,,811245.49,
2026-05-12 03:00:00,,821003.91,
2026-05-12 04:00:00,,824146.47,
2026-05-12 05:00:00,,833241.63,
2026-05-12 06:00:00,,835167.62,
2026-05-12 07:00:00,,825306.11,
2026-05-12 08:00:00,,825797.17,
2026-05-12 09:00:00,,808787.23,
2026-05-12 10:00:00,,807692.90,
2026-05-12 11:00:00,,795962.22,
2026-05-12 12:00:00,,799872.65,
2026-05-12 13:00:00,,810243.69,
2026-05-12 14:00:00,,800986.93,
2026-05-12 15:00:00,,805948.77,
2026-05-12 16:00:00,,786316.55,
2026-05-12 17:00:00,,825224.73,
2026-05-12 18:00:00,,834087.35,
2026-05-12 19:00:00,,832525.20,
2026-05-12 20:00:00,,830004.23,
2026-05-12 21:00:00,,822335.10,
2026-05-12 22:00:00,,819161.27,
2026-05-12 23:00:00,,826258.58,
2026-05-13 00:00:00,,824147.24,
2026-05-13 01:00:00,,828791.46,
2026-05-13 02:00:00,,836812.01,
2026-05-13 03:00:00,,844360.76,
2026-05-13 04:00:00,,846197.38,
2026-05-13 05:00:00,,853289.71,
2026-05-13 06:00:00,,843532.16,
2026-05-13 07:00:00,,841752.01,
2026-05-13 08:00:00,,836728.27,
2026-05-13 09:00:00,,837543.12,
2026-05-13 10:00:00,,844442.47,
2026-05-13 11:00:00,,841367.51,
2026-05-13 12:00:00,,826084.46,
2026-05-13 13:00:00,,807577.74,
2026-05-13 14:00:00,,795056.46,
2026-05-13 15:00:00,,793427.27,
2026-05-13 16:00:00,,764906.79,
2026-05-13 17:00:00,,773839.01,
2026-05-13 18:00:00,,767537.88,
2026-05-13 19:00:00,,777327.22,
2026-05-13 20:00:00,,769116.62,
2026-05-13 21:00:00,,772566.33,
2026-05-13 22:00:00,,758795.37,
2026-05-13 23:00:00,,763359.04,
2026-05-14 00:00:00,,762517.15,
2026-05-14 01:00:00,,765801.60,
2026-05-14 02:00:00,,766373.24,
2026-05-14 03:00:00,,757629.16,
2026-05-14 04:00:00,,739559.94,
2026-05-14 05:00:00,,750257.37,
2026-05-14 06:00:00,,750430.51,
2026-05-14 07:00:00,,741773.90,
2026-05-14 08:00:00,,741496.41,
2026-05-14 09:00:00,,749180.13,
2026-05-14 10:00:00,,746841.47,
2026-05-14 11:00:00,,760439.35,
2026-05-14 12:00:00,,754638.37,
2026-05-14 13:00:00,,757098.73,
2026-05-14 14:00:00,,761348.04,
2026-05-14 15:00:00,,770023.58,
2026-05-14 16:00:00,,777373.03,
2026-05-14 17:00:00,,781137.38,
2026-05-14 18:00:00,,779760.96,
2026-05-14 19:00:00,,779719.16,
2026-05-14 20:00:00,,771630.51,
2026-05-14 21:00:00,,767921.95,
2026-05-14 22:00:00,,771948.07,
2026-05-14 23:00:00,,766442.34,
2026-05-15 00:00:00,,762375.57,
2026-05-15 01:00:00,,769292.86,
2026-05-15 02:00:00,,763437.18,
2026-05-15 03:00:00,,767227.43,
2026-05-15 04:00:00,,765109.55,
2026-05-15 05:00:00,,756994.49,
2026-05-15 06:00:00,,746556.18,
2026-05-15 07:00:00,,752690.57,
2026-05-15 08:00:00,,760200.14,
2026-05-15 09:00:00,,755844.65,
2026-05-15 10:00:00,,757436.49,
2026-05-15 11:00:00,,770109.45,
2026-05-15 12:00:00,,795697.03,
2026-05-15 13:00:00,,796998.54,
2026-05-15 14:00:00,,769335.94,
2026-05-15 15:00:00,,773547.54,
2026-05-15 16:00:00,,770580.20,
2026-05-15 17:00:00,,773599.76,
2026-05-15 18:00:00,,779595.73,
2026-05-15 19:00:00,,774406.48,
2026-05-15 20:00:00,,773094.19,
2026-05-15 21:00:00,,767838.48,
2026-05-15 22:00:00,,766857.94,
