time,oi_A,oi_6,oi_3
2026-05-31 12:00:00,7179631.29,,1386164.35
2026-05-31 13:00:00,7202724.20,,1374021.89
2026-05-31 14:00:00,7198113.93,,1364728.48
2026-05-31 15:00:00,7049489.43,,1320711.96
2026-05-31 16:00:00,7026532.25,,1308771.72
2026-05-31 17:00:00,6962549.47,,1276812.77
2026-05-31 18:00:00,7099907.08,,1294202.97
2026-05-31 19:00:00,7043279.78,,1274658.51
2026-05-31 20:00:00,7053368.09,,1281348.11
2026-05-31 21:00:00,7070559.19,,1284144.17
2026-05-31 22:00:00,7159861.67,,1293894.12
2026-05-31 23:00:00,7216057.60,,1288459.22
2026-06-01 00:00:00,7261900.95,,1287571.16
2026-06-01 01:00:00,7452575.54,,1342314.36
2026-06-01 02:00:00,7488404.01,,1363354.13
2026-06-01 03:00:00,7806376.06,,1450490.14
2026-06-01 04:00:00,7999089.54,,1500617.29
2026-06-01 05:00:00,7767368.51,,1450196.14
2026-06-01 06:00:00,7758703.44,,1438421.13
2026-06-01 07:00:00,7594432.13,,1428636.97
2026-06-01 08:00:00,7758517.79,,1485469.57
2026-06-01 09:00:00,7600282.40,,1492659.04
2026-06-01 10:00:00,7699991.19,,1512494.98
2026-06-01 11:00:00,7706554.44,,1534144.27
2026-06-01 12:00:00,7620733.66,,1512164.52
2026-06-01 13:00:00,7607651.55,,1518386.53
2026-06-01 14:00:00,7527476.16,,1469493.62
2026-06-01 15:00:00,7432039.02,,1453310.50
2026-06-01 16:00:00,7611127.95,,1512087.49
2026-06-01 17:00:00,7856930.74,,1539068.35
2026-06-01 18:00:00,8064024.08,,1580100.04
2026-06-01 19:00:00,7876972.99,,1537307.76
2026-06-01 20:00:00,8161698.57,,1588417.79
2026-06-01 21:00:00,8253584.46,,1611962.72
2026-06-01 22:00:00,8237410.14,,1601035.64
2026-06-01 23:00:00,8404928.55,,1653983.10
2026-06-02 00:00:00,8315376.90,,1661219.45
2026-06-02 01:00:00,8172979.88,,1655484.90
2026-06-02 02:00:00,8112315.11,,1636388.99
2026-06-02 03:00:00,8396121.90,,1689466.13
2026-06-02 04:00:00,8404310.77,,1697783.63
2026-06-02 05:00:00,8390589.96,,1719179.66
2026-06-02 06:00:00,8463856.30,,1785126.69
2026-06-02 07:00:00,8336423.24,,1757403.30
