time,oi_A,oi_6,oi_3
2026-05-17 12:00:00,,584690.59,
2026-05-17 13:00:00,,580854.86,
2026-05-17 14:00:00,,574683.15,
2026-05-17 15:00:00,,580179.63,
2026-05-17 16:00:00,,572276.64,
2026-05-17 17:00:00,,576894.53,
2026-05-17 18:00:00,,573902.05,
2026-05-17 19:00:00,,571139.59,
2026-05-17 20:00:00,,570549.22,
2026-05-17 21:00:00,,565548.55,
2026-05-17 22:00:00,,568976.54,
2026-05-17 23:00:00,,562545.39,
2026-05-18 00:00:00,,555875.10,
2026-05-18 01:00:00,,552861.02,
2026-05-18 02:00:00,,553576.85,
2026-05-18 03:00:00,,560191.59,
2026-05-18 04:00:00,,561173.24,
2026-05-18 05:00:00,,562940.14,
2026-05-18 06:00:00,,554352.55,
2026-05-18 07:00:00,,547322.05,
2026-05-18 08:00:00,,548353.19,
2026-05-18 09:00:00,,553690.26,
2026-05-18 10:00:00,,558572.69,
2026-05-18 11:00:00,,559165.32,
2026-05-18 12:00:00,,559386.90,
2026-05-18 13:00:00,,563000.09,
2026-05-18 14:00:00,,560840.95,
2026-05-18 15:00:00,,548821.72,
2026-05-18 16:00:00,,548405.49,
2026-05-18 17:00:00,,549004.49,
2026-05-18 18:00:00,,554432.19,
2026-05-18 19:00:00,,540839.63,
2026-05-18 20:00:00,,550919.17,
2026-05-18 21:00:00,,548130.99,
2026-05-18 22:00:00,,552937.55,
2026-05-18 23:00:00,,551032.15,
2026-05-19 00:00:00,,554163.11,
2026-05-19 01:00:00,,556036.78,
2026-05-19 02:00:00,,549870.08,
2026-05-19 03:00:00,,547874.43,
2026-05-19 04:00:00,,551907.49,
2026-05-19 05:00:00,,553160.97,
2026-05-19 06:00:00,,551762.48,
2026-05-19 07:00:00,,550608.16,
2026-05-19 08:00:00,,552638.82,
2026-05-19 09:00:00,,549548.28,
2026-05-19 10:00:00,,545428.39,
2026-05-19 11:00:00,,544178.91,
2026-05-19 12:00:00,,541319.31,
2026-05-19 13:00:00,,545426.32,
2026-05-19 14:00:00,,548082.12,
2026-05-19 15:00:00,,544861.71,
2026-05-19 16:00:00,,547992.03,
2026-05-19 17:00:00,,549973.92,
2026-05-19 18:00:00,,547554.59,
2026-05-19 19:00:00,,544561.57,
2026-05-19 20:00:00,,538942.50,
2026-05-19 21:00:00,,538314.23,
2026-05-19 22:00:00,,524786.81,
2026-05-19 23:00:00,,519445.30,
2026-05-20 00:00:00,,529169.14,
2026-05-20 01:00:00,,531227.75,
2026-05-20 02:00:00,,533301.39,
2026-05-20 03:00:00,,530712.25,
2026-05-20 04:00:00,,532577.01,
2026-05-20 05:00:00,,535488.31,
2026-05-20 06:00:00,,536997.12,
2026-05-20 07:00:00,,544123.05,
2026-05-20 08:00:00,,543295.19,
2026-05-20 09:00:00,,534496.15,
2026-05-20 10:00:00,,535059.08,
2026-05-20 11:00:00,,538405.47,
2026-05-20 12:00:00,,537642.49,
2026-05-20 13:00:00,,541132.19,
2026-05-20 14:00:00,,542848.59,
2026-05-20 15:00:00,,546258.98,
2026-05-20 16:00:00,,548411.58,
2026-05-20 17:00:00,,541824.52,
2026-05-20 18:00:00,,541060.18,
2026-05-20 19:00:00,,542196.18,
2026-05-20 20:00:00,,540509.10,
2026-05-20 21:00:00,,543706.65,
2026-05-20 22:00:00,,537809.52,
2026-05-20 23:00:00,,538954.68,
2026-05-21 00:00:00,,536136.97,
2026-05-21 01:00:00,,536538.98,
2026-05-21 02:00:00,,540103.92,
2026-05-21 03:00:00,,539748.49,
2026-05-21 04:00:00,,544834.24,
2026-05-21 05:00:00,,549096.19,
2026-05-21 06:00:00,,548431.33,
2026-05-21 07:00:00,,549768.81,
2026-05-21 08:00:00,,549815.03,
2026-05-21 09:00:00,,549979.32,
2026-05-21 10:00:00,,542223.81,
2026-05-21 11:00:00,,528870.02,
2026-05-21 12:00:00,,527412.16,
2026-05-21 13:00:00,,533522.64,
2026-05-21 14:00:00,,530606.78,
2026-05-21 15:00:00,,529695.52,
2026-05-21 16:00:00,,532583.60,
2026-05-21 17:00:00,,533097.35,
2026-05-21 18:00:00,,537852.22,
2026-05-21 19:00:00,,535875.94,
2026-05-21 20:00:00,,536845.83,
2026-05-21 21:00:00,,534483.41,
2026-05-21 22:00:00,,536540.00,
2026-05-21 23:00:00,,532776.23,
2026-05-22 00:00:00,,533112.87,
2026-05-22 01:00:00,,530261.75,
2026-05-22 02:00:00,,533351.50,
2026-05-22 03:00:00,,537266.63,
2026-05-22 04:00:00,,537810.69,
2026-05-22 05:00:00,,535976.82,
2026-05-22 06:00:00,,534741.59,
2026-05-22 07:00:00,,533242.24,
2026-05-22 08:00:00,,533485.91,
2026-05-22 09:00:00,,531695.70,
2026-05-22 10:00:00,,533731.59,
2026-05-22 11:00:00,,534822.35,
2026-05-22 12:00:00,,536748.68,
2026-05-22 13:00:00,,539605.48,
2026-05-22 14:00:00,,530859.84,
2026-05-22 15:00:00,,518915.96,
2026-05-22 16:00:00,,524763.61,
2026-05-22 17:00:00,,525609.03,
2026-05-22 18:00:00,,516038.01,
2026-05-22 19:00:00,,507617.08,
2026-05-22 20:00:00,,494671.62,
2026-05-22 21:00:00,,501035.21,
2026-05-22 22:00:00,,499349.94,
2026-05-22 23:00:00,,498619.43,
2026-05-23 00:00:00,,491199.39,
2026-05-23 01:00:00,,491359.83,
2026-05-23 02:00:00,,489934.26,
2026-05-23 03:00:00,,492108.72,
2026-05-23 04:00:00,,494309.93,
2026-05-23 05:00:00,,490822.93,
2026-05-23 06:00:00,,486904.57,
2026-05-23 07:00:00,,484514.51,
2026-05-23 08:00:00,,470197.47,
2026-05-23 09:00:00,,468564.53,
2026-05-23 10:00:00,,464988.85,
2026-05-23 11:00:00,,466221.60,
2026-05-23 12:00:00,,468173.19,
2026-05-23 13:00:00,,471304.57,
2026-05-23 14:00:00,,471452.44,
2026-05-23 15:00:00,,475200.36,
2026-05-23 16:00:00,,472725.37,
2026-05-23 17:00:00,,470558.44,
2026-05-23 18:00:00,,466562.46,
2026-05-23 19:00:00,,465084.24,
2026-05-23 20:00:00,,465496.51,
2026-05-23 21:00:00,,471652.53,
2026-05-23 22:00:00,,465360.37,
2026-05-23 23:00:00,,462843.43,
2026-05-24 00:00:00,,463352.93,
2026-05-24 01:00:00,,465413.11,
