time,oi_A,oi_6,oi_3
2026-05-03 12:00:00,,531590.00,
2026-05-03 13:00:00,,517334.98,
2026-05-03 14:00:00,,516949.14,
2026-05-03 15:00:00,,514836.16,
2026-05-03 16:00:00,,507184.91,
2026-05-03 17:00:00,,504775.10,
2026-05-03 18:00:00,,502000.93,
2026-05-03 19:00:00,,497652.68,
2026-05-03 20:00:00,,496192.39,
2026-05-03 21:00:00,,495350.38,
2026-05-03 22:00:00,,529015.28,
2026-05-03 23:00:00,,504229.63,
2026-05-04 00:00:00,,497269.09,
2026-05-04 01:00:00,,504724.52,
2026-05-04 02:00:00,,506284.93,
2026-05-04 03:00:00,,510756.85,
2026-05-04 04:00:00,,518762.41,
2026-05-04 05:00:00,,513776.89,
2026-05-04 06:00:00,,508352.56,
2026-05-04 07:00:00,,510926.03,
2026-05-04 08:00:00,,533782.68,
2026-05-04 09:00:00,,527538.78,
2026-05-04 10:00:00,,516107.59,
2026-05-04 11:00:00,,514317.04,
2026-05-04 12:00:00,,508192.93,
2026-05-04 13:00:00,,507550.46,
2026-05-04 14:00:00,,509915.61,
2026-05-04 15:00:00,,505095.96,
2026-05-04 16:00:00,,504005.16,
2026-05-04 17:00:00,,518176.88,
2026-05-04 18:00:00,,517699.54,
2026-05-04 19:00:00,,505817.71,
2026-05-04 20:00:00,,509049.26,
2026-05-04 21:00:00,,504952.47,
2026-05-04 22:00:00,,509422.88,
2026-05-04 23:00:00,,501029.03,
2026-05-05 00:00:00,,492611.89,
2026-05-05 01:00:00,,487657.98,
2026-05-05 02:00:00,,497382.27,
2026-05-05 03:00:00,,488604.16,
2026-05-05 04:00:00,,477766.63,
2026-05-05 05:00:00,,472413.29,
2026-05-05 06:00:00,,470588.16,
2026-05-05 07:00:00,,473547.74,
2026-05-05 08:00:00,,473524.11,
2026-05-05 09:00:00,,490204.79,
2026-05-05 10:00:00,,468706.23,
2026-05-05 11:00:00,,502115.11,
2026-05-05 12:00:00,,518871.70,
2026-05-05 13:00:00,,516483.83,
2026-05-05 14:00:00,,517341.78,
2026-05-05 15:00:00,,529602.60,
2026-05-05 16:00:00,,542404.19,
2026-05-05 17:00:00,,543369.41,
2026-05-05 18:00:00,,550201.33,
2026-05-05 19:00:00,,549571.34,
2026-05-05 20:00:00,,541184.46,
2026-05-05 21:00:00,,539958.89,
2026-05-05 22:00:00,,536381.41,
2026-05-05 23:00:00,,535592.71,
2026-05-06 00:00:00,,533993.83,
2026-05-06 01:00:00,,531750.89,
2026-05-06 02:00:00,,530966.40,
2026-05-06 03:00:00,,515944.81,
2026-05-06 04:00:00,,520111.67,
2026-05-06 05:00:00,,506841.39,
2026-05-06 06:00:00,,502887.31,
2026-05-06 07:00:00,,503738.37,
2026-05-06 08:00:00,,526560.82,
2026-05-06 09:00:00,,550970.11,
2026-05-06 10:00:00,,535525.43,
2026-05-06 11:00:00,,530095.93,
2026-05-06 12:00:00,,523508.77,
2026-05-06 13:00:00,,536355.51,
2026-05-06 14:00:00,,530512.17,
2026-05-06 15:00:00,,524123.34,
2026-05-06 16:00:00,,523041.42,
2026-05-06 17:00:00,,533575.69,
2026-05-06 18:00:00,,534406.46,
2026-05-06 19:00:00,,530735.33,
2026-05-06 20:00:00,,540276.19,
2026-05-06 21:00:00,,528639.31,
2026-05-06 22:00:00,,527917.90,
2026-05-06 23:00:00,,521355.82,
2026-05-07 00:00:00,,527494.73,
2026-05-07 01:00:00,,522214.86,
2026-05-07 02:00:00,,525184.24,
2026-05-07 03:00:00,,517610.16,
2026-05-07 04:00:00,,511476.24,
2026-05-07 05:00:00,,509004.80,
2026-05-07 06:00:00,,504008.06,
2026-05-07 07:00:00,,503540.97,
2026-05-07 08:00:00,,503551.35,
2026-05-07 09:00:00,,503090.23,
2026-05-07 10:00:00,,504513.16,
2026-05-07 11:00:00,,519595.27,
2026-05-07 12:00:00,,515024.62,
2026-05-07 13:00:00,,515431.23,
2026-05-07 14:00:00,,527873.42,
2026-05-07 15:00:00,,528361.89,
2026-05-07 16:00:00,,519356.69,
2026-05-07 17:00:00,,506008.15,
2026-05-07 18:00:00,,497522.54,
2026-05-07 19:00:00,,504461.35,
2026-05-07 20:00:00,,497123.21,
2026-05-07 21:00:00,,498288.70,
2026-05-07 22:00:00,,499163.20,
2026-05-07 23:00:00,,495682.53,
2026-05-08 00:00:00,,496434.10,
2026-05-08 01:00:00,,496310.62,
2026-05-08 02:00:00,,496069.96,
2026-05-08 03:00:00,,495094.13,
2026-05-08 04:00:00,,497227.94,
2026-05-08 05:00:00,,498916.88,
2026-05-08 06:00:00,,496987.32,
2026-05-08 07:00:00,,498854.27,
2026-05-08 08:00:00,,508403.10,
2026-05-08 09:00:00,,498378.10,
2026-05-08 10:00:00,,498932.95,
2026-05-08 11:00:00,,506863.57,
2026-05-08 12:00:00,,503757.67,
2026-05-08 13:00:00,,499658.54,
2026-05-08 14:00:00,,492533.29,
2026-05-08 15:00:00,,492545.92,
2026-05-08 16:00:00,,498285.40,
2026-05-08 17:00:00,,497468.79,
2026-05-08 18:00:00,,504668.19,
2026-05-08 19:00:00,,495167.89,
2026-05-08 20:00:00,,498127.74,
2026-05-08 21:00:00,,502404.52,
2026-05-08 22:00:00,,498468.36,
2026-05-08 23:00:00,,500239.41,
2026-05-09 00:00:00,,501443.59,
2026-05-09 01:00:00,,505428.03,
2026-05-09 02:00:00,,507824.84,
2026-05-09 03:00:00,,501241.20,
2026-05-09 04:00:00,,506085.50,
2026-05-09 05:00:00,,505059.58,
2026-05-09 06:00:00,,496026.30,
2026-05-09 07:00:00,,511357.92,
2026-05-09 08:00:00,,512356.99,
2026-05-09 09:00:00,,514912.42,
2026-05-09 10:00:00,,516995.73,
2026-05-09 11:00:00,,514368.27,
2026-05-09 12:00:00,,517294.63,
2026-05-09 13:00:00,,518585.46,
2026-05-09 14:00:00,,513692.54,
2026-05-09 15:00:00,,515300.32,
2026-05-09 16:00:00,,516520.66,
2026-05-09 17:00:00,,521269.76,
2026-05-09 18:00:00,,518287.85,
2026-05-09 19:00:00,,520758.92,
2026-05-09 20:00:00,,521656.65,
2026-05-09 21:00:00,,521313.13,
2026-05-09 22:00:00,,522757.89,
2026-05-09 23:00:00,,523834.69,
2026-05-10 00:00:00,,524955.19,
2026-05-10 01:00:00,,525160.67,
2026-05-10 02:00:00,,532465.80,
2026-05-10 03:00:00,,542293.94,
2026-05-10 04:00:00,,555201.98,
2026-05-10 05:00:00,,544569.54,
2026-05-10 06:00:00,,537104.44,
2026-05-10 07:00:00,,540988.82,
2026-05-10 08:00:00,,531012.25,
2026-05-10 09:00:00,,528205.30,
2026-05-10 10:00:00,,530730.05,
2026-05-10 11:00:00,,534983.06,
2026-05-10 12:00:00,,530260.58,
2026-05-10 13:00:00,,531188.18,
2026-05-10 14:00:00,,530933.80,
2026-05-10 15:00:00,,531317.87,
2026-05-10 16:00:00,,542906.51,
2026-05-10 17:00:00,,540101.99,
2026-05-10 18:00:00,,534280.43,
2026-05-10 19:00:00,,537354.51,
2026-05-10 20:00:00,,534428.35,
2026-05-10 21:00:00,,531858.11,
2026-05-10 22:00:00,,531325.16,
2026-05-10 23:00:00,,537916.85,
2026-05-11 00:00:00,,538806.04,
2026-05-11 01:00:00,,537705.45,
2026-05-11 02:00:00,,536279.79,
2026-05-11 03:00:00,,540205.40,
2026-05-11 04:00:00,,538349.50,
2026-05-11 05:00:00,,537303.18,
2026-05-11 06:00:00,,533491.36,
2026-05-11 07:00:00,,533249.49,
2026-05-11 08:00:00,,533426.73,
2026-05-11 09:00:00,,537317.09,
2026-05-11 10:00:00,,532139.98,
2026-05-11 11:00:00,,531915.51,
2026-05-11 12:00:00,,532529.49,
2026-05-11 13:00:00,,531569.43,
2026-05-11 14:00:00,,533756.62,
2026-05-11 15:00:00,,535970.75,
2026-05-11 16:00:00,,539176.56,
2026-05-11 17:00:00,,537386.42,
2026-05-11 18:00:00,,542594.50,
2026-05-11 19:00:00,,542815.27,
2026-05-11 20:00:00,,545850.73,
2026-05-11 21:00:00,,547597.30,
2026-05-11 22:00:00,,548063.59,
2026-05-11 23:00:00,,549172.19,
2026-05-12 00:00:00,,548331.32,
2026-05-12 01:00:00,,550981.68,
2026-05-12 02:00:00,,556271.07,
2026-05-12 03:00:00,,554704.90,
2026-05-12 04:00:00,,554980.05,
2026-05-12 05:00:00,,556191.82,
2026-05-12 06:00:00,,558161.18,
2026-05-12 07:00:00,,558505.68,
2026-05-12 08:00:00,,560949.40,
2026-05-12 09:00:00,,563084.12,
2026-05-12 10:00:00,,568975.68,
2026-05-12 11:00:00,,575147.42,
2026-05-12 12:00:00,,575519.98,
2026-05-12 13:00:00,,601970.85,
2026-05-12 14:00:00,,651491.15,
2026-05-12 15:00:00,,711647.65,
2026-05-12 16:00:00,,690412.97,
2026-05-12 17:00:00,,731427.38,
2026-05-12 18:00:00,,719340.76,
2026-05-12 19:00:00,,794709.70,
2026-05-12 20:00:00,,748592.52,
2026-05-12 21:00:00,,746097.51,
2026-05-12 22:00:00,,740848.27,
2026-05-12 23:00:00,,740299.83,
2026-05-13 00:00:00,,747001.57,
2026-05-13 01:00:00,,745606.71,
2026-05-13 02:00:00,,759440.27,
2026-05-13 03:00:00,,754144.62,
2026-05-13 04:00:00,,756469.41,
2026-05-13 05:00:00,,770095.90,
2026-05-13 06:00:00,,777483.36,
2026-05-13 07:00:00,,792098.74,
2026-05-13 08:00:00,,790329.50,
2026-05-13 09:00:00,,786947.20,
2026-05-13 10:00:00,,807541.66,
2026-05-13 11:00:00,,828574.34,
2026-05-13 12:00:00,,861019.07,
2026-05-13 13:00:00,,905213.13,
2026-05-13 14:00:00,,965134.76,
2026-05-13 15:00:00,,1089284.62,
2026-05-13 16:00:00,,1090305.01,
2026-05-13 17:00:00,,1186819.09,
2026-05-13 18:00:00,,1130549.89,
2026-05-13 19:00:00,,1057883.82,
2026-05-13 20:00:00,,1043849.06,
2026-05-13 21:00:00,,1034081.94,
2026-05-13 22:00:00,,1046759.57,
2026-05-13 23:00:00,,1099577.52,
2026-05-14 00:00:00,,1097050.87,
2026-05-14 01:00:00,,1102653.78,
2026-05-14 02:00:00,,1107840.80,
2026-05-14 03:00:00,,1134460.10,
2026-05-14 04:00:00,,1210058.09,
2026-05-14 05:00:00,,1187320.26,
2026-05-14 06:00:00,,1013236.43,
2026-05-14 07:00:00,,979778.82,
2026-05-14 08:00:00,,979371.40,
2026-05-14 09:00:00,,986202.02,
2026-05-14 10:00:00,,983396.74,
2026-05-14 11:00:00,,991295.69,
2026-05-14 12:00:00,,965946.69,
2026-05-14 13:00:00,,948034.55,
2026-05-14 14:00:00,,950891.52,
2026-05-14 15:00:00,,983323.57,
2026-05-14 16:00:00,,1000359.86,
2026-05-14 17:00:00,,1010114.82,
2026-05-14 18:00:00,,956249.85,
2026-05-14 19:00:00,,963939.25,
2026-05-14 20:00:00,,946064.04,
2026-05-14 21:00:00,,938111.31,
2026-05-14 22:00:00,,946156.27,
2026-05-14 23:00:00,,924237.52,
2026-05-15 00:00:00,,911294.93,
2026-05-15 01:00:00,,924072.40,
2026-05-15 02:00:00,,930829.25,
2026-05-15 03:00:00,,923787.54,
2026-05-15 04:00:00,,924978.97,
2026-05-15 05:00:00,,906924.94,
2026-05-15 06:00:00,,900131.30,
2026-05-15 07:00:00,,887571.84,
2026-05-15 08:00:00,,928556.46,
2026-05-15 09:00:00,,928729.74,
2026-05-15 10:00:00,,920372.61,
2026-05-15 11:00:00,,950603.32,
2026-05-15 12:00:00,,930127.92,
2026-05-15 13:00:00,,925222.70,
2026-05-15 14:00:00,,904674.09,
2026-05-15 15:00:00,,908689.36,
2026-05-15 16:00:00,,968505.02,
2026-05-15 17:00:00,,947749.39,
2026-05-15 18:00:00,,1003575.41,
2026-05-15 19:00:00,,992711.94,
2026-05-15 20:00:00,,1003473.41,
2026-05-15 21:00:00,,1007870.51,
2026-05-15 22:00:00,,1033258.52,
2026-05-15 23:00:00,,1014725.54,
2026-05-16 00:00:00,,1014070.22,
2026-05-16 01:00:00,,1010045.17,
2026-05-16 02:00:00,,1008711.49,
