time,oi_A,oi_6,oi_3
2026-05-03 12:00:00,4033662.73,,
2026-05-03 13:00:00,3945517.07,,
2026-05-03 14:00:00,3943997.34,,
2026-05-03 15:00:00,3931856.90,,
2026-05-03 16:00:00,3884904.16,,
2026-05-03 17:00:00,3869549.61,,
2026-05-03 18:00:00,3861232.88,,
2026-05-03 19:00:00,3844707.27,,
2026-05-03 20:00:00,3831596.45,,
2026-05-03 21:00:00,3831318.29,,
2026-05-03 22:00:00,4029214.76,,
2026-05-03 23:00:00,3952929.47,,
2026-05-04 00:00:00,3900776.31,,
2026-05-04 01:00:00,3959097.18,,
2026-05-04 02:00:00,3976326.01,,
2026-05-04 03:00:00,4025149.53,,
2026-05-04 04:00:00,4119329.27,,
2026-05-04 05:00:00,4073633.81,,
2026-05-04 06:00:00,4038026.32,,
2026-05-04 07:00:00,4061355.70,,
2026-05-04 08:00:00,4121643.53,,
2026-05-04 09:00:00,4149005.01,,
2026-05-04 10:00:00,4056921.63,,
2026-05-04 11:00:00,4043244.43,,
2026-05-04 12:00:00,3997286.70,,
2026-05-04 13:00:00,3992914.85,,
2026-05-04 14:00:00,4017918.67,,
2026-05-04 15:00:00,3990662.12,,
2026-05-04 16:00:00,3987496.34,,
2026-05-04 17:00:00,4070056.28,,
2026-05-04 18:00:00,4100833.46,,
2026-05-04 19:00:00,4025592.89,,
2026-05-04 20:00:00,4031249.67,,
2026-05-04 21:00:00,4041980.33,,
2026-05-04 22:00:00,4059434.21,,
2026-05-04 23:00:00,3999531.36,,
2026-05-05 00:00:00,3957018.68,,
2026-05-05 01:00:00,3932989.05,,
2026-05-05 02:00:00,3962844.00,,
2026-05-05 03:00:00,3913788.19,,
2026-05-05 04:00:00,3732755.74,,
2026-05-05 05:00:00,3750117.85,,
2026-05-05 06:00:00,3721523.52,,
2026-05-05 07:00:00,3761833.53,,
2026-05-05 08:00:00,3764732.26,,
2026-05-05 09:00:00,3808659.82,,
2026-05-05 10:00:00,3686026.91,,
2026-05-05 11:00:00,3844232.46,,
2026-05-05 12:00:00,3940238.80,,
2026-05-05 13:00:00,3919212.22,,
2026-05-05 14:00:00,3928681.46,,
2026-05-05 15:00:00,4034671.23,,
2026-05-05 16:00:00,4114544.20,,
2026-05-05 17:00:00,4119822.65,,
2026-05-05 18:00:00,4117877.42,,
2026-05-05 19:00:00,4120608.60,,
2026-05-05 20:00:00,4095578.42,,
2026-05-05 21:00:00,4089206.47,,
2026-05-05 22:00:00,4076156.79,,
2026-05-05 23:00:00,4064602.21,,
2026-05-06 00:00:00,4047818.80,,
2026-05-06 01:00:00,4044301.25,,
2026-05-06 02:00:00,4033751.89,,
2026-05-06 03:00:00,3925260.24,,
2026-05-06 04:00:00,3955662.93,,
2026-05-06 05:00:00,3837341.28,,
2026-05-06 06:00:00,3825032.20,,
2026-05-06 07:00:00,3843737.64,,
2026-05-06 08:00:00,4016091.72,,
2026-05-06 09:00:00,4184740.16,,
2026-05-06 10:00:00,4082543.63,,
2026-05-06 11:00:00,4061138.00,,
2026-05-06 12:00:00,4030146.21,,
2026-05-06 13:00:00,4133032.52,,
2026-05-06 14:00:00,4087525.55,,
2026-05-06 15:00:00,4047427.44,,
2026-05-06 16:00:00,4051140.36,,
2026-05-06 17:00:00,4071257.99,,
2026-05-06 18:00:00,4079672.34,,
2026-05-06 19:00:00,4087696.84,,
2026-05-06 20:00:00,4163903.23,,
2026-05-06 21:00:00,4073792.52,,
2026-05-06 22:00:00,4084649.89,,
2026-05-06 23:00:00,4053405.94,,
2026-05-07 00:00:00,4089966.74,,
2026-05-07 01:00:00,4051546.47,,
2026-05-07 02:00:00,4077951.37,,
2026-05-07 03:00:00,4016244.94,,
2026-05-07 04:00:00,3973156.88,,
2026-05-07 05:00:00,3938063.49,,
2026-05-07 06:00:00,3919370.84,,
2026-05-07 07:00:00,3909463.85,,
2026-05-07 08:00:00,3917627.19,,
2026-05-07 09:00:00,3878174.93,,
2026-05-07 10:00:00,3907193.72,,
2026-05-07 11:00:00,3941849.89,,
2026-05-07 12:00:00,3945613.80,,
2026-05-07 13:00:00,3958167.50,,
2026-05-07 14:00:00,4023646.95,,
2026-05-07 15:00:00,4011150.28,,
2026-05-07 16:00:00,3937119.33,,
2026-05-07 17:00:00,3864080.31,,
2026-05-07 18:00:00,3817043.52,,
2026-05-07 19:00:00,3871528.26,,
2026-05-07 20:00:00,3798382.22,,
2026-05-07 21:00:00,3797958.67,,
2026-05-07 22:00:00,3806831.35,,
2026-05-07 23:00:00,3781947.04,,
2026-05-08 00:00:00,3798203.07,,
2026-05-08 01:00:00,3787451.31,,
2026-05-08 02:00:00,3803398.87,,
2026-05-08 03:00:00,3797536.07,,
2026-05-08 04:00:00,3817160.25,,
2026-05-08 05:00:00,3826073.83,,
2026-05-08 06:00:00,3832189.35,,
2026-05-08 07:00:00,3874787.47,,
2026-05-08 08:00:00,3905444.47,,
2026-05-08 09:00:00,3861870.85,,
2026-05-08 10:00:00,3863503.04,,
2026-05-08 11:00:00,3906938.36,,
2026-05-08 12:00:00,3906397.88,,
2026-05-08 13:00:00,3872229.41,,
2026-05-08 14:00:00,3840406.09,,
2026-05-08 15:00:00,3838173.66,,
2026-05-08 16:00:00,3877113.57,,
2026-05-08 17:00:00,3869808.25,,
2026-05-08 18:00:00,3911949.31,,
2026-05-08 19:00:00,3856719.79,,
2026-05-08 20:00:00,3868634.19,,
2026-05-08 21:00:00,3884625.82,,
2026-05-08 22:00:00,3869601.33,,
2026-05-08 23:00:00,3859466.64,,
2026-05-09 00:00:00,3873733.12,,
2026-05-09 01:00:00,3904903.16,,
2026-05-09 02:00:00,3914709.45,,
2026-05-09 03:00:00,3864982.49,,
