time,oi_A,oi_6,oi_3
2026-04-25 12:00:00,1491438.18,,409508.43
2026-04-25 13:00:00,1495582.90,,402295.27
2026-04-25 14:00:00,1658250.98,,418434.38
2026-04-25 15:00:00,1665176.30,,429824.29
2026-04-25 16:00:00,1661483.64,,423285.70
2026-04-25 17:00:00,1664403.31,,424917.69
2026-04-25 18:00:00,1666361.09,,422009.05
2026-04-25 19:00:00,1717819.11,,431412.98
2026-04-25 20:00:00,1711379.56,,427923.01
2026-04-25 21:00:00,1743118.38,,427463.42
2026-04-25 22:00:00,1710893.31,,419790.94
2026-04-25 23:00:00,1719741.78,,422780.48
2026-04-26 00:00:00,1693684.73,,421672.89
2026-04-26 01:00:00,1671689.83,,414269.53
2026-04-26 02:00:00,1677438.08,,419530.02
2026-04-26 03:00:00,1637711.33,,413888.23
2026-04-26 04:00:00,1645257.15,,417680.98
2026-04-26 05:00:00,1650730.74,,414055.78
2026-04-26 06:00:00,1662340.88,,412636.42
2026-04-26 07:00:00,1713672.69,,425045.23
2026-04-26 08:00:00,1776261.55,,433823.85
2026-04-26 09:00:00,1757307.93,,435010.78
2026-04-26 10:00:00,1715729.59,,438710.78
2026-04-26 11:00:00,1705502.48,,436857.04
2026-04-26 12:00:00,1712521.30,,438888.60
2026-04-26 13:00:00,1641699.23,,423015.64
2026-04-26 14:00:00,1626351.30,,421943.14
2026-04-26 15:00:00,1594290.51,,422341.40
2026-04-26 16:00:00,1598900.51,,425891.53
2026-04-26 17:00:00,1584077.88,,417862.42
2026-04-26 18:00:00,1584070.43,,418454.72
2026-04-26 19:00:00,1592057.51,,418350.79
2026-04-26 20:00:00,1590064.35,,418960.58
2026-04-26 21:00:00,1591675.13,,420418.42
2026-04-26 22:00:00,1588288.03,,422654.51
2026-04-26 23:00:00,1588324.53,,420258.58
2026-04-27 00:00:00,1583546.71,,418500.94
2026-04-27 01:00:00,1583970.78,,415672.61
2026-04-27 02:00:00,1603794.39,,472345.58
2026-04-27 03:00:00,1561739.47,,432473.24
2026-04-27 04:00:00,1575319.86,,431910.61
2026-04-27 05:00:00,1582554.25,,438654.53
2026-04-27 06:00:00,1531079.35,,439707.95
2026-04-27 07:00:00,1483653.99,,429342.20
2026-04-27 08:00:00,1470823.27,,422969.96
2026-04-27 09:00:00,1471335.23,,424914.83
2026-04-27 10:00:00,1460700.09,,420634.07
2026-04-27 11:00:00,1448409.07,,413634.48
2026-04-27 12:00:00,1438481.09,,408659.95
2026-04-27 13:00:00,1432052.85,,406392.74
2026-04-27 14:00:00,1432736.66,,403380.70
2026-04-27 15:00:00,1441550.11,,406519.69
2026-04-27 16:00:00,1408646.28,,390818.70
2026-04-27 17:00:00,1370347.48,,371383.70
2026-04-27 18:00:00,1372898.69,,372508.20
2026-04-27 19:00:00,1369827.96,,365356.03
2026-04-27 20:00:00,1351645.97,,364697.39
2026-04-27 21:00:00,1345612.67,,361784.21
2026-04-27 22:00:00,1356552.17,,359477.70
2026-04-27 23:00:00,1377930.41,,365756.02
2026-04-28 00:00:00,1397925.22,,365845.78
2026-04-28 01:00:00,1393824.45,,366684.40
2026-04-28 02:00:00,1378688.48,,364299.16
2026-04-28 03:00:00,1376272.19,,361362.22
2026-04-28 04:00:00,1376737.23,,360962.56
2026-04-28 05:00:00,1392603.42,,366377.54
2026-04-28 06:00:00,1385751.49,,364281.97
2026-04-28 07:00:00,1381090.15,,360810.83
2026-04-28 08:00:00,1359806.24,,360536.82
2026-04-28 09:00:00,1362588.63,,359640.81
2026-04-28 10:00:00,1366394.65,,359038.55
