time,oi_A,oi_6,oi_3
2026-04-25 12:00:00,4159100.93,,1665470.82
2026-04-25 13:00:00,4141894.79,,1663612.30
2026-04-25 14:00:00,4145230.65,,1662425.27
2026-04-25 15:00:00,4135171.73,,1659889.16
2026-04-25 16:00:00,4133445.04,,1655789.63
2026-04-25 17:00:00,4113532.26,,1635731.14
2026-04-25 18:00:00,4112975.20,,1632072.69
2026-04-25 19:00:00,4169392.20,,1631588.02
2026-04-25 20:00:00,4160863.75,,1624423.29
2026-04-25 21:00:00,4186975.57,,1627163.24
2026-04-25 22:00:00,4192750.79,,1624205.39
2026-04-25 23:00:00,4190020.46,,1625633.11
2026-04-26 00:00:00,4210917.73,,1632125.93
2026-04-26 01:00:00,4188378.87,,1627129.82
2026-04-26 02:00:00,4180509.80,,1624364.26
2026-04-26 03:00:00,4202838.16,,1630000.08
2026-04-26 04:00:00,4209266.70,,1634369.02
2026-04-26 05:00:00,4215545.19,,1639016.06
2026-04-26 06:00:00,4218657.86,,1643270.43
2026-04-26 07:00:00,4212177.91,,1642104.25
2026-04-26 08:00:00,4210815.72,,1640435.35
2026-04-26 09:00:00,4215906.07,,1634404.44
2026-04-26 10:00:00,4203812.14,,1630532.14
2026-04-26 11:00:00,4218747.68,,1628550.88
2026-04-26 12:00:00,4235827.09,,1632300.54
2026-04-26 13:00:00,4215398.67,,1629370.17
2026-04-26 14:00:00,4158058.29,,1617274.39
2026-04-26 15:00:00,4180906.76,,1622659.16
2026-04-26 16:00:00,4195423.69,,1623817.43
2026-04-26 17:00:00,4181460.01,,1618305.66
2026-04-26 18:00:00,4181493.33,,1615263.09
2026-04-26 19:00:00,4198232.81,,1616952.50
2026-04-26 20:00:00,4185600.04,,1614905.14
2026-04-26 21:00:00,4188304.27,,1608644.66
2026-04-26 22:00:00,4210298.73,,1609581.45
2026-04-26 23:00:00,4192640.72,,1606590.53
2026-04-27 00:00:00,4187992.67,,1608096.60
2026-04-27 01:00:00,4195053.93,,1615159.03
2026-04-27 02:00:00,4207091.98,,1616956.30
2026-04-27 03:00:00,4208399.95,,1609654.22
2026-04-27 04:00:00,4195196.29,,1601965.30
2026-04-27 05:00:00,4189767.66,,1591278.43
2026-04-27 06:00:00,4131036.31,,1552694.76
2026-04-27 07:00:00,4100239.41,,1537784.19
2026-04-27 08:00:00,4121566.16,,1538281.71
2026-04-27 09:00:00,4154037.03,,1544600.56
2026-04-27 10:00:00,4204119.69,,1559050.85
2026-04-27 11:00:00,4216772.16,,1564471.68
2026-04-27 12:00:00,4256405.10,,1571139.74
2026-04-27 13:00:00,4259043.80,,1575312.74
2026-04-27 14:00:00,4250195.56,,1573698.25
2026-04-27 15:00:00,4290460.89,,1579830.04
2026-04-27 16:00:00,4246073.70,,1557865.05
2026-04-27 17:00:00,4282391.23,,1570870.85
2026-04-27 18:00:00,4312046.39,,1576485.71
2026-04-27 19:00:00,4348726.24,,1582338.24
2026-04-27 20:00:00,4396819.04,,1592384.81
2026-04-27 21:00:00,4387951.85,,1594448.98
2026-04-27 22:00:00,4363620.05,,1592351.38
2026-04-27 23:00:00,4448167.22,,1614274.81
2026-04-28 00:00:00,4466591.60,,1624518.84
2026-04-28 01:00:00,4435659.07,,1622649.47
2026-04-28 02:00:00,4378372.18,,1612930.93
2026-04-28 03:00:00,4383710.07,,1603796.08
2026-04-28 04:00:00,4449963.26,,1602947.79
2026-04-28 05:00:00,4469614.42,,1602871.95
2026-04-28 06:00:00,4475201.92,,1616103.55
2026-04-28 07:00:00,4579924.21,,1647511.76
2026-04-28 08:00:00,4762372.25,,1680928.96
2026-04-28 09:00:00,4857361.39,,1748020.86
2026-04-28 10:00:00,4865453.12,,1680861.58
2026-04-28 11:00:00,4770172.58,,1642838.83
2026-04-28 12:00:00,4754843.69,,1636200.93
2026-04-28 13:00:00,4787337.48,,1651124.78
2026-04-28 14:00:00,4754756.56,,1637107.78
2026-04-28 15:00:00,4701305.82,,1613633.84
2026-04-28 16:00:00,4670231.16,,1586354.73
2026-04-28 17:00:00,4622612.65,,1583660.15
2026-04-28 18:00:00,4613903.81,,1583344.83
2026-04-28 19:00:00,4627582.08,,1583032.65
2026-04-28 20:00:00,4648931.59,,1593993.17
2026-04-28 21:00:00,4635756.06,,1597653.64
2026-04-28 22:00:00,4635947.76,,1598812.21
2026-04-28 23:00:00,4630933.99,,1599816.19
2026-04-29 00:00:00,4651056.99,,1603408.17
2026-04-29 01:00:00,4667331.08,,1615709.41
2026-04-29 02:00:00,4678692.87,,1613677.56
2026-04-29 03:00:00,4692459.69,,1617070.73
2026-04-29 04:00:00,4702021.88,,1622409.31
2026-04-29 05:00:00,4714330.65,,1618545.36
2026-04-29 06:00:00,4701395.27,,1623999.43
2026-04-29 07:00:00,4659455.65,,1598733.55
2026-04-29 08:00:00,4633223.27,,1605138.14
2026-04-29 09:00:00,4615303.02,,1604996.69
2026-04-29 10:00:00,4614864.79,,1615451.86
2026-04-29 11:00:00,4577258.80,,1606556.37
2026-04-29 12:00:00,4576119.45,,1607681.92
2026-04-29 13:00:00,4512444.37,,1587563.86
2026-04-29 14:00:00,4482485.27,,1584687.23
2026-04-29 15:00:00,4438346.33,,1577094.68
2026-04-29 16:00:00,4372710.16,,1545343.86
2026-04-29 17:00:00,4372627.93,,1541016.95
2026-04-29 18:00:00,4414481.44,,1549846.59
2026-04-29 19:00:00,4322138.18,,1509466.23
2026-04-29 20:00:00,4304615.87,,1504463.18
2026-04-29 21:00:00,4353519.93,,1511371.89
2026-04-29 22:00:00,4367674.69,,1513456.22
2026-04-29 23:00:00,4362642.43,,1517780.29
2026-04-30 00:00:00,4354520.67,,1516379.20
2026-04-30 01:00:00,4367154.76,,1524277.91
2026-04-30 02:00:00,4351384.38,,1514044.54
2026-04-30 03:00:00,4334285.70,,1503879.90
2026-04-30 04:00:00,4344312.68,,1501256.22
2026-04-30 05:00:00,4336922.26,,1489231.19
2026-04-30 06:00:00,4359813.77,,1494777.63
2026-04-30 07:00:00,4386290.36,,1506214.29
2026-04-30 08:00:00,4388508.89,,1508697.97
2026-04-30 09:00:00,4382490.09,,1503627.00
2026-04-30 10:00:00,4382071.87,,1503889.33
2026-04-30 11:00:00,4370340.50,,1495086.70
2026-04-30 12:00:00,4386022.68,,1506379.41
2026-04-30 13:00:00,4365822.10,,1499298.03
2026-04-30 14:00:00,4369649.41,,1498651.63
2026-04-30 15:00:00,4376781.15,,1500883.50
2026-04-30 16:00:00,4491494.85,,1506117.90
2026-04-30 17:00:00,4471995.84,,1499744.15
2026-04-30 18:00:00,4455856.31,,1494784.22
2026-04-30 19:00:00,4456984.26,,1493189.77
2026-04-30 20:00:00,4456567.99,,1492044.30
2026-04-30 21:00:00,4452913.52,,1491636.57
2026-04-30 22:00:00,4436861.00,,1492564.94
2026-04-30 23:00:00,4392961.90,,1475829.42
2026-05-01 00:00:00,4412315.79,,1479919.78
2026-05-01 01:00:00,4409904.00,,1474657.66
2026-05-01 02:00:00,4457828.03,,1484119.21
2026-05-01 03:00:00,4452343.33,,1486676.57
2026-05-01 04:00:00,4456235.41,,1486908.36
2026-05-01 05:00:00,4443646.44,,1479701.29
2026-05-01 06:00:00,4459129.56,,1482375.26
2026-05-01 07:00:00,4441436.92,,1476324.31
2026-05-01 08:00:00,4438169.47,,1478282.64
2026-05-01 09:00:00,4451242.98,,1484953.27
2026-05-01 10:00:00,4411411.67,,1473034.16
2026-05-01 11:00:00,4404311.20,,1474388.81
2026-05-01 12:00:00,4406175.15,,1476259.22
2026-05-01 13:00:00,4426757.51,,1483496.62
2026-05-01 14:00:00,4451459.02,,1492228.71
2026-05-01 15:00:00,4442334.99,,1493601.84
2026-05-01 16:00:00,4387571.78,,1484201.45
2026-05-01 17:00:00,4372070.82,,1481079.39
2026-05-01 18:00:00,4377911.58,,1481500.07
2026-05-01 19:00:00,4384909.18,,1480747.13
2026-05-01 20:00:00,4369568.80,,1467645.11
2026-05-01 21:00:00,4346493.95,,1461463.73
2026-05-01 22:00:00,4358425.59,,1468830.05
2026-05-01 23:00:00,4342162.90,,1464698.89
2026-05-02 00:00:00,4331704.03,,1464377.26
2026-05-02 01:00:00,4372060.04,,1471486.80
2026-05-02 02:00:00,4370271.45,,1465149.08
2026-05-02 03:00:00,4359686.85,,1461222.39
2026-05-02 04:00:00,4367361.11,,1459707.07
2026-05-02 05:00:00,4352712.16,,1458314.56
2026-05-02 06:00:00,4357642.07,,1457388.04
2026-05-02 07:00:00,4365927.66,,1462902.28
2026-05-02 08:00:00,4380590.64,,1462130.77
2026-05-02 09:00:00,4377840.30,,1459481.34
2026-05-02 10:00:00,4377224.76,,1459246.39
2026-05-02 11:00:00,4372655.95,,1458317.85
2026-05-02 12:00:00,4362159.90,,1447869.99
2026-05-02 13:00:00,4363994.01,,1452507.27
2026-05-02 14:00:00,4380746.38,,1455016.69
2026-05-02 15:00:00,4379248.63,,1452036.56
2026-05-02 16:00:00,4397933.76,,1456120.46
2026-05-02 17:00:00,4424496.70,,1469214.29
2026-05-02 18:00:00,4397605.59,,1458702.30
2026-05-02 19:00:00,4403277.57,,1460477.24
2026-05-02 20:00:00,4398567.86,,1459776.38
2026-05-02 21:00:00,4395538.26,,1458093.76
2026-05-02 22:00:00,4397388.73,,1460470.82
2026-05-02 23:00:00,4388027.14,,1457529.61
2026-05-03 00:00:00,4364628.95,,1448829.16
2026-05-03 01:00:00,4340276.54,,1441139.86
2026-05-03 02:00:00,4307766.10,,1437277.89
2026-05-03 03:00:00,4345835.01,,1441518.71
2026-05-03 04:00:00,4389881.45,,1441011.38
2026-05-03 05:00:00,4380944.16,,1431575.97
2026-05-03 06:00:00,4381843.68,,1424140.74
2026-05-03 07:00:00,4384651.98,,1421599.67
2026-05-03 08:00:00,4390484.73,,1422095.04
2026-05-03 09:00:00,4398243.89,,1422565.32
2026-05-03 10:00:00,4401018.63,,1425059.36
2026-05-03 11:00:00,4395906.01,,1420854.74
2026-05-03 12:00:00,4405793.47,,1420522.46
2026-05-03 13:00:00,4417226.21,,1427045.93
2026-05-03 14:00:00,4374789.96,,1420037.58
2026-05-03 15:00:00,4375602.40,,1416500.88
2026-05-03 16:00:00,4380062.14,,1417431.14
2026-05-03 17:00:00,4371670.78,,1418495.69
2026-05-03 18:00:00,4372001.79,,1417262.17
2026-05-03 19:00:00,4382751.20,,1422134.54
2026-05-03 20:00:00,4416393.06,,1437225.79
2026-05-03 21:00:00,4398374.02,,1431904.48
2026-05-03 22:00:00,4396568.49,,1425895.54
2026-05-03 23:00:00,4416880.75,,1435185.07
2026-05-04 00:00:00,4398632.21,,1433054.08
2026-05-04 01:00:00,4389281.07,,1427006.29
2026-05-04 02:00:00,4461325.43,,1455256.71
2026-05-04 03:00:00,4475028.72,,1475993.50
2026-05-04 04:00:00,4503940.52,,1479530.56
2026-05-04 05:00:00,4498880.91,,1481613.67
2026-05-04 06:00:00,4455844.88,,1473731.83
2026-05-04 07:00:00,4425080.63,,1461043.25
2026-05-04 08:00:00,4390201.99,,1453974.41
2026-05-04 09:00:00,4386859.87,,1469884.93
2026-05-04 10:00:00,4408562.20,,1495944.00
2026-05-04 11:00:00,4303766.26,,1460484.04
2026-05-04 12:00:00,4285860.69,,1457067.29
2026-05-04 13:00:00,4309967.98,,1461938.63
2026-05-04 14:00:00,4311042.27,,1460981.91
2026-05-04 15:00:00,4342142.79,,1477779.44
2026-05-04 16:00:00,4319596.39,,1471704.58
2026-05-04 17:00:00,4316549.48,,1466442.04
2026-05-04 18:00:00,4332246.29,,1473989.52
2026-05-04 19:00:00,4321832.62,,1471696.44
2026-05-04 20:00:00,4311262.63,,1468107.37
2026-05-04 21:00:00,4276953.44,,1458248.35
2026-05-04 22:00:00,4317066.04,,1469904.37
2026-05-04 23:00:00,4275873.59,,1459939.54
2026-05-05 00:00:00,4263088.25,,1455040.34
2026-05-05 01:00:00,4276605.68,,1461076.83
2026-05-05 02:00:00,4312564.94,,1473999.98
2026-05-05 03:00:00,4341448.88,,1483839.74
2026-05-05 04:00:00,4294740.10,,1480747.35
2026-05-05 05:00:00,4274163.87,,1469188.52
2026-05-05 06:00:00,4334555.18,,1478359.06
2026-05-05 07:00:00,4314338.90,,1472292.66
2026-05-05 08:00:00,4302599.72,,1472065.62
2026-05-05 09:00:00,4295961.35,,1465321.57
2026-05-05 10:00:00,4279635.64,,1461403.25
2026-05-05 11:00:00,4307479.31,,1469991.26
2026-05-05 12:00:00,4293496.76,,1465677.62
2026-05-05 13:00:00,4293815.68,,1464424.02
2026-05-05 14:00:00,4282270.22,,1459500.47
2026-05-05 15:00:00,4257595.48,,1459841.32
2026-05-05 16:00:00,4238947.25,,1460222.33
2026-05-05 17:00:00,4244012.39,,1456917.74
2026-05-05 18:00:00,4261169.51,,1455229.60
2026-05-05 19:00:00,4270025.63,,1472062.19
2026-05-05 20:00:00,4298134.85,,1466965.53
2026-05-05 21:00:00,4336782.04,,1474708.14
2026-05-05 22:00:00,4341203.98,,1479890.26
2026-05-05 23:00:00,4340470.26,,1475839.78
2026-05-06 00:00:00,4344817.20,,1471181.66
2026-05-06 01:00:00,4336227.43,,1467690.98
2026-05-06 02:00:00,4348814.91,,1478968.48
2026-05-06 03:00:00,4287538.93,,1506598.27
2026-05-06 04:00:00,4305478.01,,1535832.53
2026-05-06 05:00:00,4302354.96,,1534981.77
2026-05-06 06:00:00,4296621.59,,1529447.54
2026-05-06 07:00:00,4297273.37,,1531715.65
2026-05-06 08:00:00,4310304.00,,1537541.31
2026-05-06 09:00:00,4366031.94,,1560793.21
2026-05-06 10:00:00,4388914.91,,1559304.19
2026-05-06 11:00:00,4396852.85,,1558133.20
2026-05-06 12:00:00,4380735.17,,1554724.42
2026-05-06 13:00:00,4385143.64,,1561382.08
2026-05-06 14:00:00,4297740.16,,1535977.47
2026-05-06 15:00:00,4253752.96,,1531129.16
2026-05-06 16:00:00,4286516.94,,1533612.97
2026-05-06 17:00:00,4288584.78,,1534179.22
2026-05-06 18:00:00,4281293.95,,1532584.31
2026-05-06 19:00:00,4269979.70,,1528440.69
2026-05-06 20:00:00,4277563.65,,1521305.21
2026-05-06 21:00:00,4284428.88,,1522109.82
2026-05-06 22:00:00,4313319.70,,1537412.00
2026-05-06 23:00:00,4302415.85,,1539845.89
2026-05-07 00:00:00,4331520.03,,1549483.78
2026-05-07 01:00:00,4282300.86,,1531395.20
2026-05-07 02:00:00,4282382.34,,1525737.62
2026-05-07 03:00:00,4285398.44,,1525000.19
2026-05-07 04:00:00,4206366.03,,1521793.28
2026-05-07 05:00:00,4228937.47,,1540011.15
2026-05-07 06:00:00,4265234.62,,1542498.88
2026-05-07 07:00:00,4290807.59,,1551349.84
2026-05-07 08:00:00,4277971.69,,1545061.16
2026-05-07 09:00:00,4276416.75,,1539617.29
2026-05-07 10:00:00,4264979.23,,1536744.95
2026-05-07 11:00:00,4233734.54,,1525835.02
2026-05-07 12:00:00,4245370.47,,1525317.96
2026-05-07 13:00:00,4306778.18,,1538786.35
2026-05-07 14:00:00,4274862.11,,1520005.55
