time,oi_A,oi_6,oi_3
2026-05-31 12:00:00,7723981.43,,984224.14
2026-05-31 13:00:00,7744795.70,,990249.28
2026-05-31 14:00:00,7820409.82,,1052663.39
2026-05-31 15:00:00,7625373.42,,1034668.16
2026-05-31 16:00:00,7687899.19,,1059444.68
2026-05-31 17:00:00,7451492.90,,1009561.10
2026-05-31 18:00:00,7486575.89,,1016555.61
2026-05-31 19:00:00,7443258.65,,1015356.01
2026-05-31 20:00:00,7421405.95,,1017679.27
2026-05-31 21:00:00,7472263.23,,1031293.34
2026-05-31 22:00:00,7574236.87,,1025936.09
2026-05-31 23:00:00,7614629.35,,1032020.53
2026-06-01 00:00:00,7536357.46,,1007548.46
2026-06-01 01:00:00,7601146.74,,1011085.72
2026-06-01 02:00:00,7447101.48,,992371.41
2026-06-01 03:00:00,7508867.02,,1001573.61
2026-06-01 04:00:00,7443016.94,,1010375.65
2026-06-01 05:00:00,7342983.95,,1001670.15
2026-06-01 06:00:00,7273407.53,,989121.87
2026-06-01 07:00:00,7261016.46,,978108.38
2026-06-01 08:00:00,7201196.61,,965968.70
2026-06-01 09:00:00,7225593.25,,959081.20
2026-06-01 10:00:00,7277141.05,,953890.34
2026-06-01 11:00:00,7269058.54,,952968.66
2026-06-01 12:00:00,7262871.59,,944147.04
2026-06-01 13:00:00,7208756.84,,953933.84
2026-06-01 14:00:00,7009721.41,,939200.96
2026-06-01 15:00:00,7031125.21,,955100.08
2026-06-01 16:00:00,7026016.79,,953242.92
2026-06-01 17:00:00,7166097.66,,976933.12
2026-06-01 18:00:00,7211347.78,,974404.20
2026-06-01 19:00:00,7187936.95,,965760.89
2026-06-01 20:00:00,7205430.95,,974574.07
2026-06-01 21:00:00,7124303.73,,961526.26
2026-06-01 22:00:00,7038103.50,,952305.21
2026-06-01 23:00:00,7096342.66,,964688.90
2026-06-02 00:00:00,7087012.50,,975819.84
2026-06-02 01:00:00,7091001.70,,967837.38
2026-06-02 02:00:00,6960145.53,,947783.10
2026-06-02 03:00:00,7109438.22,,977497.16
2026-06-02 04:00:00,7162770.40,,981677.44
2026-06-02 05:00:00,7095838.53,,976200.13
2026-06-02 06:00:00,7017123.93,,980062.42
2026-06-02 07:00:00,7001701.48,,977232.53
2026-06-02 08:00:00,7084258.09,,967674.62
2026-06-02 09:00:00,7128014.60,,961528.22
2026-06-02 10:00:00,7118370.42,,937036.20
2026-06-02 11:00:00,7249134.70,,953791.68
2026-06-02 12:00:00,7300163.30,,967158.61
2026-06-02 13:00:00,7315683.23,,959688.26
2026-06-02 14:00:00,7383884.89,,958750.56
2026-06-02 15:00:00,7000940.51,,940542.67
2026-06-02 16:00:00,6705148.84,,937407.19
2026-06-02 17:00:00,7080069.60,,948318.86
2026-06-02 18:00:00,7102832.58,,957398.37
2026-06-02 19:00:00,6912495.07,,939217.98
2026-06-02 20:00:00,6780240.71,,932934.52
2026-06-02 21:00:00,6814453.87,,942815.44
2026-06-02 22:00:00,6801585.86,,923728.35
2026-06-02 23:00:00,6543498.84,,879777.39
2026-06-03 00:00:00,6535181.97,,890041.15
2026-06-03 01:00:00,6768550.00,,924520.56
2026-06-03 02:00:00,6797086.92,,943801.37
2026-06-03 03:00:00,6865203.04,,957741.53
2026-06-03 04:00:00,6520007.00,,926027.27
2026-06-03 05:00:00,6652189.06,,949249.24
2026-06-03 06:00:00,6872339.34,,962256.79
2026-06-03 07:00:00,6820060.02,,955149.57
2026-06-03 08:00:00,6850727.37,,946534.04
2026-06-03 09:00:00,6825467.06,,953598.68
2026-06-03 10:00:00,6776897.53,,940991.10
2026-06-03 11:00:00,6783229.50,,937396.31
2026-06-03 12:00:00,6706800.93,,934753.47
2026-06-03 13:00:00,6732525.18,,941168.96
2026-06-03 14:00:00,6779359.87,,950505.45
2026-06-03 15:00:00,6805973.75,,942603.98
2026-06-03 16:00:00,6694327.32,,923540.62
2026-06-03 17:00:00,6580024.95,,922064.43
2026-06-03 18:00:00,6646551.17,,926657.98
2026-06-03 19:00:00,6655507.78,,925960.82
2026-06-03 20:00:00,6554058.22,,901899.43
2026-06-03 21:00:00,6461180.17,,900369.20
2026-06-03 22:00:00,6693226.81,,915624.78
2026-06-03 23:00:00,6597738.31,,906894.23
2026-06-04 00:00:00,6537556.34,,897163.70
2026-06-04 01:00:00,6461170.00,,884442.69
2026-06-04 02:00:00,6088039.51,,852255.37
2026-06-04 03:00:00,6053130.57,,862639.94
2026-06-04 04:00:00,6207330.25,,889929.78
2026-06-04 05:00:00,6154959.77,,870876.01
2026-06-04 06:00:00,6176184.82,,868838.58
2026-06-04 07:00:00,6133508.82,,870740.10
2026-06-04 08:00:00,6064639.50,,878919.95
2026-06-04 09:00:00,6180786.79,,883415.01
2026-06-04 10:00:00,6166952.42,,910092.52
2026-06-04 11:00:00,6110293.36,,868549.47
2026-06-04 12:00:00,6264053.42,,900165.45
2026-06-04 13:00:00,6350130.60,,913079.54
2026-06-04 14:00:00,6399191.88,,929602.59
2026-06-04 15:00:00,6339442.31,,936293.96
2026-06-04 16:00:00,6386181.41,,922254.15
2026-06-04 17:00:00,6343383.53,,916192.68
2026-06-04 18:00:00,6273362.06,,902263.52
2026-06-04 19:00:00,6311093.38,,902958.27
2026-06-04 20:00:00,6264571.85,,892533.43
2026-06-04 21:00:00,6239197.76,,885148.14
2026-06-04 22:00:00,6089577.85,,872215.30
2026-06-04 23:00:00,6105830.32,,886346.20
2026-06-05 00:00:00,6108301.74,,885618.06
2026-06-05 01:00:00,6068510.41,,888479.19
2026-06-05 02:00:00,6120285.21,,897288.52
2026-06-05 03:00:00,5807224.05,,855647.98
2026-06-05 04:00:00,5782134.80,,839477.43
2026-06-05 05:00:00,5935211.87,,854507.61
2026-06-05 06:00:00,5622856.98,,808333.02
2026-06-05 07:00:00,4945337.56,,829317.88
2026-06-05 08:00:00,4970034.21,,843996.85
2026-06-05 09:00:00,4810493.34,,813808.71
2026-06-05 10:00:00,5060449.23,,833128.46
2026-06-05 11:00:00,4994573.25,,807439.06
2026-06-05 12:00:00,5010746.74,,779309.14
2026-06-05 13:00:00,5042875.27,,779733.36
2026-06-05 14:00:00,4860404.14,,748187.38
2026-06-05 15:00:00,5000441.89,,771893.52
2026-06-05 16:00:00,4865391.61,,731875.79
2026-06-05 17:00:00,4934368.18,,764593.14
2026-06-05 18:00:00,4835091.12,,751062.59
2026-06-05 19:00:00,4688012.97,,751627.56
2026-06-05 20:00:00,4809101.60,,765956.53
2026-06-05 21:00:00,4857502.65,,775273.35
2026-06-05 22:00:00,4857342.32,,772090.69
2026-06-05 23:00:00,4765967.75,,757138.58
2026-06-06 00:00:00,4715591.06,,751544.18
2026-06-06 01:00:00,4710783.59,,758151.41
2026-06-06 02:00:00,4662429.93,,749065.65
2026-06-06 03:00:00,4633717.98,,736157.15
2026-06-06 04:00:00,4607340.79,,730437.26
2026-06-06 05:00:00,4330627.97,,694343.87
2026-06-06 06:00:00,4508289.52,,705921.41
2026-06-06 07:00:00,4472141.87,,707855.53
2026-06-06 08:00:00,4527643.85,,720410.13
2026-06-06 09:00:00,4561842.43,,730244.07
2026-06-06 10:00:00,4497226.34,,730819.94
2026-06-06 11:00:00,4444784.01,,724767.26
2026-06-06 12:00:00,4455053.85,,723478.58
2026-06-06 13:00:00,4540829.05,,734468.14
2026-06-06 14:00:00,4516029.51,,738498.73
2026-06-06 15:00:00,4549902.93,,750243.51
2026-06-06 16:00:00,4582776.70,,749100.15
2026-06-06 17:00:00,4630447.30,,756396.70
2026-06-06 18:00:00,4621982.67,,751078.79
2026-06-06 19:00:00,4576207.03,,753126.77
2026-06-06 20:00:00,4539146.93,,744593.29
2026-06-06 21:00:00,4532503.01,,746388.04
2026-06-06 22:00:00,4522562.32,,741704.24
2026-06-06 23:00:00,4493507.45,,737480.48
2026-06-07 00:00:00,4545274.50,,753516.81
2026-06-07 01:00:00,4556545.50,,757592.84
2026-06-07 02:00:00,4644700.94,,790515.78
2026-06-07 03:00:00,4512051.17,,775413.83
2026-06-07 04:00:00,4535224.59,,780359.94
2026-06-07 05:00:00,4523405.34,,776740.18
2026-06-07 06:00:00,4638370.00,,783091.26
2026-06-07 07:00:00,4659134.22,,761661.81
2026-06-07 08:00:00,4682286.20,,750168.22
2026-06-07 09:00:00,4737420.73,,755506.01
2026-06-07 10:00:00,4628219.34,,736060.46
2026-06-07 11:00:00,4608016.60,,728210.46
2026-06-07 12:00:00,4777059.00,,740952.76
2026-06-07 13:00:00,4764097.46,,730399.41
2026-06-07 14:00:00,4724191.10,,732931.89
2026-06-07 15:00:00,4865642.81,,774242.64
2026-06-07 16:00:00,4965492.06,,791899.36
2026-06-07 17:00:00,4854723.76,,767263.39
2026-06-07 18:00:00,4852851.09,,766935.95
2026-06-07 19:00:00,4786262.22,,754381.79
2026-06-07 20:00:00,4634047.38,,739383.06
2026-06-07 21:00:00,4696838.69,,745906.28
2026-06-07 22:00:00,4700885.80,,736778.29
2026-06-07 23:00:00,4776773.26,,747448.48
2026-06-08 00:00:00,4773916.77,,749706.37
2026-06-08 01:00:00,4705305.31,,744148.70
2026-06-08 02:00:00,4598244.65,,708272.98
2026-06-08 03:00:00,4564617.29,,706517.02
2026-06-08 04:00:00,4604920.44,,713027.23
2026-06-08 05:00:00,4573368.67,,711902.99
2026-06-08 06:00:00,4574929.20,,726169.37
2026-06-08 07:00:00,4652003.86,,722028.90
2026-06-08 08:00:00,4719416.75,,731771.50
2026-06-08 09:00:00,4550444.51,,715184.72
2026-06-08 10:00:00,4571502.19,,717965.20
2026-06-08 11:00:00,4537719.29,,714416.86
2026-06-08 12:00:00,4574948.72,,711757.75
2026-06-08 13:00:00,4570753.66,,715767.92
2026-06-08 14:00:00,4537247.05,,699671.55
2026-06-08 15:00:00,4714720.54,,710970.83
2026-06-08 16:00:00,4674345.39,,698097.32
2026-06-08 17:00:00,4659295.88,,695402.28
2026-06-08 18:00:00,4658735.54,,698848.85
2026-06-08 19:00:00,4669670.91,,693400.07
2026-06-08 20:00:00,4659639.14,,692780.03
2026-06-08 21:00:00,4755139.51,,700167.36
2026-06-08 22:00:00,4727883.37,,694223.24
2026-06-08 23:00:00,4627488.38,,691585.41
2026-06-09 00:00:00,4553741.11,,691918.43
2026-06-09 01:00:00,4325282.87,,678808.07
2026-06-09 02:00:00,4327907.52,,679723.47
2026-06-09 03:00:00,4310690.86,,676702.42
2026-06-09 04:00:00,4323637.50,,677500.14
2026-06-09 05:00:00,4411313.79,,683933.93
2026-06-09 06:00:00,4419063.71,,662410.02
2026-06-09 07:00:00,4449110.10,,661419.52
2026-06-09 08:00:00,4467743.88,,651406.97
2026-06-09 09:00:00,4500583.58,,655845.59
2026-06-09 10:00:00,4430393.43,,651106.91
2026-06-09 11:00:00,4458007.76,,651601.06
2026-06-09 12:00:00,4430035.00,,652378.01
2026-06-09 13:00:00,4474764.78,,650888.15
2026-06-09 14:00:00,4479577.08,,646249.90
