time,oi_A,oi_6,oi_3
2026-05-24 12:00:00,,,736110.82
2026-05-24 13:00:00,,,723846.98
2026-05-24 14:00:00,,,739910.19
2026-05-24 15:00:00,,,739605.88
2026-05-24 16:00:00,,,737541.49
2026-05-24 17:00:00,,,737161.19
2026-05-24 18:00:00,,,740516.49
2026-05-24 19:00:00,,,743985.69
2026-05-24 20:00:00,,,741406.22
2026-05-24 21:00:00,,,742219.14
2026-05-24 22:00:00,,,725268.51
2026-05-24 23:00:00,,,727522.82
2026-05-25 00:00:00,,,728900.01
2026-05-25 01:00:00,,,727267.90
2026-05-25 02:00:00,,,722937.27
2026-05-25 03:00:00,,,726031.40
2026-05-25 04:00:00,,,724842.62
2026-05-25 05:00:00,,,731036.16
2026-05-25 06:00:00,,,739942.04
2026-05-25 07:00:00,,,746299.21
2026-05-25 08:00:00,,,754553.52
2026-05-25 09:00:00,,,757259.48
2026-05-25 10:00:00,,,755770.52
2026-05-25 11:00:00,,,761326.02
2026-05-25 12:00:00,,,749755.43
2026-05-25 13:00:00,,,748533.33
2026-05-25 14:00:00,,,746841.87
2026-05-25 15:00:00,,,753030.36
2026-05-25 16:00:00,,,754297.57
2026-05-25 17:00:00,,,762781.24
2026-05-25 18:00:00,,,768472.14
2026-05-25 19:00:00,,,767156.01
2026-05-25 20:00:00,,,756886.65
2026-05-25 21:00:00,,,742173.26
2026-05-25 22:00:00,,,737679.69
2026-05-25 23:00:00,,,726280.86
2026-05-26 00:00:00,,,727119.14
2026-05-26 01:00:00,,,726148.83
2026-05-26 02:00:00,,,723293.86
2026-05-26 03:00:00,,,725974.93
2026-05-26 04:00:00,,,732108.56
2026-05-26 05:00:00,,,741615.89
2026-05-26 06:00:00,,,743973.78
2026-05-26 07:00:00,,,749701.55
2026-05-26 08:00:00,,,753825.97
2026-05-26 09:00:00,,,761392.39
2026-05-26 10:00:00,,,764044.54
2026-05-26 11:00:00,,,778114.51
2026-05-26 12:00:00,,,775338.65
2026-05-26 13:00:00,,,780361.83
2026-05-26 14:00:00,,,775470.45
2026-05-26 15:00:00,,,763142.37
2026-05-26 16:00:00,,,752563.41
2026-05-26 17:00:00,,,751637.05
2026-05-26 18:00:00,,,749928.04
2026-05-26 19:00:00,,,752398.84
2026-05-26 20:00:00,,,755482.62
2026-05-26 21:00:00,,,754538.57
2026-05-26 22:00:00,,,739861.22
2026-05-26 23:00:00,,,739322.22
2026-05-27 00:00:00,,,738059.07
2026-05-27 01:00:00,,,746788.56
2026-05-27 02:00:00,,,739368.97
2026-05-27 03:00:00,,,732472.33
2026-05-27 04:00:00,,,725748.10
2026-05-27 05:00:00,,,721453.38
2026-05-27 06:00:00,,,724958.97
2026-05-27 07:00:00,,,737804.03
2026-05-27 08:00:00,,,737088.55
2026-05-27 09:00:00,,,731315.63
2026-05-27 10:00:00,,,730292.98
2026-05-27 11:00:00,,,737501.79
2026-05-27 12:00:00,,,729007.81
2026-05-27 13:00:00,,,733475.29
2026-05-27 14:00:00,,,732067.71
2026-05-27 15:00:00,,,736502.72
2026-05-27 16:00:00,,,742373.73
2026-05-27 17:00:00,,,741970.81
2026-05-27 18:00:00,,,732967.73
2026-05-27 19:00:00,,,737719.87
2026-05-27 20:00:00,,,733603.32
2026-05-27 21:00:00,,,737661.14
