time,pred_funding
2026-04-04 22:00:00,-0.0130270000
2026-04-04 23:00:00,-0.0215980000
2026-04-05 00:00:00,-0.0254910000
2026-04-05 01:00:00,-0.0257930000
2026-04-05 02:00:00,-0.0148930000
2026-04-05 03:00:00,-0.0050970000
2026-04-05 04:00:00,-0.0034050000
2026-04-05 05:00:00,-0.0042980000
2026-04-05 06:00:00,-0.0123980000
2026-04-05 07:00:00,-0.0169780000
2026-04-05 08:00:00,-0.0289770000
2026-04-05 09:00:00,-0.0336450000
2026-04-05 10:00:00,-0.0326440000
2026-04-05 11:00:00,-0.0269830000
2026-04-05 12:00:00,-0.0269250000
2026-04-05 13:00:00,-0.0371760000
2026-04-05 14:00:00,-0.0382050000
2026-04-05 15:00:00,-0.0361010000
2026-04-05 16:00:00,-0.0459440000
2026-04-05 17:00:00,-0.0399420000
2026-04-05 18:00:00,-0.0352040000
2026-04-05 19:00:00,-0.0213890000
2026-04-05 20:00:00,-0.0247600000
2026-04-05 21:00:00,-0.0213150000
2026-04-05 22:00:00,-0.0239700000
2026-04-05 23:00:00,-0.0154000000
2026-04-06 00:00:00,-0.0207300000
2026-04-06 01:00:00,-0.0251560000
2026-04-06 02:00:00,-0.0298750000
2026-04-06 03:00:00,-0.0204690000
2026-04-06 04:00:00,-0.0262570000
2026-04-06 05:00:00,-0.0301510000
2026-04-06 06:00:00,-0.0343990000
2026-04-06 07:00:00,-0.0285100000
2026-04-06 08:00:00,-0.0230860000
2026-04-06 09:00:00,-0.0165600000
2026-04-06 10:00:00,-0.0120320000
2026-04-06 11:00:00,-0.0066160000
2026-04-06 12:00:00,-0.0043390000
2026-04-06 13:00:00,-0.0005800000
2026-04-06 14:00:00,-0.0017970000
2026-04-06 15:00:00,-0.0107900000
2026-04-06 16:00:00,-0.0141500000
2026-04-06 17:00:00,-0.0190960000
2026-04-06 18:00:00,-0.0143700000
2026-04-06 19:00:00,-0.0039140000
2026-04-06 20:00:00,-0.0036820000
2026-04-06 21:00:00,-0.0056010000
2026-04-06 22:00:00,-0.0011660000
2026-04-06 23:00:00,-0.0060840000
2026-04-07 00:00:00,-0.0182790000
2026-04-07 01:00:00,-0.0258280000
2026-04-07 02:00:00,-0.0307950000
2026-04-07 03:00:00,-0.0254230000
2026-04-07 04:00:00,-0.0229210000
2026-04-07 05:00:00,-0.0160630000
2026-04-07 06:00:00,-0.0133230000
2026-04-07 07:00:00,-0.0070220000
2026-04-07 08:00:00,-0.0041090000
2026-04-07 09:00:00,-0.0102400000
2026-04-07 10:00:00,-0.0139740000
2026-04-07 11:00:00,-0.0215300000
2026-04-07 12:00:00,-0.0209000000
2026-04-07 13:00:00,-0.0293720000
2026-04-07 14:00:00,-0.0348110000
2026-04-07 15:00:00,-0.0398390000
2026-04-07 16:00:00,-0.0410230000
2026-04-07 17:00:00,-0.0351810000
2026-04-07 18:00:00,-0.0333730000
2026-04-07 19:00:00,-0.0291910000
2026-04-07 20:00:00,-0.0212340000
2026-04-07 21:00:00,-0.0134560000
2026-04-07 22:00:00,-0.0102920000
2026-04-07 23:00:00,-0.0087190000
2026-04-08 00:00:00,0.0003490000
2026-04-08 01:00:00,0.0039630000
2026-04-08 02:00:00,0.0050000000
2026-04-08 03:00:00,0.0050000000
2026-04-08 04:00:00,0.0002950000
2026-04-08 05:00:00,0.0006090000
2026-04-08 06:00:00,-0.0051980000
2026-04-08 07:00:00,-0.0059500000
2026-04-08 08:00:00,-0.0066660000
2026-04-08 09:00:00,-0.0070400000
2026-04-08 10:00:00,-0.0041440000
2026-04-08 11:00:00,0.0009030000
2026-04-08 12:00:00,0.0021440000
2026-04-08 13:00:00,-0.0009300000
2026-04-08 14:00:00,-0.0142480000
2026-04-08 15:00:00,-0.0193080000
2026-04-08 16:00:00,-0.0168100000
2026-04-08 17:00:00,-0.0206440000
2026-04-08 18:00:00,-0.0247690000
2026-04-08 19:00:00,-0.0294160000
2026-04-08 20:00:00,-0.0282250000
2026-04-08 21:00:00,-0.0298400000
2026-04-08 22:00:00,-0.0342350000
2026-04-08 23:00:00,-0.0419270000
2026-04-09 00:00:00,-0.0380180000
2026-04-09 01:00:00,-0.0465130000
2026-04-09 02:00:00,-0.0467710000
2026-04-09 03:00:00,-0.0404180000
2026-04-09 04:00:00,-0.0285080000
2026-04-09 05:00:00,-0.0182740000
2026-04-09 06:00:00,-0.0130580000
2026-04-09 07:00:00,-0.0129250000
